subj_id	Word	Start_time	End_time	Confidence
65cb63e160bb47fbf9349269	dogs	1.2	2.0	0.7854864001274109
65cb63e160bb47fbf9349269	hunts	2.0	2.9	0.7854864001274109
65cb63e160bb47fbf9349269	rabbits	2.9	3.7	0.7854864001274109
65cb63e160bb47fbf9349269	turtles	3.7	5.5	0.7854864001274109
65cb63e160bb47fbf9349269	squirrels	5.5	6.7	0.7854864001274109
65cb63e160bb47fbf9349269	Fortis	6.7	8.0	0.7854864001274109
65cb63e160bb47fbf9349269	has	8.0	8.4	0.7854864001274109
65cb63e160bb47fbf9349269	rats	9.4	10.2	0.4958453178405762
65cb63e160bb47fbf9349269	opossums	12.7	13.8	0.8899551033973694
65cb63e160bb47fbf9349269	Birds	15.1	16.0	0.8666739463806152
65cb63e160bb47fbf9349269	Chipmunks	16.0	17.6	0.8666739463806152
65cb63e160bb47fbf9349269	pigeons	17.6	18.7	0.8666739463806152
65cb63e160bb47fbf9349269	bald	21.8	22.4	0.952566385269165
65cb63e160bb47fbf9349269	eagles	22.4	23.0	0.952566385269165
65cb63e160bb47fbf9349269	lions	26.4	28.3	0.9277595281600952
65cb63e160bb47fbf9349269	tigers	28.3	28.8	0.9277595281600952
65cb63e160bb47fbf9349269	elephants	28.8	29.8	0.9277595281600952
65cb63e160bb47fbf9349269	giraffes	29.8	30.6	0.9277595281600952
65cb63e160bb47fbf9349269	rhinosaurus	31.9	32.7	0.89026939868927
65cb63e160bb47fbf9349269	snakes	35.3	35.9	0.9255856275558472
65cb63e160bb47fbf9349269	Buffalo	44.1	45.0	0.9040347933769226
65cb63e160bb47fbf9349269	lb	45.0	46.1	0.9040347933769226
65cb63e160bb47fbf9349269	chickens	46.1	47.5	0.9040347933769226
65cb63e160bb47fbf9349269	dear	48.4	49.2	0.2963654696941376
65cb63e160bb47fbf9349269	change	52.4	53.1	0.5339341163635254
65cb63e160bb47fbf9349269	horses	54.6	55.6	0.8116222023963928
65cb63e160bb47fbf9349269	kangaroos	57.5	58.5	0.9757983684539795
65cb63e160bb47fbf9349269	koalas	61.3	62.4	0.9876290559768677
65cb63e160bb47fbf9349269	penguins	74.3	75.3	0.7965498566627502
65cb63e160bb47fbf9349269	polar bears	76.9	77.9	0.9896908402442932
65cb63e160bb47fbf9349269	black	77.9	78.9	0.9896908402442932
65cb63e160bb47fbf9349269	bears	78.9	79.1	0.9896908402442932
65cb63e160bb47fbf9349269	brown	79.1	79.9	0.9896908402442932
65cb63e160bb47fbf9349269	bears	79.9	80.1	0.9896908402442932
65cb63e160bb47fbf9349269	orangutans	93.6	94.8	0.9377231597900391
65cb63e160bb47fbf9349269	monkeys	94.8	95.6	0.9377231597900391
65cb63e160bb47fbf9349269	fish	99.3	99.9	0.8524718880653381
65cb63e160bb47fbf9349269	whales	99.9	100.8	0.8524718880653381
65cb63e160bb47fbf9349269	crowns	100.8	102.1	0.8524718880653381
65cb63e160bb47fbf9349269	seahorses	105.8	106.9	0.7318073511123657
65cb63e160bb47fbf9349269	dolphins	106.9	108.3	0.7318073511123657
65cb63e160bb47fbf9349269	memories	111.8	113.2	0.9128650426864624
65cb63e160bb47fbf9349269	jellyfish	115.8	116.7	1.0
65d6a09286a0c99e632a46dd	Birds	0.5	3.3	0.9245231747627258
65d6a09286a0c99e632a46dd	cats	4.3	5.2	0.9747695922851562
65d6a09286a0c99e632a46dd	dogs	5.2	5.8	0.9747695922851562
65d6a09286a0c99e632a46dd	lizards	5.8	6.3	0.9747695922851562
65d6a09286a0c99e632a46dd	frogs	8.2	9.2	0.9368137121200562
65d6a09286a0c99e632a46dd	fish	12.3	12.9	0.8858206272125244
65d6a09286a0c99e632a46dd	tigers	15.7	16.6	0.9366059303283691
65d6a09286a0c99e632a46dd	lions	16.6	17.2	0.9366059303283691
65d6a09286a0c99e632a46dd	elephants	19.0	20.9	0.9393448829650879
65d6a09286a0c99e632a46dd	monkeys	20.9	21.8	0.9393448829650879
65d6a09286a0c99e632a46dd	pandas	28.1	29.6	0.851433277130127
65d6a09286a0c99e632a46dd	horse	29.6	30.6	0.851433277130127
65d6a09286a0c99e632a46dd	snake	31.8	33.5	0.9264451265335083
65d6a09286a0c99e632a46dd	dear	36.0	36.7	0.5476884245872498
65d6a09286a0c99e632a46dd	pandas	38.2	39.7	0.7136848568916321
65d6a09286a0c99e632a46dd	raccoons	40.7	42.2	0.8794154524803162
65d6a09286a0c99e632a46dd	Jaguars	44.7	47.1	0.9727877378463745
65d6a09286a0c99e632a46dd	cougar	51.7	52.6	0.9066131114959717
65d6a09286a0c99e632a46dd	hamster	52.6	53.9	0.9066131114959717
65d6a09286a0c99e632a46dd	camel	55.4	56.4	0.9244113564491272
65d6a09286a0c99e632a46dd	bear	64.8	66.7	0.8465478420257568
65d6a09286a0c99e632a46dd	hyena	74.3	75.2	0.9864845275878906
65d6a09286a0c99e632a46dd	there's	76.3	76.8	0.9736672043800354
65d6a09286a0c99e632a46dd	a	76.8	76.9	0.9736672043800354
65d6a09286a0c99e632a46dd	badger	76.9	77.4	0.9736672043800354
65d6a09286a0c99e632a46dd	there's	77.4	79.7	0.9736672043800354
65d6a09286a0c99e632a46dd	a	79.7	79.9	0.9736672043800354
65d6a09286a0c99e632a46dd	wolverine	79.9	82.4	0.9736672043800354
65d6a09286a0c99e632a46dd	a	82.4	83.1	0.9736672043800354
65d6a09286a0c99e632a46dd	porcupine	83.1	83.5	0.9736672043800354
65d6a09286a0c99e632a46dd	Chipmunks	90.7	91.9	0.5278468728065491
65d6a09286a0c99e632a46dd	sorority	93.8	96.5	0.756848931312561
65d6a09286a0c99e632a46dd	zebra	96.5	97.9	0.756848931312561
65d6a09286a0c99e632a46dd	a	100.4	100.7	0.8613893389701843
65d6a09286a0c99e632a46dd	hippo	100.7	101.4	0.8613893389701843
65d6a09286a0c99e632a46dd	giraffe	107.0	107.7	0.9876290559768677
65d6a09286a0c99e632a46dd	Fox	112.1	113.2	0.7338667511940002
65d6a09286a0c99e632a46dd	a	113.2	113.9	0.7338667511940002
65d6a09286a0c99e632a46dd	gator	113.9	114.5	0.7338667511940002
600f9342e7bc5518fa9ca92a	dog	15.5	16.5	0.8950787782669067
600f9342e7bc5518fa9ca92a	cat	16.5	17.1	0.8950787782669067
600f9342e7bc5518fa9ca92a	horse	19.2	19.9	0.2687032222747803
600f9342e7bc5518fa9ca92a	Bayer	20.8	21.3	0.6011406183242798
600f9342e7bc5518fa9ca92a	hiring	21.3	22.8	0.6011406183242798
600f9342e7bc5518fa9ca92a	lion	24.5	25.2	0.8191401958465576
600f9342e7bc5518fa9ca92a	Snake	26.4	27.4	0.9535923004150391
600f9342e7bc5518fa9ca92a	Bird	27.4	28.6	0.9535923004150391
600f9342e7bc5518fa9ca92a	betta	30.9	31.8	0.5128989219665527
600f9342e7bc5518fa9ca92a	fish	31.8	32.0	0.5128989219665527
600f9342e7bc5518fa9ca92a	drop	34.4	35.1	0.5131973028182983
600f9342e7bc5518fa9ca92a	rod	35.1	35.9	0.5131973028182983
