subj_id	Word	Start_time	End_time	Confidence
610c59ee34cc312d7ca55e45	water	3.2	5.8	0.9241582751274109
610c59ee34cc312d7ca55e45	boys	10.3	11.2	0.958269476890564
610c59ee34cc312d7ca55e45	shoes	11.2	12.0	0.958269476890564
610c59ee34cc312d7ca55e45	apple	13.8	14.4	0.9876290559768677
610c59ee34cc312d7ca55e45	juice	14.4	15.1	0.9876290559768677
610c59ee34cc312d7ca55e45	mail	18.2	18.9	0.5759153962135315
610c59ee34cc312d7ca55e45	alcohol	35.4	36.7	0.9601468443870544
610c59ee34cc312d7ca55e45	like	36.7	37.2	0.9601468443870544
610c59ee34cc312d7ca55e45	tequila	37.2	38.6	0.9601468443870544
610c59ee34cc312d7ca55e45	Barca	40.3	41.2	0.784382164478302
610c59ee34cc312d7ca55e45	whiskey	43.0	43.8	0.9159092903137207
610c59ee34cc312d7ca55e45	wine	43.8	44.6	0.9159092903137207
610c59ee34cc312d7ca55e45	beer	44.6	45.4	0.9159092903137207
610c59ee34cc312d7ca55e45	oil	54.4	55.2	0.9529451131820679
610c59ee34cc312d7ca55e45	good morning	60.2	61.2	0.367515504360199
610c59ee34cc312d7ca55e45	bleach	70.6	71.7	0.9025295972824097
610c59ee34cc312d7ca55e45	WYD	78.6	80.0	0.4164619445800781
610c59ee34cc312d7ca55e45	air freshener	99.5	100.9	0.9835720658302307
610c59ee34cc312d7ca55e45	makeup	105.4	106.3	0.9876290559768677
610c59ee34cc312d7ca55e45	foundation	106.3	106.5	0.9876290559768677
610c59ee34cc312d7ca55e45	setting	109.4	110.2	0.9876290559768677
610c59ee34cc312d7ca55e45	spray	110.2	110.7	0.9876290559768677
610c59ee34cc312d7ca55e45	lip	111.8	112.3	0.937509298324585
610c59ee34cc312d7ca55e45	gloss	112.3	112.9	0.937509298324585
600f9342e7bc5518fa9ca92a	water	12.4	13.7	0.9614965915679932
600f9342e7bc5518fa9ca92a	slide	13.7	14.7	0.9614965915679932
600f9342e7bc5518fa9ca92a	oil	14.7	14.8	0.9614965915679932
600f9342e7bc5518fa9ca92a	alcohol	16.0	16.9	0.9871644973754883
600f9342e7bc5518fa9ca92a	coffee	16.9	17.6	0.9871644973754883
600f9342e7bc5518fa9ca92a	vinegar	17.6	18.1	0.9871644973754883
600f9342e7bc5518fa9ca92a	bunny	19.8	20.3	0.9580444693565369
600f9342e7bc5518fa9ca92a	milk	20.3	20.7	0.9580444693565369
600f9342e7bc5518fa9ca92a	gasoline	20.7	22.2	0.9580444693565369
600f9342e7bc5518fa9ca92a	oil	24.5	25.2	0.9528582096099854
6001487015e5f62961639e7d	water	2.2	3.3	0.9157228469848633
6001487015e5f62961639e7d	juice	4.8	6.6	0.9101478457450867
6001487015e5f62961639e7d	lemonade	6.6	8.2	0.9101478457450867
6001487015e5f62961639e7d	tea	8.2	9.3	0.9101478457450867
6001487015e5f62961639e7d	soda	13.3	14.4	0.9627894163131714
6001487015e5f62961639e7d	bleach	19.8	20.8	0.8865025639533997
6001487015e5f62961639e7d	laundry	27.5	29.1	0.9796745181083679
6001487015e5f62961639e7d	detergent	29.1	29.3	0.9796745181083679
6001487015e5f62961639e7d	broth	37.7	38.6	0.8464769721031189
6001487015e5f62961639e7d	liquid	63.4	64.1	0.9876290559768677
6001487015e5f62961639e7d	soap	64.1	64.5	0.9876290559768677
6001487015e5f62961639e7d	cough	79.2	79.8	0.9876290559768677
6001487015e5f62961639e7d	syrup	79.8	80.4	0.9876290559768677
6001487015e5f62961639e7d	hydrogen	86.3	87.1	0.9876290559768677
6001487015e5f62961639e7d	peroxide	87.1	87.2	0.9876290559768677
6001487015e5f62961639e7d	rubbing	89.3	89.9	0.9876290559768677
6001487015e5f62961639e7d	alcohol	89.9	90.0	0.9876290559768677
6001487015e5f62961639e7d	and	100.3	100.9	0.9308909177780151
6001487015e5f62961639e7d	paint	100.9	101.5	0.9308909177780151
65d6a09286a0c99e632a46dd	liquids	0.9	1.9	0.8472630977630615
65d6a09286a0c99e632a46dd	water	3.9	4.7	0.9722868800163269
65d6a09286a0c99e632a46dd	soda	5.9	6.8	0.9155447483062744
65d6a09286a0c99e632a46dd	Gatorade	8.6	9.7	0.9559134244918823
65d6a09286a0c99e632a46dd	t	10.8	11.4	0.5140109658241272
65d6a09286a0c99e632a46dd	windshield	14.8	17.1	0.9699476361274719
65d6a09286a0c99e632a46dd	wiper	17.1	17.5	0.9699476361274719
65d6a09286a0c99e632a46dd	fluid	17.5	17.7	0.9699476361274719
65d6a09286a0c99e632a46dd	saliva	27.8	28.8	0.9563403725624084
65d6a09286a0c99e632a46dd	is	28.8	29.1	0.9563403725624084
65d6a09286a0c99e632a46dd	liquid	29.1	30.3	0.9563403725624084
65d6a09286a0c99e632a46dd	car	35.8	36.4	0.9723537564277649
65d6a09286a0c99e632a46dd	oil	36.4	36.5	0.9723537564277649
65d6a09286a0c99e632a46dd	let's	41.4	42.5	0.6965911388397217
65d6a09286a0c99e632a46dd	see	42.5	42.7	0.6965911388397217
65d6a09286a0c99e632a46dd	blood	44.9	45.8	1.0
65d6a09286a0c99e632a46dd	Sweat	47.0	48.0	0.9583115577697754
65d6a09286a0c99e632a46dd	tears	48.0	49.2	0.9583115577697754
65d6a09286a0c99e632a46dd	alcohol	58.1	59.1	0.9209645986557007
65d6a09286a0c99e632a46dd	Mercury	63.6	65.5	0.9565922021865845
65d6a09286a0c99e632a46dd	I'll	72.4	74.9	0.9098945260047913
65d6a09286a0c99e632a46dd	see what else	74.9	75.7	0.9098945260047913
65d6a09286a0c99e632a46dd	what else	75.7	76.0	0.9098945260047913
65d6a09286a0c99e632a46dd	what else	76.0	76.3	0.9098945260047913
65d6a09286a0c99e632a46dd	glue and	89.5	90.5	0.7792640328407288
65d6a09286a0c99e632a46dd	glue	90.5	90.9	0.7792640328407288
65d6a09286a0c99e632a46dd	liquid	90.9	91.8	0.7792640328407288
65d6a09286a0c99e632a46dd	it may be	93.0	93.6	0.7087610363960266
65d6a09286a0c99e632a46dd	hot	93.6	94.0	0.7087610363960266
65d6a09286a0c99e632a46dd	glue	94.0	94.4	0.7087610363960266
65d6a09286a0c99e632a46dd	but not really	94.4	95.1	0.7087610363960266
65d6a09286a0c99e632a46dd	liquid	100.6	101.7	0.9670923948287964
65d6a09286a0c99e632a46dd	set	107.8	108.3	0.8143088221549988
65d6a09286a0c99e632a46dd	water	108.3	108.7	0.8143088221549988
65d6a09286a0c99e632a46dd	beer	113.7	114.5	0.8700733184814453
65d6a09286a0c99e632a46dd	that's	114.5	114.7	0.8700733184814453
65d6a09286a0c99e632a46dd	part of	114.7	115.0	0.8700733184814453
65d6a09286a0c99e632a46dd	alcohol	115.0	115.9	0.8700733184814453
65c25cf77dca9d7ca7d9ebdb	water	3.5	4.3	0.9779157638549805
65c25cf77dca9d7ca7d9ebdb	Mercury	4.3	5.3	0.9779157638549805
65c25cf77dca9d7ca7d9ebdb	bleach	8.0	9.9	0.6038902997970581
65c25cf77dca9d7ca7d9ebdb	Gatorade	11.3	13.4	0.8930947780609131
65c25cf77dca9d7ca7d9ebdb	Powerade	13.4	13.9	0.8930947780609131
65c25cf77dca9d7ca7d9ebdb	talking	13.9	16.3	0.8930947780609131
65c25cf77dca9d7ca7d9ebdb	milk	18.2	18.9	0.9676582217216492
65c25cf77dca9d7ca7d9ebdb	chuuch	21.8	22.5	0.2977944016456604
65c25cf77dca9d7ca7d9ebdb	window	27.7	28.4	0.9731945991516113
65c25cf77dca9d7ca7d9ebdb	cleaner	28.4	29.0	0.9731945991516113
65c25cf77dca9d7ca7d9ebdb	oil	36.0	36.8	0.5744219422340393
65c25cf77dca9d7ca7d9ebdb	car	45.1	46.0	0.7853581309318542
65c25cf77dca9d7ca7d9ebdb	oil	46.0	46.2	0.7853581309318542
65c25cf77dca9d7ca7d9ebdb	olive	47.6	48.3	0.7817402482032776
65c25cf77dca9d7ca7d9ebdb	oil	48.3	48.6	0.7817402482032776
65c25cf77dca9d7ca7d9ebdb	with	48.6	48.7	0.7817402482032776
65c25cf77dca9d7ca7d9ebdb	canola	48.7	49.9	0.7817402482032776
65c25cf77dca9d7ca7d9ebdb	oil	49.9	50.4	0.7817402482032776
65c25cf77dca9d7ca7d9ebdb	if in	60.2	60.9	0.7759026885032654
65c25cf77dca9d7ca7d9ebdb	nitrogen	60.9	61.4	0.7759026885032654
65c25cf77dca9d7ca7d9ebdb	laundry	90.9	91.8	0.9787862300872803
65c25cf77dca9d7ca7d9ebdb	detergent	91.8	92.0	0.9787862300872803
65c25cf77dca9d7ca7d9ebdb	Easter	95.3	96.2	0.4263880550861359
65c25cf77dca9d7ca7d9ebdb	soda	102.4	103.3	0.684432864189148
65c25cf77dca9d7ca7d9ebdb	beer	105.6	106.1	0.4220646917819977
65c25cf77dca9d7ca7d9ebdb	Oran	107.5	108.3	0.6733213067054749
65c25cf77dca9d7ca7d9ebdb	vodka	110.7	111.7	0.786043107509613
65c25cf77dca9d7ca7d9ebdb	or	111.7	111.8	0.786043107509613
65c25cf77dca9d7ca7d9ebdb	whiskey	111.8	112.4	0.786043107509613
65c25cf77dca9d7ca7d9ebdb	Irving	113.7	114.5	0.4322126507759094
6554de7d91c1b1bf51104fda	soda	0.9	2.1	0.9694437384605408
6554de7d91c1b1bf51104fda	water	2.1	3.0	0.9694437384605408
6554de7d91c1b1bf51104fda	milk	5.2	5.9	1.0
6554de7d91c1b1bf51104fda	juice	7.2	8.0	0.9115485548973083
6554de7d91c1b1bf51104fda	bottle	12.7	13.5	0.933635950088501
6554de7d91c1b1bf51104fda	beaker	16.8	18.3	0.4878595173358917
6554de7d91c1b1bf51104fda	Barrel	23.0	23.7	0.818680465221405
6554de7d91c1b1bf51104fda	olive	25.5	26.2	0.8151588439941406
6554de7d91c1b1bf51104fda	oil	26.2	27.4	0.8151588439941406
6554de7d91c1b1bf51104fda	see through	30.7	32.4	0.8803722858428955
6554de7d91c1b1bf51104fda	beverage	33.4	34.4	0.9641252160072327
6554de7d91c1b1bf51104fda	drink	34.4	35.9	0.9641252160072327
6554de7d91c1b1bf51104fda	refreshing	38.1	40.2	0.9876290559768677
6554de7d91c1b1bf51104fda	fluid	41.5	42.3	0.9078136086463928
6554de7d91c1b1bf51104fda	blood	49.3	50.5	0.9464001059532166
6554de7d91c1b1bf51104fda	stew	52.1	53.1	0.9591318964958191
6554de7d91c1b1bf51104fda	soup	53.1	53.9	0.9591318964958191
6554de7d91c1b1bf51104fda	ocean	60.6	61.4	0.7235317826271057
6554de7d91c1b1bf51104fda	syrup	65.8	66.7	0.6010318398475647
6554de7d91c1b1bf51104fda	drinks	73.4	75.0	0.8891116976737976
6554de7d91c1b1bf51104fda	picture	81.3	82.0	0.9050949215888977
6554de7d91c1b1bf51104fda	leak	82.0	83.4	0.9050949215888977
6554de7d91c1b1bf51104fda	drip	83.4	84.6	0.9050949215888977
6554de7d91c1b1bf51104fda	pour	84.6	85.8	0.9050949215888977
6554de7d91c1b1bf51104fda	spill	85.8	87.4	0.9050949215888977
6554de7d91c1b1bf51104fda	freeze	88.4	89.1	0.804485559463501
6554de7d91c1b1bf51104fda	boil	89.1	90.2	0.804485559463501
6554de7d91c1b1bf51104fda	wet	90.2	92.1	0.804485559463501
6554de7d91c1b1bf51104fda	moist	93.1	94.0	0.9062133431434631
6554de7d91c1b1bf51104fda	Lottery	95.5	96.3	0.963144063949585
6554de7d91c1b1bf51104fda	clear	97.6	98.3	0.9134624004364014
6554de7d91c1b1bf51104fda	carbonated	101.3	102.7	0.9600796103477478
6554de7d91c1b1bf51104fda	smooth	103.9	104.7	0.7146922945976257
6554de7d91c1b1bf51104fda	flowing	104.7	105.7	0.7146922945976257
6554de7d91c1b1bf51104fda	Beck	106.7	107.3	0.6096197366714478
6554de7d91c1b1bf51104fda	Dance	107.3	108.5	0.6096197366714478
