subj_id	Word	Start_time	End_time	Confidence
65c18079d4f634d2c8a0728c	basketball	2.7	3.8	0.9659407138824463
65c18079d4f634d2c8a0728c	tennis	3.8	4.8	0.9659407138824463
65c18079d4f634d2c8a0728c	baseball	4.8	6.0	0.9659407138824463
65c18079d4f634d2c8a0728c	volleyball	6.0	7.2	0.9659407138824463
65c18079d4f634d2c8a0728c	water	7.2	8.0	0.9659407138824463
65c18079d4f634d2c8a0728c	polo	8.0	8.5	0.9659407138824463
65c18079d4f634d2c8a0728c	swimming	8.5	9.2	0.9659407138824463
65c18079d4f634d2c8a0728c	diving	9.2	10.2	0.9659407138824463
65c18079d4f634d2c8a0728c	track	10.2	11.2	0.9659407138824463
65c18079d4f634d2c8a0728c	field	12.6	13.3	0.870836079120636
65c18079d4f634d2c8a0728c	high	13.3	13.8	0.870836079120636
65c18079d4f634d2c8a0728c	jump	13.8	14.4	0.870836079120636
65c18079d4f634d2c8a0728c	soccer	18.6	19.3	0.9661402106285095
65c18079d4f634d2c8a0728c	tennis	19.3	20.2	0.9661402106285095
65c18079d4f634d2c8a0728c	badminton	20.2	21.9	0.9661402106285095
65c18079d4f634d2c8a0728c	field	21.9	22.6	0.9661402106285095
65c18079d4f634d2c8a0728c	hockey	22.6	22.9	0.9661402106285095
65c18079d4f634d2c8a0728c	ice	22.9	23.6	0.9661402106285095
65c18079d4f634d2c8a0728c	hockey	23.6	23.7	0.9661402106285095
65c18079d4f634d2c8a0728c	lacrosse	23.7	25.4	0.9661402106285095
65c18079d4f634d2c8a0728c	golf	28.5	29.3	0.858792781829834
65c18079d4f634d2c8a0728c	wrestling	30.9	31.7	0.9651308059692383
65c18079d4f634d2c8a0728c	football	31.7	32.9	0.9651308059692383
65c18079d4f634d2c8a0728c	football	32.9	33.7	0.9651308059692383
65c18079d4f634d2c8a0728c	table	36.4	37.6	0.9357426166534424
65c18079d4f634d2c8a0728c	tennis	37.6	38.0	0.9357426166534424
65c18079d4f634d2c8a0728c	gymnastics	39.1	40.3	0.9876290559768677
65778c02cde55736bb830eca	football	2.0	3.0	1.0
65778c02cde55736bb830eca	basketball	3.0	4.0	1.0
65778c02cde55736bb830eca	badminton	5.6	6.4	0.9367859959602356
65778c02cde55736bb830eca	tennis	8.1	8.8	0.8566803336143494
65778c02cde55736bb830eca	hockey	8.8	10.4	0.8566803336143494
65778c02cde55736bb830eca	lacrosse	10.4	12.1	0.8566803336143494
65778c02cde55736bb830eca	soccer	12.1	13.9	0.8566803336143494
65778c02cde55736bb830eca	rugby	17.8	18.5	0.8119373321533203
65778c02cde55736bb830eca	volleyball	25.0	26.0	0.9413585662841797
65778c02cde55736bb830eca	baseball	29.7	30.6	0.9039013385772705
65778c02cde55736bb830eca	flag	30.6	31.9	0.9039013385772705
65778c02cde55736bb830eca	football	31.9	32.1	0.9039013385772705
65778c02cde55736bb830eca	running	36.6	38.3	0.9876290559768677
65778c02cde55736bb830eca	bobsledding	48.6	49.9	0.7700348496437073
65778c02cde55736bb830eca	skiing and	49.9	51.7	0.7700348496437073
65778c02cde55736bb830eca	snowboarding	51.7	52.2	0.7700348496437073
65778c02cde55736bb830eca	golf	58.4	59.0	0.8591220378875732
65778c02cde55736bb830eca	field	65.1	65.6	0.9876290559768677
65778c02cde55736bb830eca	hockey	65.6	65.8	0.9876290559768677
65778c02cde55736bb830eca	archery	71.1	71.9	0.9876290559768677
65778c02cde55736bb830eca	Box	83.1	83.8	0.992496132850647
65778c02cde55736bb830eca	Lacrosse	83.8	83.9	0.992496132850647
65778c02cde55736bb830eca	cheer	91.2	91.9	0.9265425801277161
65778c02cde55736bb830eca	gymnastics	105.5	106.8	0.9675405025482178
65778c02cde55736bb830eca	ice skating	111.5	115.3	0.9423291683197021
61035836646fb6ee2152f950	tennis	2.0	2.7	0.9099946022033691
61035836646fb6ee2152f950	baseball	2.7	4.1	0.9099946022033691
61035836646fb6ee2152f950	badminton	4.1	5.1	0.9099946022033691
61035836646fb6ee2152f950	Cricket	6.5	7.2	0.9644092321395874
61035836646fb6ee2152f950	bowling	7.2	8.1	0.9644092321395874
61035836646fb6ee2152f950	football	10.6	11.4	0.9578412771224976
61035836646fb6ee2152f950	pickleball	20.1	20.9	0.8754321336746216
61035836646fb6ee2152f950	dodgeball	20.9	22.5	0.8754321336746216
61035836646fb6ee2152f950	wall	24.3	25.0	0.9783673286437988
61035836646fb6ee2152f950	ball	25.0	25.1	0.9783673286437988
61035836646fb6ee2152f950	skiing	30.5	31.5	0.7664999961853027
61035836646fb6ee2152f950	snowboarding	31.5	33.3	0.7664999961853027
61035836646fb6ee2152f950	surfing	34.8	35.7	0.9262933731079102
61035836646fb6ee2152f950	running	37.9	38.7	0.9876290559768677
61035836646fb6ee2152f950	cycling	40.2	41.2	0.940311849117279
61035836646fb6ee2152f950	shooting	42.6	43.4	0.9637391567230225
61035836646fb6ee2152f950	archery	44.6	45.5	0.9876290559768677
61035836646fb6ee2152f950	NASCAR	53.9	54.9	0.9145230054855347
61035836646fb6ee2152f950	monster	58.2	59.0	0.9808977842330933
61035836646fb6ee2152f950	trucking	59.0	59.5	0.9808977842330933
61035836646fb6ee2152f950	shot	67.1	67.8	0.9505836963653564
61035836646fb6ee2152f950	put	67.8	68.3	0.9505836963653564
61035836646fb6ee2152f950	long	70.6	71.1	0.8403475284576416
61035836646fb6ee2152f950	jumping	71.1	71.6	0.8403475284576416
61035836646fb6ee2152f950	boat	91.2	92.3	0.9383374452590942
61035836646fb6ee2152f950	racing	92.3	92.8	0.9383374452590942
61035836646fb6ee2152f950	paragliding	94.6	95.6	0.9876290559768677
61035836646fb6ee2152f950	swimming	101.4	102.3	0.9204224944114685
61035836646fb6ee2152f950	fishing	106.8	107.7	0.924511730670929
61035836646fb6ee2152f950	gaming	112.7	113.6	0.950874388217926
65eeceee847314e8232923c9	football	2.8	3.6	0.9471725821495056
65eeceee847314e8232923c9	Delta	5.6	6.3	0.3391948342323303
65eeceee847314e8232923c9	basketball	14.6	15.6	0.9762001037597656
65eeceee847314e8232923c9	be	25.5	27.1	0.4794884622097015
65eeceee847314e8232923c9	Nextbook	34.7	35.4	0.4581032991409302
65eeceee847314e8232923c9	handbook	35.4	37.3	0.4581032991409302
65eeceee847314e8232923c9	family	48.1	48.7	0.5704152584075928
65eeceee847314e8232923c9	applet	50.4	51.2	0.8433573246002197
65eeceee847314e8232923c9	awesome	53.0	53.8	0.9596318006515503
65eeceee847314e8232923c9	kickboxing	60.9	61.8	0.7887069582939148
65eeceee847314e8232923c9	Olympics	88.4	89.4	0.9748724102973938
65eeceee847314e8232923c9	bug	91.9	92.4	0.371247410774231
65eeceee847314e8232923c9	bites	92.4	92.7	0.371247410774231
65eeceee847314e8232923c9	PS4	113.7	114.6	0.4914286434650421
6595e3b4dc9090390e4edb5f	basketball	5.9	6.9	0.9882030487060547
6595e3b4dc9090390e4edb5f	baseball	6.9	7.8	0.9882030487060547
6595e3b4dc9090390e4edb5f	football	9.5	10.5	0.9488928914070129
6595e3b4dc9090390e4edb5f	soccer	12.1	12.8	0.9780073165893555
6595e3b4dc9090390e4edb5f	tennis	12.8	14.1	0.9780073165893555
6595e3b4dc9090390e4edb5f	net in	14.1	15.6	0.9780073165893555
6595e3b4dc9090390e4edb5f	volleyball	15.6	16.5	0.9780073165893555
6595e3b4dc9090390e4edb5f	snowboarding	21.8	22.9	0.8856855630874634
6595e3b4dc9090390e4edb5f	skiing	22.9	24.0	0.8856855630874634
6595e3b4dc9090390e4edb5f	archery	25.6	26.4	1.0
6595e3b4dc9090390e4edb5f	softball	29.7	30.9	0.8809182643890381
6595e3b4dc9090390e4edb5f	cricket	30.9	31.7	0.8809182643890381
6595e3b4dc9090390e4edb5f	pickleball	34.4	35.5	0.9668586850166321
6595e3b4dc9090390e4edb5f	hockey	51.0	51.7	0.8856251835823059
6595e3b4dc9090390e4edb5f	ice	51.7	53.0	0.8856251835823059
6595e3b4dc9090390e4edb5f	hockey	53.0	53.1	0.8856251835823059
6595e3b4dc9090390e4edb5f	she'll	53.1	53.7	0.8856251835823059
6595e3b4dc9090390e4edb5f	talk to me	53.7	54.2	0.8856251835823059
6595e3b4dc9090390e4edb5f	water	54.2	55.2	0.8856251835823059
6595e3b4dc9090390e4edb5f	polo	55.2	55.8	0.8856251835823059
6595e3b4dc9090390e4edb5f	rugby	55.8	57.0	0.8856251835823059
6595e3b4dc9090390e4edb5f	rowing	59.4	60.2	0.7892093062400818
6595e3b4dc9090390e4edb5f	I can	61.7	62.4	0.7574484944343567
6595e3b4dc9090390e4edb5f	feel	62.4	62.9	0.7574484944343567
6595e3b4dc9090390e4edb5f	the name	70.1	70.9	0.8129398226737976
6595e3b4dc9090390e4edb5f	bowling	72.9	73.7	0.7248610258102417
6595e3b4dc9090390e4edb5f	boxing	73.7	75.3	0.7248610258102417
6595e3b4dc9090390e4edb5f	surfing	79.2	80.0	0.6934187412261963
6595e3b4dc9090390e4edb5f	pearling	80.0	81.0	0.6934187412261963
6595e3b4dc9090390e4edb5f	figure skating	82.7	83.6	0.9835848808288574
6595e3b4dc9090390e4edb5f	doll	90.2	90.7	0.2758959531784058
6595e3b4dc9090390e4edb5f	table	96.5	97.4	0.9537057876586914
6595e3b4dc9090390e4edb5f	tennis	97.4	97.8	0.9537057876586914
6595e3b4dc9090390e4edb5f	bodybuilding	104.2	105.3	0.9588672518730164
6595e3b4dc9090390e4edb5f	cycling	108.6	109.4	0.9458917379379272
65cbcaaab9e2fae86452af73	basketball	0.7	2.1	0.9876290559768677
65cbcaaab9e2fae86452af73	football	2.1	2.5	0.9876290559768677
65cbcaaab9e2fae86452af73	soccer	2.5	2.9	0.9876290559768677
65cbcaaab9e2fae86452af73	hockey	2.9	3.8	0.9876290559768677
65cbcaaab9e2fae86452af73	ice	5.8	7.7	0.9380439519882202
65cbcaaab9e2fae86452af73	hockey	7.7	8.1	0.9380439519882202
65cbcaaab9e2fae86452af73	equestrian	8.1	9.8	0.9380439519882202
65cbcaaab9e2fae86452af73	swim	9.8	10.5	0.9380439519882202
65cbcaaab9e2fae86452af73	softball	11.8	12.7	0.9745810627937317
65cbcaaab9e2fae86452af73	baseball	12.7	13.2	0.9745810627937317
65cbcaaab9e2fae86452af73	cricket	13.2	14.9	0.9745810627937317
65cbcaaab9e2fae86452af73	Batman	22.1	22.8	0.9532745480537415
65cbcaaab9e2fae86452af73	tennis	22.8	23.8	0.9532745480537415
65cbcaaab9e2fae86452af73	pickleball	23.8	25.2	0.9532745480537415
65cbcaaab9e2fae86452af73	football	26.9	27.9	0.9221035838127136
65cbcaaab9e2fae86452af73	golf	30.6	31.6	0.3049783408641815
65cbcaaab9e2fae86452af73	skiing	38.7	39.8	0.95829176902771
65cbcaaab9e2fae86452af73	or	39.8	39.9	0.95829176902771
65cbcaaab9e2fae86452af73	snowboarding	39.9	40.1	0.95829176902771
65cbcaaab9e2fae86452af73	wrestling	40.1	42.7	0.95829176902771
65cbcaaab9e2fae86452af73	dancing	42.7	44.5	0.95829176902771
65cbcaaab9e2fae86452af73	cheerleading	44.5	45.3	0.95829176902771
65cbcaaab9e2fae86452af73	rock	75.2	76.1	0.9393165111541748
65cbcaaab9e2fae86452af73	climbing	76.1	76.5	0.9393165111541748
65cbcaaab9e2fae86452af73	diving	96.3	97.3	0.984032392501831
65cbcaaab9e2fae86452af73	gymnastics	103.0	104.3	0.967759907245636
65cbcaaab9e2fae86452af73	racing	109.9	110.9	0.7853449583053589
65d26dcd13d9c8026aa92c4a	football	1.4	2.2	0.8904204368591309
65d26dcd13d9c8026aa92c4a	basketball	2.2	2.4	0.8904204368591309
65d26dcd13d9c8026aa92c4a	gymnastics	2.4	3.8	0.8904204368591309
65d26dcd13d9c8026aa92c4a	running	3.8	4.3	0.8904204368591309
65d26dcd13d9c8026aa92c4a	dance	4.3	5.1	0.8904204368591309
65d26dcd13d9c8026aa92c4a	tennis	5.1	5.8	0.8904204368591309
65d26dcd13d9c8026aa92c4a	racquetball	10.4	11.6	0.9876290559768677
65d26dcd13d9c8026aa92c4a	pickleball	11.6	12.4	0.9876290559768677
65d26dcd13d9c8026aa92c4a	bowling	14.4	15.1	0.8135360479354858
65d26dcd13d9c8026aa92c4a	Esports	18.2	19.1	0.9476783871650696
65d26dcd13d9c8026aa92c4a	wrestling	23.7	24.6	0.9674811363220215
