subj_id	Word	Start_time	End_time	Confidence
5ed9311e1a69d449577bb8cf	airfryer	2.9	3.8	0.935917854309082
5ed9311e1a69d449577bb8cf	oven	3.8	4.2	0.935917854309082
5ed9311e1a69d449577bb8cf	dishwasher	4.2	5.2	0.935917854309082
5ed9311e1a69d449577bb8cf	sink	5.2	6.3	0.935917854309082
5ed9311e1a69d449577bb8cf	soap	6.3	7.6	0.935917854309082
5ed9311e1a69d449577bb8cf	brush	7.6	8.5	0.935917854309082
5ed9311e1a69d449577bb8cf	salt	8.5	9.6	0.935917854309082
5ed9311e1a69d449577bb8cf	food	9.6	11.2	0.935917854309082
5ed9311e1a69d449577bb8cf	freezer	11.2	12.4	0.935917854309082
5ed9311e1a69d449577bb8cf	fridge	12.4	13.2	0.935917854309082
5ed9311e1a69d449577bb8cf	spatula	14.4	16.5	1.0
5ed9311e1a69d449577bb8cf	rice	17.6	18.2	0.9853189587593079
5ed9311e1a69d449577bb8cf	cooker	18.2	18.6	0.9853189587593079
5ed9311e1a69d449577bb8cf	air	18.6	18.8	0.9853189587593079
5ed9311e1a69d449577bb8cf	fryer	18.8	18.9	0.9853189587593079
5ed9311e1a69d449577bb8cf	paper	18.9	19.9	0.9853189587593079
5ed9311e1a69d449577bb8cf	towels	19.9	20.7	0.9853189587593079
5ed9311e1a69d449577bb8cf	kitchen	20.7	21.3	0.9853189587593079
5ed9311e1a69d449577bb8cf	towels	21.3	22.0	0.9853189587593079
5ed9311e1a69d449577bb8cf	Ice	30.1	30.6	0.964425265789032
5ed9311e1a69d449577bb8cf	Cube's	30.6	31.4	0.964425265789032
5ed9311e1a69d449577bb8cf	microwave	31.4	32.7	0.964425265789032
5ed9311e1a69d449577bb8cf	cups	37.0	37.7	0.7704641222953796
5ed9311e1a69d449577bb8cf	plates	37.7	38.2	0.7704641222953796
5ed9311e1a69d449577bb8cf	forks	38.2	39.0	0.7704641222953796
5ed9311e1a69d449577bb8cf	kitchen	44.1	44.7	0.9876291155815125
5ed9311e1a69d449577bb8cf	knife	44.7	44.8	0.9876291155815125
5ed9311e1a69d449577bb8cf	holder	44.8	45.4	0.9876291155815125
5ed9311e1a69d449577bb8cf	stovetop	47.9	49.0	0.8256022930145264
5ed9311e1a69d449577bb8cf	a	49.0	49.9	0.8256022930145264
5ed9311e1a69d449577bb8cf	clock	49.9	50.5	0.8256022930145264
5ed9311e1a69d449577bb8cf	Outlets	52.1	53.1	1.0
5ed9311e1a69d449577bb8cf	condiments	60.5	61.7	0.9722880721092224
5ed9311e1a69d449577bb8cf	drawers	65.9	67.0	0.9366227984428406
5ed9311e1a69d449577bb8cf	shelves	67.0	68.7	0.9366227984428406
5ed9311e1a69d449577bb8cf	salt	77.5	78.5	0.9901032447814941
5ed9311e1a69d449577bb8cf	shaker	78.5	78.8	0.9901032447814941
5ed9311e1a69d449577bb8cf	pepper	78.8	79.6	0.9901032447814941
5ed9311e1a69d449577bb8cf	shaker	79.6	80.2	0.9901032447814941
5ed9311e1a69d449577bb8cf	coffee	80.2	81.0	0.9901032447814941
5ed9311e1a69d449577bb8cf	spoon	87.3	87.8	0.9613184928894043
5ed9311e1a69d449577bb8cf	holder	87.8	88.0	0.9613184928894043
5ed9311e1a69d449577bb8cf	sponge	94.7	95.7	0.9747815132141113
5ed9311e1a69d449577bb8cf	garbage	97.0	97.8	0.9876290559768677
5ed9311e1a69d449577bb8cf	bags	97.8	98.4	0.9876290559768677
5ed9311e1a69d449577bb8cf	olive	104.5	105.2	0.9876290559768677
5ed9311e1a69d449577bb8cf	oil	105.2	105.6	0.9876290559768677
5ed9311e1a69d449577bb8cf	bottle	105.6	106.1	0.9876290559768677
5ed9311e1a69d449577bb8cf	holder	106.1	106.6	0.9876290559768677
5ed9311e1a69d449577bb8cf	a	110.1	110.5	0.7617849111557007
5ed9311e1a69d449577bb8cf	funnel	110.5	111.2	0.7617849111557007
5ed9311e1a69d449577bb8cf	baking	111.2	112.2	0.7617849111557007
5ed9311e1a69d449577bb8cf	tray	112.2	112.5	0.7617849111557007
65f3d5016e5acb0fd67df6ee	knife	8.4	9.5	0.7940253019332886
65f3d5016e5acb0fd67df6ee	sync	12.2	15.0	0.4765419960021973
65f3d5016e5acb0fd67df6ee	measuring	17.3	17.8	0.9434535503387451
65f3d5016e5acb0fd67df6ee	cup	17.8	18.3	0.9434535503387451
65f3d5016e5acb0fd67df6ee	Lionel	19.5	20.3	0.6763291954994202
65f3d5016e5acb0fd67df6ee	Richie	20.3	21.2	0.6763291954994202
65f3d5016e5acb0fd67df6ee	Hello	21.2	21.3	0.6763291954994202
65f3d5016e5acb0fd67df6ee	seasonings	29.1	30.2	0.9876290559768677
65f3d5016e5acb0fd67df6ee	else	31.3	32.0	0.5087621808052063
65f3d5016e5acb0fd67df6ee	meaning	33.6	34.1	0.6105191707611084
65f3d5016e5acb0fd67df6ee	Sports	34.1	34.8	0.6105191707611084
65f3d5016e5acb0fd67df6ee	and	42.1	42.8	0.7929269671440125
65f3d5016e5acb0fd67df6ee	knife	47.3	48.0	0.890166163444519
65f3d5016e5acb0fd67df6ee	dicer	50.7	53.8	0.624709963798523
65f3d5016e5acb0fd67df6ee	risks	57.2	58.4	0.6656866073608398
65f3d5016e5acb0fd67df6ee	and	73.2	73.8	0.789596438407898
65f3d5016e5acb0fd67df6ee	opener	73.8	74.2	0.789596438407898
65f3d5016e5acb0fd67df6ee	Pizza	79.3	79.7	0.9006425738334656
65f3d5016e5acb0fd67df6ee	slicer	79.7	80.2	0.9006425738334656
65f3d5016e5acb0fd67df6ee	a cheese	87.0	88.6	0.9876291155815125
65f3d5016e5acb0fd67df6ee	grater	88.6	88.8	0.9876291155815125
65f3d5016e5acb0fd67df6ee	peeler	95.4	96.2	0.6795750260353088
65f3d5016e5acb0fd67df6ee	non-stick	99.7	101.4	0.8532867431640625
65f3d5016e5acb0fd67df6ee	baking	101.4	102.3	0.8532867431640625
65f3d5016e5acb0fd67df6ee	set	102.3	103.0	0.8532867431640625
65f3d5016e5acb0fd67df6ee	thermometer	109.4	110.2	0.8542290329933167
65f3d5016e5acb0fd67df6ee	old	117.2	118.3	0.9056006073951721
65f3d5016e5acb0fd67df6ee	mixing	118.3	118.8	0.9056006073951721
65f3d5016e5acb0fd67df6ee	bowls	118.8	119.2	0.9056006073951721
65eeceee847314e8232923c9	nice	4.6	5.3	0.927893340587616
65eeceee847314e8232923c9	ladder	6.9	7.5	0.2749737799167633
65eeceee847314e8232923c9	kitchen	17.5	18.1	0.9719012975692749
65eeceee847314e8232923c9	light	18.1	18.4	0.9719012975692749
65eeceee847314e8232923c9	call	27.0	27.5	0.926915168762207
65eeceee847314e8232923c9	opener	27.5	28.0	0.926915168762207
65eeceee847314e8232923c9	custom	30.9	31.6	0.5373924970626831
65eeceee847314e8232923c9	boat	31.6	31.8	0.5373924970626831
65eeceee847314e8232923c9	play	34.4	34.8	0.4213083684444427
65eeceee847314e8232923c9	jazz	34.8	35.0	0.4213083684444427
65eeceee847314e8232923c9	funk	35.0	35.3	0.4213083684444427
65eeceee847314e8232923c9	flights	37.5	38.2	0.4344275593757629
65eeceee847314e8232923c9	Mustang	41.0	41.8	0.5976020097732544
65eeceee847314e8232923c9	Boss	41.8	42.0	0.5976020097732544
65eeceee847314e8232923c9	Allah	44.8	45.3	0.2322883605957031
65eeceee847314e8232923c9	Allah	45.3	45.4	0.2322883605957031
65eeceee847314e8232923c9	Talecris	60.0	60.9	0.6251190304756165
65eeceee847314e8232923c9	Griffin	63.8	64.5	0.870530903339386
65eeceee847314e8232923c9	Led	67.0	67.6	0.3477148115634918
65eeceee847314e8232923c9	Zeppelin	67.6	68.1	0.3477148115634918
65eeceee847314e8232923c9	thanks	71.5	72.2	0.707051157951355
65eeceee847314e8232923c9	Burlington	74.8	75.8	0.932635486125946
65eeceee847314e8232923c9	yes	80.4	81.0	0.8284796476364136
65eeceee847314e8232923c9	shower	83.0	83.5	0.4399703145027161
65eeceee847314e8232923c9	curtain	83.5	84.2	0.4399703145027161
65eeceee847314e8232923c9	Bitcoin	86.7	87.5	0.7254966497421265
65eeceee847314e8232923c9	Glenda	90.1	90.8	0.2688623368740082
65eeceee847314e8232923c9	food	93.6	94.1	0.4018709063529968
65eeceee847314e8232923c9	processor	94.1	94.6	0.4018709063529968
65eeceee847314e8232923c9	Irving	97.9	98.7	0.7351577281951904
65eeceee847314e8232923c9	Glick	98.7	99.0	0.7351577281951904
65eeceee847314e8232923c9	cookware	102.1	102.8	0.4101227223873138
65eeceee847314e8232923c9	Rochester	105.9	106.7	0.8548529148101807
65eeceee847314e8232923c9	Jordin	112.5	113.3	0.7871719598770142
65eeceee847314e8232923c9	Sparks	113.3	113.7	0.7871719598770142
65512e3cc12f463bc327b7c3	stoves	2.0	3.9	0.9835003614425659
65512e3cc12f463bc327b7c3	kettles	7.0	8.3	0.8521167635917664
65512e3cc12f463bc327b7c3	Keurigs	11.0	12.0	0.9724746346473694
65512e3cc12f463bc327b7c3	fridges	14.4	15.3	0.917192280292511
65512e3cc12f463bc327b7c3	freezers	17.4	18.4	0.9705439209938049
65512e3cc12f463bc327b7c3	microwaves	20.4	21.6	0.9757532477378845
65512e3cc12f463bc327b7c3	toasters	23.5	24.5	0.5896536707878113
65512e3cc12f463bc327b7c3	coffee	27.2	27.8	0.9770933389663696
65512e3cc12f463bc327b7c3	makers	27.8	28.4	0.9770933389663696
65512e3cc12f463bc327b7c3	cupboards	30.5	31.4	0.9608993530273438
65512e3cc12f463bc327b7c3	dishwashers	33.6	34.8	0.9650047421455383
65512e3cc12f463bc327b7c3	sinks	37.5	38.4	0.8783103227615356
65512e3cc12f463bc327b7c3	paper	41.0	41.5	0.9876290559768677
65512e3cc12f463bc327b7c3	towels	41.5	42.3	0.9876290559768677
65512e3cc12f463bc327b7c3	drying	45.4	46.1	0.9876290559768677
65512e3cc12f463bc327b7c3	racks	46.1	46.6	0.9876290559768677
65512e3cc12f463bc327b7c3	spices	49.6	50.7	0.9737222194671631
