subj_id	Word	Start_time	End_time	Confidence
395439	commendations	1.3	2.8	0.8977586627006531
395439	exams	2.8	4.6	0.8977586627006531
395439	testing	5.8	6.5	0.882552444934845
395439	disabilities	7.7	8.8	0.9876290559768677
395439	problems	9.6	10.4	0.9791988134384155
395439	issues	10.4	10.6	0.9791988134384155
395439	conflicts	13.7	14.7	0.8689250349998474
395439	time	18.5	19.2	0.9321823716163635
395439	extensions	19.2	20.0	0.9321823716163635
395439	special	23.2	24.1	0.9845114946365356
395439	access	24.1	25.2	0.9845114946365356
395439	special	27.0	27.6	0.9815351963043213
395439	testing	27.6	28.0	0.9815351963043213
395439	tsp	29.4	30.2	0.8015097975730896
395439	shorter	36.2	37.0	0.8136634826660156
395439	questions	37.0	37.7	0.8136634826660156
395439	longer	37.7	38.0	0.8136634826660156
395439	questions	38.0	38.7	0.8136634826660156
395439	making things	55.7	56.6	0.9698853492736816
395439	easier	56.6	57.1	0.9698853492736816
395439	equality	63.9	65.1	0.9473263025283813
395439	hotels	75.0	77.1	1.0
395439	flights	83.4	84.1	0.9301286935806274
395439	housing	92.8	93.5	0.9440944790840149
395439	trouble	106.6	107.4	0.8903095722198486
395439	commendations	1.3	2.8	0.8977586627006531
395439	exams	2.8	4.6	0.8977586627006531
395439	testing	5.8	6.5	0.882552444934845
395439	disabilities	7.7	8.8	0.9876290559768677
395439	problems	9.6	10.4	0.9791988134384155
395439	issues	10.4	10.6	0.9791988134384155
395439	conflicts	13.7	14.7	0.8689250349998474
395439	time	18.5	19.2	0.9321823716163635
395439	extensions	19.2	20.0	0.9321823716163635
395439	special	23.2	24.1	0.9845114946365356
395439	access	24.1	25.2	0.9845114946365356
395439	special	27.0	27.6	0.9815351963043213
395439	testing	27.6	28.0	0.9815351963043213
395439	tsp	29.4	30.2	0.8015097975730896
395439	shorter	36.2	37.0	0.8136634826660156
395439	questions	37.0	37.7	0.8136634826660156
395439	longer	37.7	38.0	0.8136634826660156
395439	questions	38.0	38.7	0.8136634826660156
395439	making things	55.7	56.6	0.9698853492736816
395439	easier	56.6	57.1	0.9698853492736816
395439	equality	63.9	65.1	0.9473263025283813
395439	hotels	75.0	77.1	1.0
395439	flights	83.4	84.1	0.9301286935806274
395439	housing	92.8	93.5	0.9440944790840149
395439	trouble	106.6	107.4	0.8903095722198486
