SID,entry,evaluation,replacement
65cb63e160bb47fbf9349269,dogs,FOUND,dogs
65cb63e160bb47fbf9349269,hunts,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,rabbits,REPLACE,rabbit
65cb63e160bb47fbf9349269,turtles,REPLACE,turtle
65cb63e160bb47fbf9349269,squirrels,REPLACE,squirrel
65cb63e160bb47fbf9349269,Fortis,REPLACE,loris
65cb63e160bb47fbf9349269,has,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,rats,REPLACE,rat
65cb63e160bb47fbf9349269,opossums,REPLACE,opossum
65cb63e160bb47fbf9349269,Birds,REPLACE,bird
65cb63e160bb47fbf9349269,Chipmunks,REPLACE,chipmunk
65cb63e160bb47fbf9349269,pigeons,REPLACE,pigeon
65cb63e160bb47fbf9349269,bald,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,eagles,REPLACE,eagle
65cb63e160bb47fbf9349269,lions,FOUND,lions
65cb63e160bb47fbf9349269,tigers,REPLACE,tiger
65cb63e160bb47fbf9349269,elephants,REPLACE,elephant
65cb63e160bb47fbf9349269,giraffes,REPLACE,giraffe
65cb63e160bb47fbf9349269,rhinosaurus,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,snakes,REPLACE,snake
65cb63e160bb47fbf9349269,Buffalo,REPLACE,buffalo
65cb63e160bb47fbf9349269,lb,REPLACE,lab
65cb63e160bb47fbf9349269,chickens,REPLACE,chicken
65cb63e160bb47fbf9349269,dear,FOUND,dear
65cb63e160bb47fbf9349269,change,REPLACE,crane
65cb63e160bb47fbf9349269,horses,REPLACE,horse
65cb63e160bb47fbf9349269,kangaroos,REPLACE,kangaroo
65cb63e160bb47fbf9349269,koalas,REPLACE,koala
65cb63e160bb47fbf9349269,penguins,REPLACE,penguin
65cb63e160bb47fbf9349269,polar,FOUND,polar
65cb63e160bb47fbf9349269,bears,REPLACE,bear
65cb63e160bb47fbf9349269,black,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,bears,REPLACE,bear
65cb63e160bb47fbf9349269,brown,REPLACE,bronc
65cb63e160bb47fbf9349269,bears,REPLACE,bear
65cb63e160bb47fbf9349269,orangutans,REPLACE,orangutan
65cb63e160bb47fbf9349269,monkeys,FOUND,monkeys
65cb63e160bb47fbf9349269,fish,FOUND,fish
65cb63e160bb47fbf9349269,whales,REPLACE,whale
65cb63e160bb47fbf9349269,crowns,REPLACE,crow
65cb63e160bb47fbf9349269,seahorses,REPLACE,seahorse
65cb63e160bb47fbf9349269,dolphins,REPLACE,dolphin
65cb63e160bb47fbf9349269,memories,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,jellyfish,FOUND,jellyfish
65d6a09286a0c99e632a46dd,Birds,REPLACE,bird
65d6a09286a0c99e632a46dd,cats,REPLACE,cat
65d6a09286a0c99e632a46dd,dogs,FOUND,dogs
65d6a09286a0c99e632a46dd,lizards,REPLACE,lizard
65d6a09286a0c99e632a46dd,frogs,REPLACE,frog
65d6a09286a0c99e632a46dd,fish,FOUND,fish
65d6a09286a0c99e632a46dd,tigers,REPLACE,tiger
65d6a09286a0c99e632a46dd,lions,FOUND,lions
65d6a09286a0c99e632a46dd,elephants,REPLACE,elephant
65d6a09286a0c99e632a46dd,monkeys,FOUND,monkeys
65d6a09286a0c99e632a46dd,pandas,REPLACE,panda
65d6a09286a0c99e632a46dd,horse,FOUND,horse
65d6a09286a0c99e632a46dd,snake,FOUND,snake
65d6a09286a0c99e632a46dd,dear,FOUND,dear
65d6a09286a0c99e632a46dd,pandas,REPLACE,panda
65d6a09286a0c99e632a46dd,raccoons,REPLACE,raccoon
65d6a09286a0c99e632a46dd,Jaguars,REPLACE,jaguar
65d6a09286a0c99e632a46dd,cougar,FOUND,cougar
65d6a09286a0c99e632a46dd,hamster,FOUND,hamster
65d6a09286a0c99e632a46dd,camel,FOUND,camel
65d6a09286a0c99e632a46dd,bear,FOUND,bear
65d6a09286a0c99e632a46dd,hyena,FOUND,hyena
65d6a09286a0c99e632a46dd,there's a,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,badger,FOUND,badger
65d6a09286a0c99e632a46dd,there's a,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,wolverine,FOUND,wolverine
65d6a09286a0c99e632a46dd,a,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,porcupine,FOUND,porcupine
65d6a09286a0c99e632a46dd,Chipmunks,REPLACE,chipmunk
65d6a09286a0c99e632a46dd,sorority,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,zebra,FOUND,zebra
65d6a09286a0c99e632a46dd,a,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,hippo,FOUND,hippo
65d6a09286a0c99e632a46dd,giraffe,FOUND,giraffe
65d6a09286a0c99e632a46dd,Fox,REPLACE,ox
65d6a09286a0c99e632a46dd,a,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,gator,FOUND,gator
600f9342e7bc5518fa9ca92a,dog,FOUND,dog
600f9342e7bc5518fa9ca92a,cat,FOUND,cat
600f9342e7bc5518fa9ca92a,horse,FOUND,horse
600f9342e7bc5518fa9ca92a,Bayer,EXCLUDE,EXCLUDE
600f9342e7bc5518fa9ca92a,hiring,REPLACE,whiting
600f9342e7bc5518fa9ca92a,lion,FOUND,lion
600f9342e7bc5518fa9ca92a,Snake,REPLACE,snake
600f9342e7bc5518fa9ca92a,Bird,REPLACE,bird
600f9342e7bc5518fa9ca92a,betta,FOUND,betta
600f9342e7bc5518fa9ca92a,fish,FOUND,fish
600f9342e7bc5518fa9ca92a,drop,EXCLUDE,EXCLUDE
600f9342e7bc5518fa9ca92a,rod,REPLACE,scrod
600f9342e7bc5518fa9ca92a,turtle,FOUND,turtle
600f9342e7bc5518fa9ca92a,jellyfish,FOUND,jellyfish
600f9342e7bc5518fa9ca92a,Rooster,REPLACE,rooster
600f9342e7bc5518fa9ca92a,Chicken,REPLACE,chicken
600f9342e7bc5518fa9ca92a,cow,FOUND,cow
65e1f75ab3efd22e847cfbf0,dog,FOUND,dog
65e1f75ab3efd22e847cfbf0,cat,FOUND,cat
65e1f75ab3efd22e847cfbf0,elephant,FOUND,elephant
65e1f75ab3efd22e847cfbf0,bird,FOUND,bird
65e1f75ab3efd22e847cfbf0,squirrel,FOUND,squirrel
65e1f75ab3efd22e847cfbf0,lion,FOUND,lion
65e1f75ab3efd22e847cfbf0,tiger,FOUND,tiger
65e1f75ab3efd22e847cfbf0,monkey,FOUND,monkey
65e1f75ab3efd22e847cfbf0,wolf,FOUND,wolf
65e1f75ab3efd22e847cfbf0,coyote,FOUND,coyote
65e1f75ab3efd22e847cfbf0,go,REPLACE,goby
65e1f75ab3efd22e847cfbf0,chicken,FOUND,chicken
65e1f75ab3efd22e847cfbf0,there,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,guinea,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,pig,FOUND,pig
65e1f75ab3efd22e847cfbf0,penguin,FOUND,penguin
65e1f75ab3efd22e847cfbf0,made,REPLACE,mare
65e1f75ab3efd22e847cfbf0,legal,REPLACE,gal
65e1f75ab3efd22e847cfbf0,hear it,REPLACE,hermit
65e1f75ab3efd22e847cfbf0,wizard,REPLACE,lizard
65e1f75ab3efd22e847cfbf0,Akita,REPLACE,akita
65e1f75ab3efd22e847cfbf0,Molly,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,moon,REPLACE,loon
65e1f75ab3efd22e847cfbf0,box,REPLACE,ox
65e1f75ab3efd22e847cfbf0,hair,REPLACE,hart
65e1f75ab3efd22e847cfbf0,rabbit,FOUND,rabbit
65e1f75ab3efd22e847cfbf0,snail,FOUND,snail
65e1f75ab3efd22e847cfbf0,Bulldog,REPLACE,bulldog
65e1f75ab3efd22e847cfbf0,cattle,FOUND,cattle
65e1f75ab3efd22e847cfbf0,dog,FOUND,dog
65e1f75ab3efd22e847cfbf0,Chicken,REPLACE,chicken
65e1f75ab3efd22e847cfbf0,Fiesta.,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Shark,REPLACE,shark
65e1f75ab3efd22e847cfbf0,rat,FOUND,rat
65e1f75ab3efd22e847cfbf0,owl,FOUND,owl
65e1f75ab3efd22e847cfbf0,Hound,REPLACE,hound
65e1f75ab3efd22e847cfbf0,that,REPLACE,hart
65e1f75ab3efd22e847cfbf0,beagle,FOUND,beagle
65e1f75ab3efd22e847cfbf0,beaver,FOUND,beaver
65e1f75ab3efd22e847cfbf0,trestique,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,what else,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,what else,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,what else,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Panda,REPLACE,panda
65e1f75ab3efd22e847cfbf0,Cobra,REPLACE,cobra
65e1f75ab3efd22e847cfbf0,camel,FOUND,camel
65e1f75ab3efd22e847cfbf0,turtle,FOUND,turtle
65e1f75ab3efd22e847cfbf0,an,REPLACE,man
65e1f75ab3efd22e847cfbf0,alligator,FOUND,alligator
65e1f75ab3efd22e847cfbf0,whale,FOUND,whale
65e1f75ab3efd22e847cfbf0,chimpanzee,FOUND,chimpanzee
65e1f75ab3efd22e847cfbf0,gorilla,FOUND,gorilla
65e1f75ab3efd22e847cfbf0,bad,REPLACE,boa
65e1f75ab3efd22e847cfbf0,deer,FOUND,deer
65e1f75ab3efd22e847cfbf0,kangaroo,FOUND,kangaroo
65e1f75ab3efd22e847cfbf0,koala,FOUND,koala
65e1f75ab3efd22e847cfbf0,zebra,FOUND,zebra
65e1f75ab3efd22e847cfbf0,Mouse,REPLACE,mouse
65e862f844f1b7a803bb3c5a,gorilla,FOUND,gorilla
65e862f844f1b7a803bb3c5a,Warriors,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,alligator,FOUND,alligator
65e862f844f1b7a803bb3c5a,bald,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,eagle,FOUND,eagle
65e862f844f1b7a803bb3c5a,wolf,FOUND,wolf
65e862f844f1b7a803bb3c5a,dear,FOUND,dear
65e862f844f1b7a803bb3c5a,Hearts,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,monkey,FOUND,monkey
65e862f844f1b7a803bb3c5a,giraffe,FOUND,giraffe
65e862f844f1b7a803bb3c5a,kangaroo,FOUND,kangaroo
65e862f844f1b7a803bb3c5a,leopon,REPLACE,loon
65e862f844f1b7a803bb3c5a,lion,FOUND,lion
65e862f844f1b7a803bb3c5a,zebra,FOUND,zebra
