Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
5885f97f41da4500014d3645,dog,0.0001,7.256114028
5885f97f41da4500014d3645,cat,0.6237586803271854,7.013143358
5885f97f41da4500014d3645,lion,0.4466598164572966,6.723957079
5885f97f41da4500014d3645,chigger,0.1919219729757471,4.320831473
5885f97f41da4500014d3645,cheetah,0.18706708790703874,5.023964037
5885f97f41da4500014d3645,zebra,0.596820731207019,5.561689192
5885f97f41da4500014d3645,elephant,0.39864544151135384,6.363660295
5885f97f41da4500014d3645,antelope,0.5174970736029806,5.845170623
5885f97f41da4500014d3645,deer,0.6109785582932673,6.706983738
5885f97f41da4500014d3645,beaver,0.41119310582442237,6.273193014
5885f97f41da4500014d3645,owl,0.4150581560299582,6.247115609
5885f97f41da4500014d3645,lizard,0.3279102985438668,5.89522027
5885f97f41da4500014d3645,gecko,0.6375777966933445,4.814460694
5885f97f41da4500014d3645,anteater,0.2965323958291902,4.649130322
5885f97f41da4500014d3645,platypus,0.46376919335728295,4.736667354
5885f97f41da4500014d3645,shark,0.3163766487977292,6.054603863
5885f97f41da4500014d3645,whale,0.4783327500163972,6.338615042
5885f97f41da4500014d3645,vole,0.2768156915725517,5.130533176
5885f97f41da4500014d3645,condor,0.47597532366778905,5.492043421
5885f97f41da4500014d3645,vulture,0.47633229737036076,5.633869236
5885f97f41da4500014d3645,buffalo,0.19680437549797958,6.710471006
5885f97f41da4500014d3645,moose,0.3587740187399846,5.977754233
5885f97f41da4500014d3645,mouse,0.4758676188168701,6.776846046
5885f97f41da4500014d3645,rat,0.604693004907609,6.766463413
5885f97f41da4500014d3645,capybara,0.38356484703625804,4.21769446
5885f97f41da4500014d3645,wolf,0.20119018314456705,6.745548976
5885f97f41da4500014d3645,dinosaur,0.32993407227753657,5.720477669
5885f97f41da4500014d3645,crocodile,0.4264955676143114,5.741384054
5885f97f41da4500014d3645,alligator,0.7675973151377622,5.714162885
5885f97f41da4500014d3645,peacock,0.2785716878815959,6.002633379
5885f97f41da4500014d3645,flamingo,0.5344080878798841,5.26212584
5885f97f41da4500014d3645,hippo,0.4844479625883106,5.321687476
5885f97f41da4500014d3645,worm,0.2629147514848773,6.383063674
5885f97f41da4500014d3645,rhino,0.21773349370355422,5.286768493
