SID,entry,evaluation,replacement
63e802622f8052bd67d6c5f0,Apple,REPLACE,apple
63e802622f8052bd67d6c5f0,orange,FOUND,orange
63e802622f8052bd67d6c5f0,pear,FOUND,pear
63e802622f8052bd67d6c5f0,grape,FOUND,grape
63e802622f8052bd67d6c5f0,blueberry,FOUND,blueberry
63e802622f8052bd67d6c5f0,raspberry,FOUND,raspberry
63e802622f8052bd67d6c5f0,strawberry,FOUND,strawberry
63e802622f8052bd67d6c5f0,BlackBerry,REPLACE,blackberry
63e802622f8052bd67d6c5f0,banana,FOUND,banana
63e802622f8052bd67d6c5f0,mango,FOUND,mango
63e802622f8052bd67d6c5f0,dragon,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,fruit,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,cantaloupe,FOUND,cantaloupe
63e802622f8052bd67d6c5f0,honeydew,FOUND,honeydew
63e802622f8052bd67d6c5f0,watermelon,FOUND,watermelon
63e802622f8052bd67d6c5f0,plum,FOUND,plum
63e802622f8052bd67d6c5f0,kiwi,FOUND,kiwi
6081806ab383aa89f6c61940,apples,REPLACE,apple
6081806ab383aa89f6c61940,mangoes,REPLACE,mango
6081806ab383aa89f6c61940,pineapple,FOUND,pineapple
6081806ab383aa89f6c61940,strawberries,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,blackberries,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,raspberries,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,blueberries,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,boysenberries,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,cantaloupe,FOUND,cantaloupe
6081806ab383aa89f6c61940,kiwi,FOUND,kiwi
6081806ab383aa89f6c61940,cherries,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,lemons,REPLACE,lemon
6081806ab383aa89f6c61940,limes,REPLACE,lime
6081806ab383aa89f6c61940,oranges,REPLACE,orange
6081806ab383aa89f6c61940,grapes,REPLACE,grape
6081806ab383aa89f6c61940,Plum,REPLACE,plum
6081806ab383aa89f6c61940,Peach,REPLACE,peach
6081806ab383aa89f6c61940,nectarine,FOUND,nectarine
6081806ab383aa89f6c61940,coconut,FOUND,coconut
6081806ab383aa89f6c61940,banana,FOUND,banana
6081806ab383aa89f6c61940,dates,REPLACE,date
6081806ab383aa89f6c61940,figs,REPLACE,fig
6081806ab383aa89f6c61940,watermelon,FOUND,watermelon
6081806ab383aa89f6c61940,grapefruit,FOUND,grapefruit
6081806ab383aa89f6c61940,dragon,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,fruit,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,passion,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,fruit,EXCLUDE,EXCLUDE
6081806ab383aa89f6c61940,Clementine,REPLACE,clementine
6081806ab383aa89f6c61940,pomegranate,FOUND,pomegranate
6081806ab383aa89f6c61940,pair,REPLACE,pear
601f6a2231a2904b79df1671,Apple,REPLACE,apple
601f6a2231a2904b79df1671,orange,FOUND,orange
601f6a2231a2904b79df1671,banana,FOUND,banana
601f6a2231a2904b79df1671,crepe,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,tomato,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,grapefruit,FOUND,grapefruit
601f6a2231a2904b79df1671,kiwi,FOUND,kiwi
601f6a2231a2904b79df1671,litchi,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,are,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,raspberry,FOUND,raspberry
601f6a2231a2904b79df1671,strawberry,FOUND,strawberry
601f6a2231a2904b79df1671,blackberry,FOUND,blackberry
601f6a2231a2904b79df1671,blueberry,FOUND,blueberry
601f6a2231a2904b79df1671,a,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,guava,FOUND,guava
601f6a2231a2904b79df1671,Berry,REPLACE,cherry
601f6a2231a2904b79df1671,tangerine,FOUND,tangerine
601f6a2231a2904b79df1671,dragon,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,fruit,EXCLUDE,EXCLUDE
601f6a2231a2904b79df1671,watermelon,FOUND,watermelon
601f6a2231a2904b79df1671,cantaloupe,FOUND,cantaloupe
601f6a2231a2904b79df1671,Sherry,REPLACE,cherry
654108d38225e168af4b1fa0,Apple,REPLACE,apple
654108d38225e168af4b1fa0,orange,FOUND,orange
654108d38225e168af4b1fa0,banana,FOUND,banana
654108d38225e168af4b1fa0,great,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,tangerine,FOUND,tangerine
654108d38225e168af4b1fa0,grapefruit,FOUND,grapefruit
654108d38225e168af4b1fa0,dragon,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,fruit,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,Peach,REPLACE,peach
654108d38225e168af4b1fa0,mango,FOUND,mango
654108d38225e168af4b1fa0,durian,FOUND,durian
654108d38225e168af4b1fa0,pair,REPLACE,pear
654108d38225e168af4b1fa0,monk,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,fruit,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,lemon,FOUND,lemon
654108d38225e168af4b1fa0,lime,FOUND,lime
654108d38225e168af4b1fa0,passion,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,fruit,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,blueberry,FOUND,blueberry
654108d38225e168af4b1fa0,raspberry,FOUND,raspberry
654108d38225e168af4b1fa0,strawberry,FOUND,strawberry
654108d38225e168af4b1fa0,BlackBerry,REPLACE,blackberry
654108d38225e168af4b1fa0,cherry,FOUND,cherry
61363ce02e6022a741d63a6e,apples,REPLACE,apple
61363ce02e6022a741d63a6e,pears,REPLACE,pear
61363ce02e6022a741d63a6e,peaches,REPLACE,peach
61363ce02e6022a741d63a6e,banana,FOUND,banana
61363ce02e6022a741d63a6e,avocado,FOUND,avocado
61363ce02e6022a741d63a6e,tomato,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,grapes,REPLACE,grape
61363ce02e6022a741d63a6e,cherries,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,grapefruit,FOUND,grapefruit
61363ce02e6022a741d63a6e,orange,FOUND,orange
61363ce02e6022a741d63a6e,lemon,FOUND,lemon
61363ce02e6022a741d63a6e,star,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,fruit,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,dragon,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,fruit,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,pineapple,FOUND,pineapple
61363ce02e6022a741d63a6e,olives,REPLACE,olive
61363ce02e6022a741d63a6e,Alex,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,strawberry,FOUND,strawberry
61363ce02e6022a741d63a6e,lemon,FOUND,lemon
61363ce02e6022a741d63a6e,nectar,EXCLUDE,EXCLUDE
61363ce02e6022a741d63a6e,kiwi,FOUND,kiwi
629e241d171ec6698e05f149,apple,FOUND,apple
629e241d171ec6698e05f149,strawberry,FOUND,strawberry
629e241d171ec6698e05f149,blueberry,FOUND,blueberry
629e241d171ec6698e05f149,blackberry,FOUND,blackberry
629e241d171ec6698e05f149,Peach,REPLACE,peach
629e241d171ec6698e05f149,pear,FOUND,pear
629e241d171ec6698e05f149,does the,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,Apple,REPLACE,apple
629e241d171ec6698e05f149,Apple,REPLACE,apple
629e241d171ec6698e05f149,mango,FOUND,mango
629e241d171ec6698e05f149,durian,FOUND,durian
629e241d171ec6698e05f149,dragon,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,fruit,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,banana,FOUND,banana
629e241d171ec6698e05f149,watermelon,FOUND,watermelon
629e241d171ec6698e05f149,apricot,FOUND,apricot
629e241d171ec6698e05f149,grape,FOUND,grape
629e241d171ec6698e05f149,Orange,REPLACE,orange
629e241d171ec6698e05f149,lemon,FOUND,lemon
629e241d171ec6698e05f149,lime,FOUND,lime
629e241d171ec6698e05f149,kiwi,FOUND,kiwi
629e241d171ec6698e05f149,raspberry,FOUND,raspberry
5d7ff4aa50fda7001a863736,strawberry,FOUND,strawberry
5d7ff4aa50fda7001a863736,Apple,REPLACE,apple
5d7ff4aa50fda7001a863736,orange,FOUND,orange
5d7ff4aa50fda7001a863736,shifts,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,banana,FOUND,banana
5d7ff4aa50fda7001a863736,grapes,REPLACE,grape
5d7ff4aa50fda7001a863736,kiwi,FOUND,kiwi
5d7ff4aa50fda7001a863736,pineapple,FOUND,pineapple
5d7ff4aa50fda7001a863736,mango,FOUND,mango
5d7ff4aa50fda7001a863736,lemon,FOUND,lemon
5d7ff4aa50fda7001a863736,Paris,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,cherry,FOUND,cherry
5d7ff4aa50fda7001a863736,blueberry,FOUND,blueberry
5d7ff4aa50fda7001a863736,kiwiz,REPLACE,kiwi
5d7ff4aa50fda7001a863736,who,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,grapefruit,FOUND,grapefruit
5d7ff4aa50fda7001a863736,cantaloupe,FOUND,cantaloupe
5d7ff4aa50fda7001a863736,peaches,REPLACE,peach
5d7ff4aa50fda7001a863736,watermelon,FOUND,watermelon
5d7ff4aa50fda7001a863736,honeydew,FOUND,honeydew
5d7ff4aa50fda7001a863736,lemon,FOUND,lemon
5d7ff4aa50fda7001a863736,papaya,FOUND,papaya
5d7ff4aa50fda7001a863736,cranberry,FOUND,cranberry
63ea4ab1ce4168cbe9f63775,Apple,REPLACE,apple
63ea4ab1ce4168cbe9f63775,hair,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,Orange,REPLACE,orange
63ea4ab1ce4168cbe9f63775,rape,REPLACE,grape
63ea4ab1ce4168cbe9f63775,blueberry,FOUND,blueberry
63ea4ab1ce4168cbe9f63775,blackberry,FOUND,blackberry
63ea4ab1ce4168cbe9f63775,Clementine,REPLACE,clementine
63ea4ab1ce4168cbe9f63775,nectarine,FOUND,nectarine
63ea4ab1ce4168cbe9f63775,watermelon,FOUND,watermelon
63ea4ab1ce4168cbe9f63775,kiwi,FOUND,kiwi
63ea4ab1ce4168cbe9f63775,avocado,FOUND,avocado
63ea4ab1ce4168cbe9f63775,tomato,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,apricot,FOUND,apricot
63ea4ab1ce4168cbe9f63775,date,FOUND,date
63ea4ab1ce4168cbe9f63775,fig,FOUND,fig
63ea4ab1ce4168cbe9f63775,lemon,FOUND,lemon
63ea4ab1ce4168cbe9f63775,strawberry,FOUND,strawberry
63ea4ab1ce4168cbe9f63775,lum,REPLACE,plum
63ea4ab1ce4168cbe9f63775,zucchini,FOUND,zucchini
63ea4ab1ce4168cbe9f63775,pineapple,FOUND,pineapple
63ea4ab1ce4168cbe9f63775,mango,FOUND,mango
63ea4ab1ce4168cbe9f63775,honeydew,FOUND,honeydew
63ea4ab1ce4168cbe9f63775,guava,FOUND,guava
63ea4ab1ce4168cbe9f63775,Sherry,REPLACE,cherry
63ea4ab1ce4168cbe9f63775,banana,FOUND,banana
63ea4ab1ce4168cbe9f63775,jackfruit,FOUND,jackfruit
63ea4ab1ce4168cbe9f63775,dragon,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,fruit,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,coconut,FOUND,coconut
63ea4ab1ce4168cbe9f63775,kumquat,FOUND,kumquat
63ea4ab1ce4168cbe9f63775,passion,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,fruit,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,lime,FOUND,lime
63ea4ab1ce4168cbe9f63775,cranberry,FOUND,cranberry
63ea4ab1ce4168cbe9f63775,raspberry,FOUND,raspberry
63ea4ab1ce4168cbe9f63775,Pia,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,star,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,fruit,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,pomegranate,FOUND,pomegranate
63ea4ab1ce4168cbe9f63775,acai,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,berry,EXCLUDE,EXCLUDE
600f9342e7bc5518fa9ca92a,Apple,REPLACE,apple
600f9342e7bc5518fa9ca92a,bananas,REPLACE,banana
600f9342e7bc5518fa9ca92a,strawberry,FOUND,strawberry
600f9342e7bc5518fa9ca92a,avocado,FOUND,avocado
600f9342e7bc5518fa9ca92a,bingo,REPLACE,mango
600f9342e7bc5518fa9ca92a,Sherry,REPLACE,cherry
600f9342e7bc5518fa9ca92a,watermelon,FOUND,watermelon
600f9342e7bc5518fa9ca92a,grape,FOUND,grape
