SID,entry
63e802622f8052bd67d6c5f0,apple
63e802622f8052bd67d6c5f0,orange
63e802622f8052bd67d6c5f0,pear
63e802622f8052bd67d6c5f0,grape
63e802622f8052bd67d6c5f0,blueberry
63e802622f8052bd67d6c5f0,raspberry
63e802622f8052bd67d6c5f0,strawberry
63e802622f8052bd67d6c5f0,blackberry
63e802622f8052bd67d6c5f0,banana
63e802622f8052bd67d6c5f0,mango
63e802622f8052bd67d6c5f0,cantaloupe
63e802622f8052bd67d6c5f0,honeydew
63e802622f8052bd67d6c5f0,watermelon
63e802622f8052bd67d6c5f0,plum
63e802622f8052bd67d6c5f0,kiwi
6081806ab383aa89f6c61940,apple
6081806ab383aa89f6c61940,mango
6081806ab383aa89f6c61940,pineapple
6081806ab383aa89f6c61940,cantaloupe
6081806ab383aa89f6c61940,kiwi
6081806ab383aa89f6c61940,lemon
6081806ab383aa89f6c61940,lime
6081806ab383aa89f6c61940,orange
6081806ab383aa89f6c61940,grape
6081806ab383aa89f6c61940,plum
6081806ab383aa89f6c61940,peach
6081806ab383aa89f6c61940,nectarine
6081806ab383aa89f6c61940,coconut
6081806ab383aa89f6c61940,banana
6081806ab383aa89f6c61940,date
6081806ab383aa89f6c61940,fig
6081806ab383aa89f6c61940,watermelon
6081806ab383aa89f6c61940,grapefruit
6081806ab383aa89f6c61940,clementine
6081806ab383aa89f6c61940,pomegranate
6081806ab383aa89f6c61940,pear
601f6a2231a2904b79df1671,apple
601f6a2231a2904b79df1671,orange
601f6a2231a2904b79df1671,banana
601f6a2231a2904b79df1671,grapefruit
601f6a2231a2904b79df1671,kiwi
601f6a2231a2904b79df1671,raspberry
601f6a2231a2904b79df1671,strawberry
601f6a2231a2904b79df1671,blackberry
601f6a2231a2904b79df1671,blueberry
601f6a2231a2904b79df1671,guava
601f6a2231a2904b79df1671,cherry
601f6a2231a2904b79df1671,tangerine
601f6a2231a2904b79df1671,watermelon
601f6a2231a2904b79df1671,cantaloupe
601f6a2231a2904b79df1671,cherry
654108d38225e168af4b1fa0,apple
654108d38225e168af4b1fa0,orange
654108d38225e168af4b1fa0,banana
654108d38225e168af4b1fa0,tangerine
654108d38225e168af4b1fa0,grapefruit
654108d38225e168af4b1fa0,peach
654108d38225e168af4b1fa0,mango
654108d38225e168af4b1fa0,durian
654108d38225e168af4b1fa0,pear
654108d38225e168af4b1fa0,lemon
654108d38225e168af4b1fa0,lime
654108d38225e168af4b1fa0,blueberry
654108d38225e168af4b1fa0,raspberry
654108d38225e168af4b1fa0,strawberry
654108d38225e168af4b1fa0,blackberry
654108d38225e168af4b1fa0,cherry
61363ce02e6022a741d63a6e,apple
61363ce02e6022a741d63a6e,pear
61363ce02e6022a741d63a6e,peach
61363ce02e6022a741d63a6e,banana
61363ce02e6022a741d63a6e,avocado
61363ce02e6022a741d63a6e,grape
61363ce02e6022a741d63a6e,grapefruit
61363ce02e6022a741d63a6e,orange
61363ce02e6022a741d63a6e,lemon
61363ce02e6022a741d63a6e,pineapple
61363ce02e6022a741d63a6e,olive
61363ce02e6022a741d63a6e,strawberry
61363ce02e6022a741d63a6e,lemon
61363ce02e6022a741d63a6e,kiwi
629e241d171ec6698e05f149,apple
629e241d171ec6698e05f149,strawberry
629e241d171ec6698e05f149,blueberry
629e241d171ec6698e05f149,blackberry
629e241d171ec6698e05f149,peach
629e241d171ec6698e05f149,pear
629e241d171ec6698e05f149,apple
629e241d171ec6698e05f149,apple
629e241d171ec6698e05f149,mango
629e241d171ec6698e05f149,durian
629e241d171ec6698e05f149,banana
629e241d171ec6698e05f149,watermelon
629e241d171ec6698e05f149,apricot
629e241d171ec6698e05f149,grape
629e241d171ec6698e05f149,orange
629e241d171ec6698e05f149,lemon
629e241d171ec6698e05f149,lime
629e241d171ec6698e05f149,kiwi
629e241d171ec6698e05f149,raspberry
5d7ff4aa50fda7001a863736,strawberry
5d7ff4aa50fda7001a863736,apple
5d7ff4aa50fda7001a863736,orange
5d7ff4aa50fda7001a863736,banana
5d7ff4aa50fda7001a863736,grape
5d7ff4aa50fda7001a863736,kiwi
5d7ff4aa50fda7001a863736,pineapple
5d7ff4aa50fda7001a863736,mango
5d7ff4aa50fda7001a863736,lemon
5d7ff4aa50fda7001a863736,cherry
5d7ff4aa50fda7001a863736,blueberry
5d7ff4aa50fda7001a863736,kiwi
5d7ff4aa50fda7001a863736,grapefruit
5d7ff4aa50fda7001a863736,cantaloupe
5d7ff4aa50fda7001a863736,peach
5d7ff4aa50fda7001a863736,watermelon
5d7ff4aa50fda7001a863736,honeydew
5d7ff4aa50fda7001a863736,lemon
5d7ff4aa50fda7001a863736,papaya
5d7ff4aa50fda7001a863736,cranberry
63ea4ab1ce4168cbe9f63775,apple
63ea4ab1ce4168cbe9f63775,orange
63ea4ab1ce4168cbe9f63775,grape
63ea4ab1ce4168cbe9f63775,blueberry
63ea4ab1ce4168cbe9f63775,blackberry
63ea4ab1ce4168cbe9f63775,clementine
63ea4ab1ce4168cbe9f63775,nectarine
63ea4ab1ce4168cbe9f63775,watermelon
63ea4ab1ce4168cbe9f63775,kiwi
63ea4ab1ce4168cbe9f63775,avocado
63ea4ab1ce4168cbe9f63775,apricot
63ea4ab1ce4168cbe9f63775,date
63ea4ab1ce4168cbe9f63775,fig
63ea4ab1ce4168cbe9f63775,lemon
63ea4ab1ce4168cbe9f63775,strawberry
63ea4ab1ce4168cbe9f63775,plum
63ea4ab1ce4168cbe9f63775,zucchini
63ea4ab1ce4168cbe9f63775,pineapple
63ea4ab1ce4168cbe9f63775,mango
63ea4ab1ce4168cbe9f63775,honeydew
63ea4ab1ce4168cbe9f63775,guava
63ea4ab1ce4168cbe9f63775,cherry
63ea4ab1ce4168cbe9f63775,banana
63ea4ab1ce4168cbe9f63775,jackfruit
63ea4ab1ce4168cbe9f63775,coconut
63ea4ab1ce4168cbe9f63775,kumquat
63ea4ab1ce4168cbe9f63775,lime
63ea4ab1ce4168cbe9f63775,cranberry
63ea4ab1ce4168cbe9f63775,raspberry
63ea4ab1ce4168cbe9f63775,pomegranate
600f9342e7bc5518fa9ca92a,apple
600f9342e7bc5518fa9ca92a,banana
600f9342e7bc5518fa9ca92a,strawberry
600f9342e7bc5518fa9ca92a,avocado
600f9342e7bc5518fa9ca92a,mango
600f9342e7bc5518fa9ca92a,cherry
600f9342e7bc5518fa9ca92a,watermelon
600f9342e7bc5518fa9ca92a,grape
600f9342e7bc5518fa9ca92a,blueberry
600f9342e7bc5518fa9ca92a,kiwi
600f9342e7bc5518fa9ca92a,orange
600f9342e7bc5518fa9ca92a,pineapple
65cc19b4b3d48a22dfc6756d,orange
65cc19b4b3d48a22dfc6756d,pomegranate
65cc19b4b3d48a22dfc6756d,pineapple
65cc19b4b3d48a22dfc6756d,durian
65cc19b4b3d48a22dfc6756d,apple
65cc19b4b3d48a22dfc6756d,kumquat
65cc19b4b3d48a22dfc6756d,lime
65cc19b4b3d48a22dfc6756d,grape
65e862f844f1b7a803bb3c5a,orange
65e862f844f1b7a803bb3c5a,mango
