SID,entry,timepoint,evaluation,replacement
60da4f9aa1ced7efeecca18a,hotels,0.0,REPLACE,hotel
60da4f9aa1ced7efeecca18a,hostels,0.0,REPLACE,hostel
60da4f9aa1ced7efeecca18a,Airbnb,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,timeshares,5.1,REPLACE,timeshare
60da4f9aa1ced7efeecca18a,Apartments,1.9,REPLACE,apartment
60da4f9aa1ced7efeecca18a,houses,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,condos,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,townhouses,1.6,REPLACE,townhouse
60da4f9aa1ced7efeecca18a,rooming houses,4.2,REPLACE,rooming house
60da4f9aa1ced7efeecca18a,boarding school,8.9,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,boarding building,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,storms,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,tour bus,8.5,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,resorts,8.0,REPLACE,resort
60da4f9aa1ced7efeecca18a,tents,3.8,REPLACE,tent
60da4f9aa1ced7efeecca18a,motels,3.3,REPLACE,motel
60da4f9aa1ced7efeecca18a,duplexes,19.6,REPLACE,duplex
60da4f9aa1ced7efeecca18a,nursing homes,4.10000000000001,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,assisted living facilities,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,hospital rooms,7.60000000000001,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,breakfast,0.0,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,lounges,4.5,REPLACE,lodge
5d3cc9010e510a00013df6f6,room,6.9,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,service,0.0,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,valet,7.8,REPLACE,chalet
5d3cc9010e510a00013df6f6,parking,0.0,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,low priced,20.5,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,hotels,8.9,REPLACE,hotel
5d3cc9010e510a00013df6f6,airbnb,4.99999999999999,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,bed and breakfast,1.3,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,vacation,2.39999999999999,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,rentals,0.0,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,Wi-Fi,8.5,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,pool,4.59999999999999,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,hot tub,0.0,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,kitchenette,4.59999999999999,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,inside the room,0.0,EXCLUDE,EXCLUDE
