SID,entry,evaluation,replacement
65cb63e160bb47fbf9349269,dogs,FOUND,dogs
65cb63e160bb47fbf9349269,cats,REPLACE,cat
65cb63e160bb47fbf9349269,rabbits,REPLACE,rabbit
65cb63e160bb47fbf9349269,turtles,REPLACE,turtle
65cb63e160bb47fbf9349269,squirrels,REPLACE,squirrel
65cb63e160bb47fbf9349269,tortoises,REPLACE,tortoise
65cb63e160bb47fbf9349269,rats,REPLACE,rat
65cb63e160bb47fbf9349269,opossums,REPLACE,opossum
65cb63e160bb47fbf9349269,Birds,REPLACE,bird
65cb63e160bb47fbf9349269,Chipmunks,REPLACE,chipmunk
65cb63e160bb47fbf9349269,pigeons,REPLACE,pigeon
65cb63e160bb47fbf9349269,bald eagles,REPLACE,bald eagle
65cb63e160bb47fbf9349269,bobcats,REPLACE,bobcat
65cb63e160bb47fbf9349269,lions,FOUND,lions
65cb63e160bb47fbf9349269,tigers,REPLACE,tiger
65cb63e160bb47fbf9349269,elephants,REPLACE,elephant
65cb63e160bb47fbf9349269,giraffes,REPLACE,giraffe
65cb63e160bb47fbf9349269,rhinosaurus,REPLACE,brachiosaurus
65cb63e160bb47fbf9349269,snakes,REPLACE,snake
65cb63e160bb47fbf9349269,Buffalo,REPLACE,buffalo
65cb63e160bb47fbf9349269,cows,FOUND,cows
65cb63e160bb47fbf9349269,chickens,REPLACE,chicken
65cb63e160bb47fbf9349269,deer,FOUND,deer
65cb63e160bb47fbf9349269,pigs,REPLACE,pig
65cb63e160bb47fbf9349269,horses,REPLACE,horse
65cb63e160bb47fbf9349269,kangaroos,REPLACE,kangaroo
65cb63e160bb47fbf9349269,koalas,REPLACE,koala
65cb63e160bb47fbf9349269,moose,FOUND,moose
65cb63e160bb47fbf9349269,penguins,REPLACE,penguin
65cb63e160bb47fbf9349269,polar bears,REPLACE,polar bear
65cb63e160bb47fbf9349269,black bears,REPLACE,black bear
65cb63e160bb47fbf9349269,brown bears,REPLACE,brown bear
65cb63e160bb47fbf9349269,orangutans,REPLACE,orangutan
65cb63e160bb47fbf9349269,monkeys,FOUND,monkeys
65cb63e160bb47fbf9349269,fish,FOUND,fish
65cb63e160bb47fbf9349269,whales,REPLACE,whale
65cb63e160bb47fbf9349269,crabs,REPLACE,crab
65cb63e160bb47fbf9349269,seahorses,REPLACE,seahorse
65cb63e160bb47fbf9349269,dolphins,REPLACE,dolphin
65cb63e160bb47fbf9349269,manta rays,REPLACE,manta ray
65cb63e160bb47fbf9349269,jellyfish,FOUND,jellyfish
65d6a09286a0c99e632a46dd,Birds,REPLACE,bird
65d6a09286a0c99e632a46dd,cats,REPLACE,cat
65d6a09286a0c99e632a46dd,dogs,FOUND,dogs
65d6a09286a0c99e632a46dd,lizards,REPLACE,lizard
65d6a09286a0c99e632a46dd,frogs,REPLACE,frog
65d6a09286a0c99e632a46dd,fish,FOUND,fish
65d6a09286a0c99e632a46dd,tigers,REPLACE,tiger
65d6a09286a0c99e632a46dd,lions,FOUND,lions
65d6a09286a0c99e632a46dd,elephants,REPLACE,elephant
65d6a09286a0c99e632a46dd,monkeys,FOUND,monkeys
65d6a09286a0c99e632a46dd,pandas,REPLACE,panda
65d6a09286a0c99e632a46dd,horse,FOUND,horse
65d6a09286a0c99e632a46dd,snake,FOUND,snake
65d6a09286a0c99e632a46dd,deer,FOUND,deer
65d6a09286a0c99e632a46dd,pandas,REPLACE,panda
65d6a09286a0c99e632a46dd,raccoons,REPLACE,raccoon
65d6a09286a0c99e632a46dd,Jaguars,REPLACE,jaguar
65d6a09286a0c99e632a46dd,cougar,FOUND,cougar
65d6a09286a0c99e632a46dd,hamster,FOUND,hamster
65d6a09286a0c99e632a46dd,camel,FOUND,camel
65d6a09286a0c99e632a46dd,bear,FOUND,bear
65d6a09286a0c99e632a46dd,hyena,FOUND,hyena
65d6a09286a0c99e632a46dd,badger,FOUND,badger
65d6a09286a0c99e632a46dd,wolverine,FOUND,wolverine
65d6a09286a0c99e632a46dd,porcupine,FOUND,porcupine
65d6a09286a0c99e632a46dd,Chipmunks,REPLACE,chipmunk
65d6a09286a0c99e632a46dd,zebra,FOUND,zebra
65d6a09286a0c99e632a46dd,hippo,FOUND,hippo
65d6a09286a0c99e632a46dd,giraffe,FOUND,giraffe
65d6a09286a0c99e632a46dd,Fox,REPLACE,ox
65d6a09286a0c99e632a46dd,gator,FOUND,gator
65e1f75ab3efd22e847cfbf0,dog,FOUND,dog
65e1f75ab3efd22e847cfbf0,cat,FOUND,cat
65e1f75ab3efd22e847cfbf0,elephant,FOUND,elephant
65e1f75ab3efd22e847cfbf0,bird,FOUND,bird
65e1f75ab3efd22e847cfbf0,squirrel,FOUND,squirrel
65e1f75ab3efd22e847cfbf0,lion,FOUND,lion
65e1f75ab3efd22e847cfbf0,tiger,FOUND,tiger
65e1f75ab3efd22e847cfbf0,monkey,FOUND,monkey
65e1f75ab3efd22e847cfbf0,wolf,FOUND,wolf
