SID,entry,timepoint,evaluation,replacement
5e7fefe06c12706d47e35211,shirts,0.0,REPLACE,shirt
5e7fefe06c12706d47e35211,blouses,0.0,REPLACE,blouse
5e7fefe06c12706d47e35211,jackets,0.0,REPLACE,jacket
5e7fefe06c12706d47e35211,coats,0.0,REPLACE,coat
5e7fefe06c12706d47e35211,flannels,1.2,REPLACE,flannel
5e7fefe06c12706d47e35211,tank tops,3.4,REPLACE,tank top
5e7fefe06c12706d47e35211,bikinis,1.4,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,one-pieces,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,bralettes,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,sports bras,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,long sleeve shirts,2.2,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,sweat pants,4.3,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,Jeans,0.0,REPLACE,jeans
5e7fefe06c12706d47e35211,cargo pants,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,slacks,2.6,REPLACE,socks
5e7fefe06c12706d47e35211,shorts,2.7,FOUND,shorts
5e7fefe06c12706d47e35211,denim shorts,1.9,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,skirts,2.8,REPLACE,skirt
5e7fefe06c12706d47e35211,dresses,1.7,REPLACE,dress
5e7fefe06c12706d47e35211,shoes,3.3,REPLACE,shorts
5e7fefe06c12706d47e35211,bracelets,4.4,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,necklaces,0.0,REPLACE,necktie
5e7fefe06c12706d47e35211,turtlenecks,5.19999999999999,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,socks,2.59999999999999,FOUND,socks
5e7fefe06c12706d47e35211,ankle warmers,3.0,REPLACE,leg warmers
5e7fefe06c12706d47e35211,leggings,1.3,FOUND,leggings
5e7fefe06c12706d47e35211,flare,1.80000000000001,REPLACE,lace
5e7fefe06c12706d47e35211,yoga pants,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,gowns,4.3,REPLACE,crown
5e7fefe06c12706d47e35211,corsets,4.8,REPLACE,shorts
5e7fefe06c12706d47e35211,ski goggles,5.59999999999999,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,babushka sarees,2.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,shirts,0.0,REPLACE,shirt
5e8a76b3939b3072dc76fb5c,pants,0.0,FOUND,pants
5e8a76b3939b3072dc76fb5c,socks,0.0,FOUND,socks
5e8a76b3939b3072dc76fb5c,underwear,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,boxers,0.0,FOUND,boxers
5e8a76b3939b3072dc76fb5c,briefs,0.0,FOUND,briefs
5e8a76b3939b3072dc76fb5c,sweaters,1.5,REPLACE,sweater
5e8a76b3939b3072dc76fb5c,jackets,0.0,REPLACE,jacket
5e8a76b3939b3072dc76fb5c,coats,0.0,REPLACE,coat
5e8a76b3939b3072dc76fb5c,gloves,5.0,FOUND,gloves
5e8a76b3939b3072dc76fb5c,hats,1.0,REPLACE,pants
5e8a76b3939b3072dc76fb5c,bras,3.2,REPLACE,bra
5e8a76b3939b3072dc76fb5c,leggings,4.3,FOUND,leggings
5e8a76b3939b3072dc76fb5c,shorts,5.2,FOUND,shorts
5e8a76b3939b3072dc76fb5c,shoes,10.3,REPLACE,shorts
5e8a76b3939b3072dc76fb5c,sandals,6.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Clippers,4.7,REPLACE,zipper
5e8a76b3939b3072dc76fb5c,short sleeves,6.1,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,long sleeves,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,suits,2.8,REPLACE,suit
5e8a76b3939b3072dc76fb5c,dress shirts,1.89999999999999,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,button shirts,7.2,EXCLUDE,EXCLUDE
