SID,entry,timepoint
5e7fefe06c12706d47e35211,shirt,0.0
5e7fefe06c12706d47e35211,blouse,0.0
5e7fefe06c12706d47e35211,jacket,0.0
5e7fefe06c12706d47e35211,coat,0.0
5e7fefe06c12706d47e35211,flannel,1.2
5e7fefe06c12706d47e35211,tank top,3.4
5e7fefe06c12706d47e35211,jeans,0.0
5e7fefe06c12706d47e35211,socks,2.6
5e7fefe06c12706d47e35211,shorts,2.7
5e7fefe06c12706d47e35211,skirt,2.8
5e7fefe06c12706d47e35211,dress,1.7
5e7fefe06c12706d47e35211,shorts,3.3
5e7fefe06c12706d47e35211,necktie,0.0
5e7fefe06c12706d47e35211,socks,2.59999999999999
5e7fefe06c12706d47e35211,leg warmers,3.0
5e7fefe06c12706d47e35211,leggings,1.3
5e7fefe06c12706d47e35211,lace,1.80000000000001
5e7fefe06c12706d47e35211,crown,4.3
5e7fefe06c12706d47e35211,shorts,4.8
5e8a76b3939b3072dc76fb5c,shirt,0.0
5e8a76b3939b3072dc76fb5c,pants,0.0
5e8a76b3939b3072dc76fb5c,socks,0.0
5e8a76b3939b3072dc76fb5c,boxers,0.0
5e8a76b3939b3072dc76fb5c,briefs,0.0
5e8a76b3939b3072dc76fb5c,sweater,1.5
5e8a76b3939b3072dc76fb5c,jacket,0.0
5e8a76b3939b3072dc76fb5c,coat,0.0
5e8a76b3939b3072dc76fb5c,gloves,5.0
5e8a76b3939b3072dc76fb5c,pants,1.0
5e8a76b3939b3072dc76fb5c,bra,3.2
5e8a76b3939b3072dc76fb5c,leggings,4.3
5e8a76b3939b3072dc76fb5c,shorts,5.2
5e8a76b3939b3072dc76fb5c,shorts,10.3
5e8a76b3939b3072dc76fb5c,zipper,4.7
5e8a76b3939b3072dc76fb5c,suit,2.8
6595e3b4dc9090390e4edb5f,suit,0.0
6595e3b4dc9090390e4edb5f,jacket,1.3
6595e3b4dc9090390e4edb5f,sweater,1.6
6595e3b4dc9090390e4edb5f,blouse,0.0
6595e3b4dc9090390e4edb5f,dress,1.3
6595e3b4dc9090390e4edb5f,skirt,0.0
6595e3b4dc9090390e4edb5f,cardigan,1.2
6595e3b4dc9090390e4edb5f,jeans,1.2
6595e3b4dc9090390e4edb5f,shorts,-0.899999999999999
6595e3b4dc9090390e4edb5f,bow tie,2.0
6595e3b4dc9090390e4edb5f,leggings,-0.600000000000001
6595e3b4dc9090390e4edb5f,skirt,0.0
6595e3b4dc9090390e4edb5f,blazer,1.0
6595e3b4dc9090390e4edb5f,pants,0.0
6595e3b4dc9090390e4edb5f,shorts,0.0
6595e3b4dc9090390e4edb5f,pajamas,1.9
6595e3b4dc9090390e4edb5f,t-shirt,1.8
6595e3b4dc9090390e4edb5f,hoodie,1.3
6595e3b4dc9090390e4edb5f,suit,4.6
6595e3b4dc9090390e4edb5f,socks,0.600000000000001
6595e3b4dc9090390e4edb5f,pants,1.0
6595e3b4dc9090390e4edb5f,gloves,0.0
6595e3b4dc9090390e4edb5f,waistcoat,10.7
6595e3b4dc9090390e4edb5f,vest,0.0
6595e3b4dc9090390e4edb5f,romper,2.8
6595e3b4dc9090390e4edb5f,tank top,1.5
6595e3b4dc9090390e4edb5f,suit,0.899999999999991
6595e3b4dc9090390e4edb5f,scarf,8.8
6595e3b4dc9090390e4edb5f,lab coat,1.60000000000001
6595e3b4dc9090390e4edb5f,bow tie,10.7
6595e3b4dc9090390e4edb5f,tie,0.0
65512e3cc12f463bc327b7c3,socks,0.0
65512e3cc12f463bc327b7c3,shorts,0.0
65512e3cc12f463bc327b7c3,pants,1.7
65512e3cc12f463bc327b7c3,shirt,1.2
65512e3cc12f463bc327b7c3,tank top,1.1
65512e3cc12f463bc327b7c3,sweater,1.0
65512e3cc12f463bc327b7c3,sun hat,1.1
65512e3cc12f463bc327b7c3,gloves,1.2
65512e3cc12f463bc327b7c3,shorts,4.3
65512e3cc12f463bc327b7c3,patches,13.7
65512e3cc12f463bc327b7c3,bra,0.0
65512e3cc12f463bc327b7c3,suit,5.3
65512e3cc12f463bc327b7c3,tie,0.0
65512e3cc12f463bc327b7c3,dress,2.90000000000001
65512e3cc12f463bc327b7c3,shorts,0.0
65512e3cc12f463bc327b7c3,jacket,2.5
65512e3cc12f463bc327b7c3,zipper,12.1
65512e3cc12f463bc327b7c3,stockings,7.5
65512e3cc12f463bc327b7c3,blouse,3.40000000000001
5ed9311e1a69d449577bb8cf,shorts,0.0
5ed9311e1a69d449577bb8cf,pants,0.0
5ed9311e1a69d449577bb8cf,shorts,0.0
5ed9311e1a69d449577bb8cf,cardigan,1.8
5ed9311e1a69d449577bb8cf,shorts,0.0
5ed9311e1a69d449577bb8cf,jeans,1.2
5ed9311e1a69d449577bb8cf,suit,0.0
5ed9311e1a69d449577bb8cf,skirt,1.5
5ed9311e1a69d449577bb8cf,leggings,0.0
5ed9311e1a69d449577bb8cf,sweater,2.3
5ed9311e1a69d449577bb8cf,socks,4.0
5ed9311e1a69d449577bb8cf,jacket,3.4
5ed9311e1a69d449577bb8cf,hoodie,2.0
5ed9311e1a69d449577bb8cf,deel,1.6
5ed9311e1a69d449577bb8cf,dress,3.1
5ed9311e1a69d449577bb8cf,pants,4.10000000000001
5ed9311e1a69d449577bb8cf,shorts,16.1
5ed9311e1a69d449577bb8cf,studs,16.1
5c1942e200849900010afdcd,t-shirt,0.0
5c1942e200849900010afdcd,scarf,4.1
5c1942e200849900010afdcd,bra,1.9
5c1942e200849900010afdcd,kimono,5.0
5c1942e200849900010afdcd,pants,1.2
5c1942e200849900010afdcd,leggings,0.0
5c1942e200849900010afdcd,shorts,2.0
5c1942e200849900010afdcd,spandex,0.0
5c1942e200849900010afdcd,beading,1.3
5c1942e200849900010afdcd,bra,0.0
5c1942e200849900010afdcd,romper,0.0
5c1942e200849900010afdcd,socks,12.0
5c1942e200849900010afdcd,shorts,0.0
5c1942e200849900010afdcd,boxers,2.2
5c1942e200849900010afdcd,jacket,2.8
5c1942e200849900010afdcd,jeans,0.0
5c1942e200849900010afdcd,wrap,2.2
5c1942e200849900010afdcd,bow tie,3.2
5c1942e200849900010afdcd,tie,0.0
5c1942e200849900010afdcd,fringe,25.4
5c1942e200849900010afdcd,vest,9.40000000000001
5fc6df58f380620a09116434,socks,0.0
5fc6df58f380620a09116434,shorts,0.0
5fc6df58f380620a09116434,skirt,0.0
5fc6df58f380620a09116434,pants,0.0
5fc6df58f380620a09116434,jeans,0.0
5fc6df58f380620a09116434,sweater,0.0
5fc6df58f380620a09116434,bra,0.0
5fc6df58f380620a09116434,lingerie,0.0
5fc6df58f380620a09116434,t-shirt,0.0
5fc6df58f380620a09116434,shirt,0.0
5fc6df58f380620a09116434,blouse,0.0
5fc6df58f380620a09116434,lace,0.0
5fc6df58f380620a09116434,dress,0.0
5fc6df58f380620a09116434,jinbei,0.0
5fc6df58f380620a09116434,mohair,0.0
5fc6df58f380620a09116434,dress,0.0
5fc6df58f380620a09116434,suit,4.4
5fc6df58f380620a09116434,denim,0.0
5fc6df58f380620a09116434,silk,1.0
5fc6df58f380620a09116434,cotton,0.0
5fc6df58f380620a09116434,romper,0.0
5fc6df58f380620a09116434,tunic,1.2
5fc6df58f380620a09116434,grommet,1.0
5fc6df58f380620a09116434,stole,7.5
5fc6df58f380620a09116434,sweater,6.89999999999999
5fc6df58f380620a09116434,leggings,12.7
5fc6df58f380620a09116434,skirt,0.0
5fc6df58f380620a09116434,sun hat,0.0
5fc6df58f380620a09116434,buckle,2.0
5fc6df58f380620a09116434,sun hat,0.0
5fc6df58f380620a09116434,cape,0.0
5fc6df58f380620a09116434,tank top,3.40000000000001
5fc6df58f380620a09116434,stripe,0.0
5f6c102b6ec04317fc9a8127,shirt,0.0
5f6c102b6ec04317fc9a8127,t-shirt,1.5
5f6c102b6ec04317fc9a8127,coat,0.0
5f6c102b6ec04317fc9a8127,pants,0.0
5f6c102b6ec04317fc9a8127,shorts,0.0
5f6c102b6ec04317fc9a8127,socks,3.2
5f6c102b6ec04317fc9a8127,shorts,0.0
5f6c102b6ec04317fc9a8127,cardigan,1.6
5f6c102b6ec04317fc9a8127,blazer,0.0
5f6c102b6ec04317fc9a8127,scarf,6.5
5f6c102b6ec04317fc9a8127,suit,2.5
5f6c102b6ec04317fc9a8127,mohair,1.8
5f6c102b6ec04317fc9a8127,tank top,3.5
5f6c102b6ec04317fc9a8127,skirt,11.4
5f6c102b6ec04317fc9a8127,leggings,3.1
5f6c102b6ec04317fc9a8127,robe,24.8
5d3cc9010e510a00013df6f6,socks,0.0
5d3cc9010e510a00013df6f6,shorts,2.2
5d3cc9010e510a00013df6f6,deel,3.9
5d3cc9010e510a00013df6f6,shorts,9.2
5d3cc9010e510a00013df6f6,jeans,3.9
5d3cc9010e510a00013df6f6,scrubs,7.3
5d3cc9010e510a00013df6f6,mittens,3.09999999999999
5d3cc9010e510a00013df6f6,gloves,2.1
5d3cc9010e510a00013df6f6,boxers,3.8
5d3cc9010e510a00013df6f6,t-shirt,9.90000000000001
5d3cc9010e510a00013df6f6,hoodie,3.3
5d3cc9010e510a00013df6f6,sweater,3.5
5d3cc9010e510a00013df6f6,jacket,3.3
5d3cc9010e510a00013df6f6,coat,2.10000000000001
5d3cc9010e510a00013df6f6,beanie,11.9
65778c02cde55736bb830eca,pants,0.0
