Subject,Fluency_Item,Switch_Value,Switch_Method
5c1942e200849900010afdcd,t-shirt,2,simdrop
5c1942e200849900010afdcd,scarf,0,simdrop
5c1942e200849900010afdcd,bra,0,simdrop
5c1942e200849900010afdcd,kimono,1,simdrop
5c1942e200849900010afdcd,pants,0,simdrop
5c1942e200849900010afdcd,leggings,0,simdrop
5c1942e200849900010afdcd,shorts,1,simdrop
5c1942e200849900010afdcd,spandex,0,simdrop
5c1942e200849900010afdcd,beading,1,simdrop
5c1942e200849900010afdcd,bra,0,simdrop
5c1942e200849900010afdcd,romper,0,simdrop
5c1942e200849900010afdcd,socks,1,simdrop
5c1942e200849900010afdcd,shorts,0,simdrop
5c1942e200849900010afdcd,boxers,0,simdrop
5c1942e200849900010afdcd,jacket,1,simdrop
5c1942e200849900010afdcd,jeans,0,simdrop
5c1942e200849900010afdcd,wrap,1,simdrop
5c1942e200849900010afdcd,bow tie,0,simdrop
5c1942e200849900010afdcd,tie,0,simdrop
5c1942e200849900010afdcd,fringe,1,simdrop
5c1942e200849900010afdcd,vest,2,simdrop
5c4a428161c51f0001e96b3f,shirt,2,simdrop
5c4a428161c51f0001e96b3f,dress,0,simdrop
5c4a428161c51f0001e96b3f,shirt,0,simdrop
5c4a428161c51f0001e96b3f,blouse,0,simdrop
5c4a428161c51f0001e96b3f,pants,0,simdrop
5c4a428161c51f0001e96b3f,suit,0,simdrop
5c4a428161c51f0001e96b3f,panama hat,0,simdrop
5c4a428161c51f0001e96b3f,suit,0,simdrop
5c4a428161c51f0001e96b3f,shorts,0,simdrop
5c4a428161c51f0001e96b3f,apron,1,simdrop
5c4a428161c51f0001e96b3f,dress,0,simdrop
5c4a428161c51f0001e96b3f,shirt,0,simdrop
5c4a428161c51f0001e96b3f,jacket,0,simdrop
5c4a428161c51f0001e96b3f,t-shirt,0,simdrop
5c4a428161c51f0001e96b3f,socks,1,simdrop
5c4a428161c51f0001e96b3f,boxers,2,simdrop
5d3cc9010e510a00013df6f6,socks,2,simdrop
5d3cc9010e510a00013df6f6,shorts,0,simdrop
5d3cc9010e510a00013df6f6,deel,0,simdrop
5d3cc9010e510a00013df6f6,shorts,0,simdrop
5d3cc9010e510a00013df6f6,jeans,0,simdrop
5d3cc9010e510a00013df6f6,scrubs,0,simdrop
5d3cc9010e510a00013df6f6,mittens,1,simdrop
5d3cc9010e510a00013df6f6,gloves,0,simdrop
5d3cc9010e510a00013df6f6,boxers,1,simdrop
5d3cc9010e510a00013df6f6,t-shirt,0,simdrop
5d3cc9010e510a00013df6f6,hoodie,0,simdrop
