Subject,Fluency_Item,Switch_Value,Switch_Method
5c1942e200849900010afdcd,scone,2,simdrop
5c1942e200849900010afdcd,lettuce,0,simdrop
5c1942e200849900010afdcd,cheese,0,simdrop
5c1942e200849900010afdcd,potato,0,simdrop
5c1942e200849900010afdcd,ham salad,1,simdrop
5c1942e200849900010afdcd,squash,0,simdrop
5c1942e200849900010afdcd,cream,1,simdrop
5c1942e200849900010afdcd,peas,0,simdrop
5c1942e200849900010afdcd,chives,2,simdrop
5c4a428161c51f0001e96b3f,chocolate,2,simdrop
5c4a428161c51f0001e96b3f,bread,0,simdrop
5c4a428161c51f0001e96b3f,cheese,0,simdrop
5c4a428161c51f0001e96b3f,grapes,1,simdrop
5c4a428161c51f0001e96b3f,banana,0,simdrop
5c4a428161c51f0001e96b3f,brioche,0,simdrop
5c4a428161c51f0001e96b3f,peas,1,simdrop
5c4a428161c51f0001e96b3f,pineapple,0,simdrop
5c4a428161c51f0001e96b3f,strawberry,0,simdrop
5c4a428161c51f0001e96b3f,blueberry,0,simdrop
5c4a428161c51f0001e96b3f,raspberry,0,simdrop
5c4a428161c51f0001e96b3f,tea,0,simdrop
5c4a428161c51f0001e96b3f,tomato,1,simdrop
5c4a428161c51f0001e96b3f,lemon,0,simdrop
5c4a428161c51f0001e96b3f,butter,0,simdrop
5c4a428161c51f0001e96b3f,mushroom,1,simdrop
5c4a428161c51f0001e96b3f,carrot,0,simdrop
5c4a428161c51f0001e96b3f,celery,0,simdrop
5c4a428161c51f0001e96b3f,onion,1,simdrop
5c4a428161c51f0001e96b3f,garlic,0,simdrop
5c4a428161c51f0001e96b3f,lemon,1,simdrop
5c4a428161c51f0001e96b3f,orange,0,simdrop
5c4a428161c51f0001e96b3f,ham salad,1,simdrop
5c4a428161c51f0001e96b3f,arugula,0,simdrop
5c4a428161c51f0001e96b3f,chives,0,simdrop
5c4a428161c51f0001e96b3f,tomato,1,simdrop
5c4a428161c51f0001e96b3f,potato,0,simdrop
5c4a428161c51f0001e96b3f,shallot,1,simdrop
5c4a428161c51f0001e96b3f,zucchini,0,simdrop
5c4a428161c51f0001e96b3f,eggplant,0,simdrop
