SID,entry,evaluation,replacement
65d54b3b524fcafb543d1b23,Christmas,REPLACE,christmas
65d54b3b524fcafb543d1b23,New Year's,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Ramadan,REPLACE,ramadan
65d54b3b524fcafb543d1b23,Easter,REPLACE,easter
65d54b3b524fcafb543d1b23,Resurrection Day,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Halloween,REPLACE,halloween
65d54b3b524fcafb543d1b23,Thanksgiving,REPLACE,thanksgiving
65d54b3b524fcafb543d1b23,Martin Luther King's day,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Labor Day,REPLACE,labor day
65d54b3b524fcafb543d1b23,Valentine's Day,REPLACE,valentine's day
65d54b3b524fcafb543d1b23,Saint Patrick's Day,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,April Fool's Day,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Memorial Day,REPLACE,memorial day
65d54b3b524fcafb543d1b23,4th of July,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,anniversaries,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Columbus Day,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Valentine's Day,REPLACE,valentine's day
65b15afd94153c1f50c92493,Saint Patrick's Day,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Easter,REPLACE,easter
65b15afd94153c1f50c92493,Fourth of July,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Independence Day,REPLACE,independence day
65b15afd94153c1f50c92493,President's Day,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Christmas,REPLACE,christmas
65b15afd94153c1f50c92493,Halloween,REPLACE,halloween
65b15afd94153c1f50c92493,New Year's,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Saint Patrick's Day,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Hanukkah,REPLACE,hanukkah
65b15afd94153c1f50c92493,Labor Day,REPLACE,labor day
65b15afd94153c1f50c92493,Thanksgiving,REPLACE,thanksgiving
65b15afd94153c1f50c92493,spring break,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,Presidents Day,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,hanukkah,FOUND,hanukkah
65c25cf77dca9d7ca7d9ebdb,Christmas,REPLACE,christmas
65c25cf77dca9d7ca7d9ebdb,Valentine's Day,REPLACE,valentine's day
65c25cf77dca9d7ca7d9ebdb,Easter,REPLACE,easter
65c25cf77dca9d7ca7d9ebdb,Halloween,REPLACE,halloween
65c25cf77dca9d7ca7d9ebdb,Veterans Day,REPLACE,veterans day
65c25cf77dca9d7ca7d9ebdb,women's day,REPLACE,mother's day
65c25cf77dca9d7ca7d9ebdb,Mother's Day,REPLACE,mother's day
65c25cf77dca9d7ca7d9ebdb,Father's day,REPLACE,father's day
65c25cf77dca9d7ca7d9ebdb,Chinese New Year,REPLACE,chinese new year
65c25cf77dca9d7ca7d9ebdb,New Year,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,New Year's Eve,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Christmas Eve,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Thanksgiving,REPLACE,thanksgiving
65c25cf77dca9d7ca7d9ebdb,spring break,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Saint Patrick's Day,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Fourth of July,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Cinco de Mayo,REPLACE,cinco de mayo
60a48adfe091e410f4eaba34,Christmas,REPLACE,christmas
60a48adfe091e410f4eaba34,New Year's,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Easter,REPLACE,easter
60a48adfe091e410f4eaba34,Fourth of July,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Thanksgiving,REPLACE,thanksgiving
60a48adfe091e410f4eaba34,Halloween,REPLACE,halloween
60a48adfe091e410f4eaba34,Martin Luther King Day,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Christopher Columbus Day,EXCLUDE,EXCLUDE
