SID,entry,evaluation,replacement
65d6a09286a0c99e632a46dd,water,FOUND,water
65d6a09286a0c99e632a46dd,soda,FOUND,soda
65d6a09286a0c99e632a46dd,Gatorade,REPLACE,marinade
65d6a09286a0c99e632a46dd,tea,FOUND,tea
65d6a09286a0c99e632a46dd,windshield wiper fluid,REPLACE,windshield washer fluid
65d6a09286a0c99e632a46dd,saliva,REPLACE,salsa
65d6a09286a0c99e632a46dd,car oil,REPLACE,castor oil
65d6a09286a0c99e632a46dd,blood,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,Sweat,REPLACE,water
65d6a09286a0c99e632a46dd,tears,REPLACE,tea
65d6a09286a0c99e632a46dd,alcohol,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,Mercury,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,hot glue,REPLACE,hot sauce
65d6a09286a0c99e632a46dd,water,FOUND,water
65d6a09286a0c99e632a46dd,beer,FOUND,beer
65c25cf77dca9d7ca7d9ebdb,water,FOUND,water
65c25cf77dca9d7ca7d9ebdb,Mercury,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,bleach,FOUND,bleach
65c25cf77dca9d7ca7d9ebdb,Gatorade,REPLACE,marinade
65c25cf77dca9d7ca7d9ebdb,Powerade,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,tea,FOUND,tea
65c25cf77dca9d7ca7d9ebdb,coffee,FOUND,coffee
65c25cf77dca9d7ca7d9ebdb,milk,FOUND,milk
65c25cf77dca9d7ca7d9ebdb,juice,FOUND,juice
65c25cf77dca9d7ca7d9ebdb,window cleaner,FOUND,window cleaner
65c25cf77dca9d7ca7d9ebdb,oil,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,avocado oil,FOUND,avocado oil
65c25cf77dca9d7ca7d9ebdb,olive oil,FOUND,olive oil
65c25cf77dca9d7ca7d9ebdb,canola oil,FOUND,canola oil
65c25cf77dca9d7ca7d9ebdb,liquid nitrogen,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,soup,FOUND,soup
65c25cf77dca9d7ca7d9ebdb,laundry detergent,FOUND,laundry detergent
65c25cf77dca9d7ca7d9ebdb,softener,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,soda,FOUND,soda
65c25cf77dca9d7ca7d9ebdb,beer,FOUND,beer
65c25cf77dca9d7ca7d9ebdb,wine,FOUND,wine
65c25cf77dca9d7ca7d9ebdb,vodka,FOUND,vodka
65c25cf77dca9d7ca7d9ebdb,whiskey,FOUND,whiskey
65c25cf77dca9d7ca7d9ebdb,bourbon,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,water,FOUND,water
65cc19b4b3d48a22dfc6756d,coffee,FOUND,coffee
65cc19b4b3d48a22dfc6756d,juice,FOUND,juice
65cc19b4b3d48a22dfc6756d,tea,FOUND,tea
65cc19b4b3d48a22dfc6756d,soap,REPLACE,soup
65cc19b4b3d48a22dfc6756d,hot sauce,FOUND,hot sauce
65cc19b4b3d48a22dfc6756d,soy sauce,FOUND,soy sauce
65cc19b4b3d48a22dfc6756d,vinegar,FOUND,vinegar
65cc19b4b3d48a22dfc6756d,oil,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,ranch,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,hydrochloric acid,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,mouth wash,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,skincare toner,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,liquid tylenol,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,vodka,FOUND,vodka
65cc19b4b3d48a22dfc6756d,whiskey,FOUND,whiskey
65cc19b4b3d48a22dfc6756d,gin,FOUND,gin
65cc19b4b3d48a22dfc6756d,wine,FOUND,wine
65cb63e160bb47fbf9349269,water,FOUND,water
65cb63e160bb47fbf9349269,soup,FOUND,soup
65cb63e160bb47fbf9349269,sodas,REPLACE,soda
65cb63e160bb47fbf9349269,juice,FOUND,juice
65cb63e160bb47fbf9349269,wine,FOUND,wine
65cb63e160bb47fbf9349269,beer,FOUND,beer
65cb63e160bb47fbf9349269,liquor,FOUND,liquor
65cb63e160bb47fbf9349269,hydrogen peroxide,FOUND,hydrogen peroxide
65cb63e160bb47fbf9349269,milk,FOUND,milk
65cb63e160bb47fbf9349269,soup stock,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,urine,REPLACE,brine
65cb63e160bb47fbf9349269,blood,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,tears,REPLACE,tea
65cb63e160bb47fbf9349269,sweat,REPLACE,water
65cb63e160bb47fbf9349269,Salsa's,REPLACE,salsa
65cb63e160bb47fbf9349269,honey,FOUND,honey
60a48adfe091e410f4eaba34,water,FOUND,water
60a48adfe091e410f4eaba34,Cola,REPLACE,cola
60a48adfe091e410f4eaba34,alcohol,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,detergent,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Cheese,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,milk,FOUND,milk
60a48adfe091e410f4eaba34,orange juice,FOUND,orange juice
60a48adfe091e410f4eaba34,apple juice,FOUND,apple juice
60a48adfe091e410f4eaba34,vodka,FOUND,vodka
60a48adfe091e410f4eaba34,rum,FOUND,rum
60a48adfe091e410f4eaba34,whisky,REPLACE,whiskey
60a48adfe091e410f4eaba34,bleach,FOUND,bleach
60a48adfe091e410f4eaba34,tea,FOUND,tea
60a48adfe091e410f4eaba34,coffee,FOUND,coffee
60a48adfe091e410f4eaba34,seltzer,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,mixed drink,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,water,FOUND,water
60d731567049e5132e3cc4d4,gasoline,FOUND,gasoline
60d731567049e5132e3cc4d4,beer,FOUND,beer
60d731567049e5132e3cc4d4,wine,FOUND,wine
60d731567049e5132e3cc4d4,Tequila,REPLACE,tequila
60d731567049e5132e3cc4d4,rum,FOUND,rum
60d731567049e5132e3cc4d4,vodka,FOUND,vodka
60d731567049e5132e3cc4d4,fruit punch,FOUND,fruit punch
60d731567049e5132e3cc4d4,milk,FOUND,milk
60d731567049e5132e3cc4d4,juice,FOUND,juice
60d731567049e5132e3cc4d4,Mercury,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,mud,REPLACE,mustard
60d731567049e5132e3cc4d4,rubbing alcohol,FOUND,rubbing alcohol
60d731567049e5132e3cc4d4,nail polish remover	44	44.7	0.97487855,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,Windex,REPLACE,wine
60d731567049e5132e3cc4d4,Clorox,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,bleach,FOUND,bleach
60d731567049e5132e3cc4d4,laundry detergent,FOUND,laundry detergent
60d731567049e5132e3cc4d4,vanilla extract,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,lemon juice,FOUND,lemon juice
60d731567049e5132e3cc4d4,chlorine,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,soda,FOUND,soda
60d731567049e5132e3cc4d4,tea,FOUND,tea
60d731567049e5132e3cc4d4,coffee,FOUND,coffee
60d731567049e5132e3cc4d4,creamer,REPLACE,degreaser
60d731567049e5132e3cc4d4,smoothies,REPLACE,smoothie
60d731567049e5132e3cc4d4,lava,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,kombucha,FOUND,kombucha
60d731567049e5132e3cc4d4,seltzer,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,water,FOUND,water
63e802622f8052bd67d6c5f0,milk,FOUND,milk
63e802622f8052bd67d6c5f0,juice,FOUND,juice
63e802622f8052bd67d6c5f0,beer,FOUND,beer
63e802622f8052bd67d6c5f0,liquor,FOUND,liquor
63e802622f8052bd67d6c5f0,liquid itrogen,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,tea,FOUND,tea
63e802622f8052bd67d6c5f0,energy drinks,REPLACE,energy drink
63e802622f8052bd67d6c5f0,soda,FOUND,soda
65e1f75ab3efd22e847cfbf0,soda,FOUND,soda
65e1f75ab3efd22e847cfbf0,tea,FOUND,tea
65e1f75ab3efd22e847cfbf0,juice,FOUND,juice
65e1f75ab3efd22e847cfbf0,water,FOUND,water
65e1f75ab3efd22e847cfbf0,Coca-Cola,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Pepsi,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Fanta,REPLACE,fanta
65e1f75ab3efd22e847cfbf0,Sprite,REPLACE,sprite
65e1f75ab3efd22e847cfbf0,Coke Pibb,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,orange juice,FOUND,orange juice
65e1f75ab3efd22e847cfbf0,apple juice,FOUND,apple juice
65e1f75ab3efd22e847cfbf0,cranberry juice,FOUND,cranberry juice
65e1f75ab3efd22e847cfbf0,Welch's juice,REPLACE,peach juice
65e1f75ab3efd22e847cfbf0,alcohol,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,dr. pepper,FOUND,dr. pepper
65e1f75ab3efd22e847cfbf0,pibb,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,lemonade,FOUND,lemonade
65e1f75ab3efd22e847cfbf0,whiskey,FOUND,whiskey
65e1f75ab3efd22e847cfbf0,grape juice,REPLACE,apple juice
65e1f75ab3efd22e847cfbf0,Kool-Aid,EXCLUDE,EXCLUDE
