SID,entry,evaluation,replacement
65e862f844f1b7a803bb3c5a,bus,FOUND,bus
65e862f844f1b7a803bb3c5a,car,FOUND,car
65e862f844f1b7a803bb3c5a,bicycle,FOUND,bicycle
65e862f844f1b7a803bb3c5a,coach,REPLACE,yacht
65e862f844f1b7a803bb3c5a,camel,FOUND,camel
65e862f844f1b7a803bb3c5a,horse,FOUND,horse
65e862f844f1b7a803bb3c5a,cable car,FOUND,cable car
65e862f844f1b7a803bb3c5a,skateboard,FOUND,skateboard
65e862f844f1b7a803bb3c5a,aeroplane,REPLACE,airplane
65e862f844f1b7a803bb3c5a,narrow boats,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,yacht,FOUND,yacht
65e862f844f1b7a803bb3c5a,ferry,FOUND,ferry
65e862f844f1b7a803bb3c5a,Cruise shiop,REPLACE,cruise ship
65e862f844f1b7a803bb3c5a,taxi,FOUND,taxi
65e862f844f1b7a803bb3c5a,train,FOUND,train
65e862f844f1b7a803bb3c5a,air boats,REPLACE,sailboat
65e862f844f1b7a803bb3c5a,helicopter,FOUND,helicopter
65e862f844f1b7a803bb3c5a,submarine,FOUND,submarine
65e862f844f1b7a803bb3c5a,truck,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,lorry,REPLACE,ferry
65e862f844f1b7a803bb3c5a,donkey,FOUND,donkey
65e862f844f1b7a803bb3c5a,kennel,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,car,FOUND,car
5d7ff4aa50fda7001a863736,Bus,REPLACE,bus
5d7ff4aa50fda7001a863736,Taxi,REPLACE,taxi
5d7ff4aa50fda7001a863736,limo,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,airplane,FOUND,airplane
5d7ff4aa50fda7001a863736,helicopter,FOUND,helicopter
5d7ff4aa50fda7001a863736,bicycle,FOUND,bicycle
5d7ff4aa50fda7001a863736,oh,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,ship,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,boat,REPLACE,rowboat
5d7ff4aa50fda7001a863736,scooter,FOUND,scooter
5d7ff4aa50fda7001a863736,train,FOUND,train
5d7ff4aa50fda7001a863736,motorcycle,FOUND,motorcycle
5d7ff4aa50fda7001a863736,golf cart,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,School Bus,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,ambulance,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,police car,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,horse,FOUND,horse
65c25cf77dca9d7ca7d9ebdb,car,FOUND,car
65c25cf77dca9d7ca7d9ebdb,airplane,FOUND,airplane
65c25cf77dca9d7ca7d9ebdb,train,FOUND,train
65c25cf77dca9d7ca7d9ebdb,boat,REPLACE,rowboat
65c25cf77dca9d7ca7d9ebdb,jet ski,FOUND,jet ski
65c25cf77dca9d7ca7d9ebdb,bicycle,FOUND,bicycle
65c25cf77dca9d7ca7d9ebdb,motorcycle,FOUND,motorcycle
