SID,entry,timepoint,evaluation,replacement
60fcf1a04c245326d05076e0,desert,0.0,FOUND,desert
60fcf1a04c245326d05076e0,ocean,3.0,REPLACE,volcano
60fcf1a04c245326d05076e0,Prairie,3.1,REPLACE,prairie
60fcf1a04c245326d05076e0,Boris,1.5,REPLACE,oasis
60fcf1a04c245326d05076e0,rainforest,1.0,FOUND,rainforest
60fcf1a04c245326d05076e0,Lake,1.5,REPLACE,lake
60fcf1a04c245326d05076e0,Arctic,15.2,REPLACE,arctic
60fcf1a04c245326d05076e0,River,25.5,REPLACE,river
60fcf1a04c245326d05076e0,mountains,15.0,FOUND,mountains
60fcf1a04c245326d05076e0,Valley,2.2,REPLACE,valley
5f6c102b6ec04317fc9a8127,mountains,0.0,FOUND,mountains
5f6c102b6ec04317fc9a8127,rivers,2.8,REPLACE,river
5f6c102b6ec04317fc9a8127,deserts,4.6,REPLACE,desert
5f6c102b6ec04317fc9a8127,volcanoes,0.0,REPLACE,volcano
5f6c102b6ec04317fc9a8127,oceans,1.7,REPLACE,volcano
5f6c102b6ec04317fc9a8127,trees,8.5,REPLACE,creek
5f6c102b6ec04317fc9a8127,clouds,6.40000000000001,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,waterfalls,14.9,REPLACE,waterfall
5f6c102b6ec04317fc9a8127,caves,6.10000000000001,FOUND,caves
5f6c102b6ec04317fc9a8127,beaches,8.5,REPLACE,beach
5f6c102b6ec04317fc9a8127,lakes,4.3,REPLACE,lake
65778c02cde55736bb830eca,Mountain,0.0,REPLACE,mountain
65778c02cde55736bb830eca,river,1.6,FOUND,river
65778c02cde55736bb830eca,stream,0.0,FOUND,stream
65778c02cde55736bb830eca,Lake,0.0,REPLACE,lake
65778c02cde55736bb830eca,Valley,1.2,REPLACE,valley
65778c02cde55736bb830eca,Sun,2.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,clouds,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,animals,1.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,beach,2.2,FOUND,beach
65778c02cde55736bb830eca,sand,0.0,REPLACE,sound
65778c02cde55736bb830eca,Birds,3.2,REPLACE,fiord
65778c02cde55736bb830eca,snakes,2.4,REPLACE,lake
65778c02cde55736bb830eca,rocks,2.2,REPLACE,brook
65778c02cde55736bb830eca,trees,2.2,REPLACE,creek
65778c02cde55736bb830eca,bushes,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,rain,8.1,REPLACE,ravine
65778c02cde55736bb830eca,snow,3.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Moss,3.4,REPLACE,oasis
65778c02cde55736bb830eca,Lychen,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Forest,8.9,REPLACE,forest
65778c02cde55736bb830eca,desert,1.5,FOUND,desert
65778c02cde55736bb830eca,tundra,0.0,FOUND,tundra
65778c02cde55736bb830eca,rainforest,2.19999999999999,FOUND,rainforest
65778c02cde55736bb830eca,temperate grassland,1.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Prairie,3.2,REPLACE,prairie
65778c02cde55736bb830eca,bison,4.8,REPLACE,sound
65778c02cde55736bb830eca,fish,6.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,frogs,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,ecosystem,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,soil,4.80000000000001,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,nutrients,1.60000000000001,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,growth,4.10000000000001,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,green,6.2,REPLACE,greenery
65778c02cde55736bb830eca,stem,1.30000000000001,REPLACE,stream
65778c02cde55736bb830eca,leaf,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,mushroom,4.80000000000001,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,fungi,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,trees,0.0,REPLACE,creek
5e8a76b3939b3072dc76fb5c,animals,6.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,wind,3.3,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,sand,0.0,REPLACE,sound
5e8a76b3939b3072dc76fb5c,Earth,2.0,REPLACE,marsh
5e8a76b3939b3072dc76fb5c,dirt,0.0,REPLACE,desert
5e8a76b3939b3072dc76fb5c,grass,0.0,REPLACE,grassland
5e8a76b3939b3072dc76fb5c,flowers,1.5,REPLACE,forest
5e8a76b3939b3072dc76fb5c,rain,3.2,REPLACE,ravine
5e8a76b3939b3072dc76fb5c,Sun,2.9,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,crickets,19.6,REPLACE,thicket
5e8a76b3939b3072dc76fb5c,Stones,4.0,REPLACE,cone
5e8a76b3939b3072dc76fb5c,Pebbles,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,bushes,4.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,shrubs,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,insects,47.7,REPLACE,islet
5e8a76b3939b3072dc76fb5c,spiders,0.0,REPLACE,rapids
5c4a428161c51f0001e96b3f,desert,0.0,FOUND,desert
5c4a428161c51f0001e96b3f,lake,0.0,FOUND,lake
5c4a428161c51f0001e96b3f,mountains,0.0,FOUND,mountains
5c4a428161c51f0001e96b3f,Hills,2.2,REPLACE,hills
5c4a428161c51f0001e96b3f,Countryside,2.5,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,beach,1.8,FOUND,beach
5c4a428161c51f0001e96b3f,planes,2.6,REPLACE,plains
5c4a428161c51f0001e96b3f,Forest,4.8,REPLACE,forest
5c4a428161c51f0001e96b3f,prairies,7.0,REPLACE,prairie
5c4a428161c51f0001e96b3f,Canyons,4.6,REPLACE,canyon
5c4a428161c51f0001e96b3f,Salt Plains,1.59999999999999,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Rolling Hills,16.5,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,cities,6.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,snow areas,9.10000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,streams,4.8,REPLACE,stream
5c4a428161c51f0001e96b3f,Rivers,0.0,REPLACE,river
5c4a428161c51f0001e96b3f,sand dunes,17.7,FOUND,sand dunes
5c4a428161c51f0001e96b3f,mountains,10.8,FOUND,mountains
5ed9311e1a69d449577bb8cf,forest,0.0,FOUND,forest
5ed9311e1a69d449577bb8cf,lakes,0.0,REPLACE,lake
5ed9311e1a69d449577bb8cf,ponds,0.0,REPLACE,pond
5ed9311e1a69d449577bb8cf,rivers,0.2,REPLACE,river
5ed9311e1a69d449577bb8cf,mountains,0.0,FOUND,mountains
5ed9311e1a69d449577bb8cf,sky,3.1,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,rain,1.7,REPLACE,ravine
5ed9311e1a69d449577bb8cf,clouds,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,waterfalls,69.9,REPLACE,waterfall
5ed9311e1a69d449577bb8cf,rainbows,9.3,REPLACE,rainforest
5ed9311e1a69d449577bb8cf,hiking trails,7.0,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,Trees,0.0,REPLACE,creek
61035836646fb6ee2152f950,Flowers,0.0,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,dirt,0.0,REPLACE,desert
61035836646fb6ee2152f950,mulch,0.0,REPLACE,loch
61035836646fb6ee2152f950,leaves,0.0,REPLACE,caves
61035836646fb6ee2152f950,grass,1.7,REPLACE,grassland
61035836646fb6ee2152f950,Sky,2.7,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,clouds,0.0,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,dew,1.3,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,dust,0.0,REPLACE,dunes
61035836646fb6ee2152f950,sunlight,4.3,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,Sun,0.0,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,Moon,0.0,REPLACE,lagoon
61035836646fb6ee2152f950,wind,1.2,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,Breeze,1.5,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,gust,0.0,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,tornado,0.0,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,typhoon,1.7,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,River,2.2,REPLACE,river
61035836646fb6ee2152f950,sea,1.1,REPLACE,stream
61035836646fb6ee2152f950,ocean,1.0,REPLACE,volcano
61035836646fb6ee2152f950,bay,10.2,FOUND,bay
61035836646fb6ee2152f950,air,17.7,REPLACE,prairie
61035836646fb6ee2152f950,sand,11.3,REPLACE,sound
61035836646fb6ee2152f950,pollen,2.59999999999999,REPLACE,pool
61035836646fb6ee2152f950,roots,9.0,REPLACE,brook
65512e3cc12f463bc327b7c3,mountains,0.0,FOUND,mountains
65512e3cc12f463bc327b7c3,grassland,1.4,FOUND,grassland
65512e3cc12f463bc327b7c3,Prairie,6.3,REPLACE,prairie
65512e3cc12f463bc327b7c3,Forest,3.3,REPLACE,forest
65512e3cc12f463bc327b7c3,Lake,3.9,REPLACE,lake
65512e3cc12f463bc327b7c3,River,8.3,REPLACE,river
65512e3cc12f463bc327b7c3,Nature Preserve,5.5,REPLACE,nature reserve
65512e3cc12f463bc327b7c3,State Park,17.2,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,National Park,2.4,REPLACE,national park
65512e3cc12f463bc327b7c3,bog,11.7,FOUND,bog
65512e3cc12f463bc327b7c3,swamp,1.80000000000001,FOUND,swamp
65512e3cc12f463bc327b7c3,Valley,19.1,REPLACE,valley
65512e3cc12f463bc327b7c3,Canyon,0.0,REPLACE,canyon
5e7fefe06c12706d47e35211,grass,0.0,REPLACE,grassland
5e7fefe06c12706d47e35211,sky,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,cloud,0.0,REPLACE,sound
5e7fefe06c12706d47e35211,flower,0.9,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,dirt,1.1,REPLACE,desert
5e7fefe06c12706d47e35211,rocks,1.0,REPLACE,brook
5e7fefe06c12706d47e35211,insects,1.7,REPLACE,islet
5e7fefe06c12706d47e35211,birds,0.0,REPLACE,fiord
5e7fefe06c12706d47e35211,lizards,1.4,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,mammals,0.0,REPLACE,pampas
5e7fefe06c12706d47e35211,wind,2.4,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,gas,1.3,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,water,1.5,REPLACE,crater
5e7fefe06c12706d47e35211,minerals,1.4,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,weeds,5.8,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,fruits,4.7,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,vegetables,1.1,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,lakes,2.7,REPLACE,lake
5e7fefe06c12706d47e35211,ponds,0.0,REPLACE,pond
5e7fefe06c12706d47e35211,marshes,0.0,REPLACE,marsh
5e7fefe06c12706d47e35211,the sun,2.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,wood,15.1,REPLACE,woodland
5e7fefe06c12706d47e35211,Vines,3.5,REPLACE,inlet
5e7fefe06c12706d47e35211,ivy,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,bees,11.9,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,spiders,3.89999999999999,REPLACE,rapids
5e7fefe06c12706d47e35211,snakes,0.0,REPLACE,lake
5e7fefe06c12706d47e35211,wheat,7.5,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,branches,10.1,REPLACE,range
5d3cc9010e510a00013df6f6,Lance,0.0,REPLACE,range
5d3cc9010e510a00013df6f6,trees,2.8,REPLACE,creek
5d3cc9010e510a00013df6f6,water,11.5,REPLACE,crater
5d3cc9010e510a00013df6f6,lakes,0.0,REPLACE,lake
5d3cc9010e510a00013df6f6,rivers,0.0,REPLACE,river
5d3cc9010e510a00013df6f6,oceans,1.4,REPLACE,volcano
5d3cc9010e510a00013df6f6,animals,8.09999999999999,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,mountains,2.5,FOUND,mountains
5d3cc9010e510a00013df6f6,Canyons,3.3,REPLACE,canyon
5d3cc9010e510a00013df6f6,Queen,9.99999999999999,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,fields,9.0,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,crops,4.60000000000001,REPLACE,copse
5d3cc9010e510a00013df6f6,dirt,3.5,REPLACE,desert
5d3cc9010e510a00013df6f6,grass,2.10000000000001,REPLACE,grassland
5d3cc9010e510a00013df6f6,wind,16.3,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,trees,0.0,REPLACE,creek
5c1942e200849900010afdcd,bushes,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,saplings,1.8,REPLACE,plains
5c1942e200849900010afdcd,flowers,0.0,REPLACE,forest
5c1942e200849900010afdcd,grass,0.0,REPLACE,grassland
5c1942e200849900010afdcd,dirt,1.4,REPLACE,desert
5c1942e200849900010afdcd,Anton's Hills,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,Rivers,0.0,REPLACE,river
5c1942e200849900010afdcd,Brooks,0.0,REPLACE,brook
5c1942e200849900010afdcd,Lakes,0.9,REPLACE,lake
5c1942e200849900010afdcd,animals,2.8,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,mammals,1.0,REPLACE,pampas
5c1942e200849900010afdcd,birds,0.0,REPLACE,fiord
5c1942e200849900010afdcd,reptiles,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,amphibians,0.0,EXCLUDE,EXCLUDE
