SID,entry,timepoint
60fcf1a04c245326d05076e0,desert,0.0
60fcf1a04c245326d05076e0,volcano,3.0
60fcf1a04c245326d05076e0,prairie,3.1
60fcf1a04c245326d05076e0,oasis,1.5
60fcf1a04c245326d05076e0,rainforest,1.0
60fcf1a04c245326d05076e0,lake,1.5
60fcf1a04c245326d05076e0,arctic,15.2
60fcf1a04c245326d05076e0,river,25.5
60fcf1a04c245326d05076e0,mountains,15.0
60fcf1a04c245326d05076e0,valley,2.2
5f6c102b6ec04317fc9a8127,mountains,0.0
5f6c102b6ec04317fc9a8127,river,2.8
5f6c102b6ec04317fc9a8127,desert,4.6
5f6c102b6ec04317fc9a8127,volcano,0.0
5f6c102b6ec04317fc9a8127,volcano,1.7
5f6c102b6ec04317fc9a8127,creek,8.5
5f6c102b6ec04317fc9a8127,waterfall,14.9
5f6c102b6ec04317fc9a8127,caves,6.10000000000001
5f6c102b6ec04317fc9a8127,beach,8.5
5f6c102b6ec04317fc9a8127,lake,4.3
65778c02cde55736bb830eca,mountain,0.0
65778c02cde55736bb830eca,river,1.6
65778c02cde55736bb830eca,stream,0.0
65778c02cde55736bb830eca,lake,0.0
65778c02cde55736bb830eca,valley,1.2
65778c02cde55736bb830eca,beach,2.2
65778c02cde55736bb830eca,sound,0.0
65778c02cde55736bb830eca,fiord,3.2
65778c02cde55736bb830eca,lake,2.4
65778c02cde55736bb830eca,brook,2.2
65778c02cde55736bb830eca,creek,2.2
65778c02cde55736bb830eca,ravine,8.1
65778c02cde55736bb830eca,oasis,3.4
65778c02cde55736bb830eca,forest,8.9
65778c02cde55736bb830eca,desert,1.5
65778c02cde55736bb830eca,tundra,0.0
65778c02cde55736bb830eca,rainforest,2.19999999999999
65778c02cde55736bb830eca,prairie,3.2
65778c02cde55736bb830eca,sound,4.8
65778c02cde55736bb830eca,greenery,6.2
65778c02cde55736bb830eca,stream,1.30000000000001
5e8a76b3939b3072dc76fb5c,creek,0.0
5e8a76b3939b3072dc76fb5c,sound,0.0
5e8a76b3939b3072dc76fb5c,marsh,2.0
5e8a76b3939b3072dc76fb5c,desert,0.0
5e8a76b3939b3072dc76fb5c,grassland,0.0
5e8a76b3939b3072dc76fb5c,forest,1.5
5e8a76b3939b3072dc76fb5c,ravine,3.2
5e8a76b3939b3072dc76fb5c,thicket,19.6
5e8a76b3939b3072dc76fb5c,cone,4.0
5e8a76b3939b3072dc76fb5c,islet,47.7
5e8a76b3939b3072dc76fb5c,rapids,0.0
5c4a428161c51f0001e96b3f,desert,0.0
5c4a428161c51f0001e96b3f,lake,0.0
5c4a428161c51f0001e96b3f,mountains,0.0
5c4a428161c51f0001e96b3f,hills,2.2
5c4a428161c51f0001e96b3f,beach,1.8
5c4a428161c51f0001e96b3f,plains,2.6
5c4a428161c51f0001e96b3f,forest,4.8
5c4a428161c51f0001e96b3f,prairie,7.0
5c4a428161c51f0001e96b3f,canyon,4.6
5c4a428161c51f0001e96b3f,stream,4.8
5c4a428161c51f0001e96b3f,river,0.0
5c4a428161c51f0001e96b3f,sand dunes,17.7
5c4a428161c51f0001e96b3f,mountains,10.8
5ed9311e1a69d449577bb8cf,forest,0.0
5ed9311e1a69d449577bb8cf,lake,0.0
5ed9311e1a69d449577bb8cf,pond,0.0
5ed9311e1a69d449577bb8cf,river,0.2
5ed9311e1a69d449577bb8cf,mountains,0.0
5ed9311e1a69d449577bb8cf,ravine,1.7
5ed9311e1a69d449577bb8cf,waterfall,69.9
5ed9311e1a69d449577bb8cf,rainforest,9.3
61035836646fb6ee2152f950,creek,0.0
61035836646fb6ee2152f950,desert,0.0
61035836646fb6ee2152f950,loch,0.0
61035836646fb6ee2152f950,caves,0.0
61035836646fb6ee2152f950,grassland,1.7
61035836646fb6ee2152f950,dunes,0.0
61035836646fb6ee2152f950,lagoon,0.0
61035836646fb6ee2152f950,river,2.2
61035836646fb6ee2152f950,stream,1.1
61035836646fb6ee2152f950,volcano,1.0
61035836646fb6ee2152f950,bay,10.2
61035836646fb6ee2152f950,prairie,17.7
61035836646fb6ee2152f950,sound,11.3
61035836646fb6ee2152f950,pool,2.59999999999999
61035836646fb6ee2152f950,brook,9.0
65512e3cc12f463bc327b7c3,mountains,0.0
65512e3cc12f463bc327b7c3,grassland,1.4
65512e3cc12f463bc327b7c3,prairie,6.3
65512e3cc12f463bc327b7c3,forest,3.3
65512e3cc12f463bc327b7c3,lake,3.9
65512e3cc12f463bc327b7c3,river,8.3
65512e3cc12f463bc327b7c3,nature reserve,5.5
65512e3cc12f463bc327b7c3,national park,2.4
65512e3cc12f463bc327b7c3,bog,11.7
65512e3cc12f463bc327b7c3,swamp,1.80000000000001
65512e3cc12f463bc327b7c3,valley,19.1
65512e3cc12f463bc327b7c3,canyon,0.0
5e7fefe06c12706d47e35211,grassland,0.0
5e7fefe06c12706d47e35211,sound,0.0
5e7fefe06c12706d47e35211,desert,1.1
5e7fefe06c12706d47e35211,brook,1.0
5e7fefe06c12706d47e35211,islet,1.7
5e7fefe06c12706d47e35211,fiord,0.0
5e7fefe06c12706d47e35211,pampas,0.0
5e7fefe06c12706d47e35211,crater,1.5
5e7fefe06c12706d47e35211,lake,2.7
5e7fefe06c12706d47e35211,pond,0.0
5e7fefe06c12706d47e35211,marsh,0.0
5e7fefe06c12706d47e35211,woodland,15.1
5e7fefe06c12706d47e35211,inlet,3.5
5e7fefe06c12706d47e35211,rapids,3.89999999999999
5e7fefe06c12706d47e35211,lake,0.0
5e7fefe06c12706d47e35211,range,10.1
5d3cc9010e510a00013df6f6,range,0.0
5d3cc9010e510a00013df6f6,creek,2.8
5d3cc9010e510a00013df6f6,crater,11.5
5d3cc9010e510a00013df6f6,lake,0.0
5d3cc9010e510a00013df6f6,river,0.0
5d3cc9010e510a00013df6f6,volcano,1.4
5d3cc9010e510a00013df6f6,mountains,2.5
5d3cc9010e510a00013df6f6,canyon,3.3
5d3cc9010e510a00013df6f6,copse,4.60000000000001
5d3cc9010e510a00013df6f6,desert,3.5
5d3cc9010e510a00013df6f6,grassland,2.10000000000001
5c1942e200849900010afdcd,creek,0.0
5c1942e200849900010afdcd,plains,1.8
5c1942e200849900010afdcd,forest,0.0
5c1942e200849900010afdcd,grassland,0.0
5c1942e200849900010afdcd,desert,1.4
5c1942e200849900010afdcd,river,0.0
5c1942e200849900010afdcd,brook,0.0
5c1942e200849900010afdcd,lake,0.9
5c1942e200849900010afdcd,pampas,1.0
