SID,entry,evaluation,replacement
60a48adfe091e410f4eaba34,Construction,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,manager,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,retail sales,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Tech,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,engineering,REPLACE,engineer
60a48adfe091e410f4eaba34,physical therapist,FOUND,physical therapist
60a48adfe091e410f4eaba34,doctor,FOUND,doctor
60a48adfe091e410f4eaba34,occupational therapist,FOUND,occupational therapist
60a48adfe091e410f4eaba34,physician's assistant,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,laborer,REPLACE,lawyer
60a48adfe091e410f4eaba34,auditor,FOUND,auditor
60a48adfe091e410f4eaba34,auctioneer,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,real estate agent,FOUND,real estate agent
60a48adfe091e410f4eaba34,leasing manager,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,office worker,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,veterinarian,FOUND,veterinarian
60a48adfe091e410f4eaba34,transporter,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Rideshare worker,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,food delivery,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,doctor,FOUND,doctor
65e862f844f1b7a803bb3c5a,accountants,REPLACE,accountant
65e862f844f1b7a803bb3c5a,chef,FOUND,chef
65e862f844f1b7a803bb3c5a,teacher,FOUND,teacher
65e862f844f1b7a803bb3c5a,lecturer,FOUND,lecturer
65e862f844f1b7a803bb3c5a,dentist,FOUND,dentist
65e862f844f1b7a803bb3c5a,architect,FOUND,architect
65e862f844f1b7a803bb3c5a,Baker,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,butcher,REPLACE,teacher
65e862f844f1b7a803bb3c5a,electrician,FOUND,electrician
65e862f844f1b7a803bb3c5a,farmer,FOUND,farmer
65e862f844f1b7a803bb3c5a,bus driver,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Carpenter,REPLACE,carpenter
65e862f844f1b7a803bb3c5a,astronomer,FOUND,astronomer
65e862f844f1b7a803bb3c5a,bricklayer,FOUND,bricklayer
65e862f844f1b7a803bb3c5a,cleaner,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Factory worker,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,designer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,engineer,FOUND,engineer
65e862f844f1b7a803bb3c5a,fisherman,FOUND,fisherman
65e862f844f1b7a803bb3c5a,lawyer,FOUND,lawyer
65e862f844f1b7a803bb3c5a,actor,FOUND,actor
65e862f844f1b7a803bb3c5a,firefighter,FOUND,firefighter
65e862f844f1b7a803bb3c5a,nurse,FOUND,nurse
65e862f844f1b7a803bb3c5a,teacher,FOUND,teacher
65e862f844f1b7a803bb3c5a,scientist,FOUND,scientist
65e862f844f1b7a803bb3c5a,trader,REPLACE,teacher
65e862f844f1b7a803bb3c5a,analyst,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,software engineer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,software analyst,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,train conductor,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,American football player,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,basketball player,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,secretary,FOUND,secretary
65e862f844f1b7a803bb3c5a,policeman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,soldier,REPLACE,sommelier
65e862f844f1b7a803bb3c5a,repairman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,businessman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,reporter,REPLACE,recruiter
65e862f844f1b7a803bb3c5a,journalist,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Postman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,photographer,FOUND,photographer
65e862f844f1b7a803bb3c5a,Pilots,REPLACE,pilot
65e862f844f1b7a803bb3c5a,construction worker,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,lifeguard,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,housekeeper,REPLACE,zookeeper
65e862f844f1b7a803bb3c5a,gardener,FOUND,gardener
65e862f844f1b7a803bb3c5a,footballer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,fire man,REPLACE,fisherman
65e862f844f1b7a803bb3c5a,flight attendants,REPLACE,flight attendant
65d54b3b524fcafb543d1b23,nurse,FOUND,nurse
65d54b3b524fcafb543d1b23,plumber,FOUND,plumber
65d54b3b524fcafb543d1b23,surgeon,FOUND,surgeon
65d54b3b524fcafb543d1b23,doctor,FOUND,doctor
65d54b3b524fcafb543d1b23,nurse's assistant,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,assistant,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,CEO,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,software developer,FOUND,software developer
65d54b3b524fcafb543d1b23,IT,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,security,REPLACE,secretary
65d54b3b524fcafb543d1b23,counselor,FOUND,counselor
65d54b3b524fcafb543d1b23,office assistant,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,receptionist,FOUND,receptionist
65d54b3b524fcafb543d1b23,massage therapist,FOUND,massage therapist
65d54b3b524fcafb543d1b23,physical therapist,FOUND,physical therapist
65d54b3b524fcafb543d1b23,occupational therapist,FOUND,occupational therapist
65d54b3b524fcafb543d1b23,nurse anesthetist,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,anesthesia doctor,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Foreman,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,general contractor,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,electrician,FOUND,electrician
65d54b3b524fcafb543d1b23,welder,FOUND,welder
60d731567049e5132e3cc4d4,surgeon,FOUND,surgeon
60d731567049e5132e3cc4d4,pediatrician,FOUND,pediatrician
60d731567049e5132e3cc4d4,lawyer,FOUND,lawyer
60d731567049e5132e3cc4d4,scientist,FOUND,scientist
60d731567049e5132e3cc4d4,plumber,FOUND,plumber
60d731567049e5132e3cc4d4,Carpenter,REPLACE,carpenter
60d731567049e5132e3cc4d4,electrician,FOUND,electrician
60d731567049e5132e3cc4d4,botanist,REPLACE,barista
60d731567049e5132e3cc4d4,Gardner,REPLACE,gardener
60d731567049e5132e3cc4d4,construction worker,EXCLUDE,EXCLUDE
60d731567049e5132e3cc4d4,teacher,FOUND,teacher
60d731567049e5132e3cc4d4,principal,EXCLUDE,EXCLUDE
