SID,entry,timepoint
65512e3cc12f463bc327b7c3,pen,0.0
65512e3cc12f463bc327b7c3,pencil,0.8
65512e3cc12f463bc327b7c3,marker,0.0
65512e3cc12f463bc327b7c3,paper,3.8
65512e3cc12f463bc327b7c3,printer,1.9
65512e3cc12f463bc327b7c3,printer,2.0
65512e3cc12f463bc327b7c3,scissors,3.2
65512e3cc12f463bc327b7c3,stapler,9.1
65512e3cc12f463bc327b7c3,staple remover,0.0
65512e3cc12f463bc327b7c3,scissors,12.0
65512e3cc12f463bc327b7c3,marker,2.8
65512e3cc12f463bc327b7c3,desk pad,7.80000000000001
65512e3cc12f463bc327b7c3,mouse,18.7
5f6c102b6ec04317fc9a8127,paper,0.0
5f6c102b6ec04317fc9a8127,pen,0.0
5f6c102b6ec04317fc9a8127,scissors,3.2
5f6c102b6ec04317fc9a8127,calculator,2.8
5f6c102b6ec04317fc9a8127,stapler,4.3
5f6c102b6ec04317fc9a8127,eraser,3.0
5f6c102b6ec04317fc9a8127,pen,0.0
5f6c102b6ec04317fc9a8127,sticky note,2.8
5f6c102b6ec04317fc9a8127,sharpener,13.1
5f6c102b6ec04317fc9a8127,paperclip,13.6
5f6c102b6ec04317fc9a8127,whiteboard,11.6
5f6c102b6ec04317fc9a8127,highlighter,13.1
5f6c102b6ec04317fc9a8127,glue,6.39999999999999
5f6c102b6ec04317fc9a8127,index card,5.69999999999999
5c1942e200849900010afdcd,scissors,0.0
5c1942e200849900010afdcd,sticky note,0.0
5c1942e200849900010afdcd,stapler,0.0
5c1942e200849900010afdcd,pen,0.0
5c1942e200849900010afdcd,pencil,0.0
5c1942e200849900010afdcd,glue,0.0
5c1942e200849900010afdcd,folder,2.1
5c1942e200849900010afdcd,paper,0.0
5c1942e200849900010afdcd,calculator,0.0
5c1942e200849900010afdcd,notebook,4.8
5c1942e200849900010afdcd,pen,0.0
5c1942e200849900010afdcd,folder,0.0
5c1942e200849900010afdcd,tape,7.2
5c1942e200849900010afdcd,paperclip,0.0
5c1942e200849900010afdcd,tape,5.7
5c1942e200849900010afdcd,glue,15.5
5c1942e200849900010afdcd,folder,3.2
5c1942e200849900010afdcd,binder,0.0
5c1942e200849900010afdcd,paper folder,2.10000000000001
60da4f9aa1ced7efeecca18a,paper,0.0
60da4f9aa1ced7efeecca18a,pen,0.0
60da4f9aa1ced7efeecca18a,pencil,0.0
60da4f9aa1ced7efeecca18a,highlighter,1.0
60da4f9aa1ced7efeecca18a,paperclip,0.0
60da4f9aa1ced7efeecca18a,binder clip,0.0
60da4f9aa1ced7efeecca18a,folder,0.0
60da4f9aa1ced7efeecca18a,binder,0.0
60da4f9aa1ced7efeecca18a,printer,0.0
60da4f9aa1ced7efeecca18a,filing cabinet,2.5
60da4f9aa1ced7efeecca18a,stapler,5.9
60da4f9aa1ced7efeecca18a,tape,0.0
60da4f9aa1ced7efeecca18a,ruler,2.2
60da4f9aa1ced7efeecca18a,scanner,9.9
60da4f9aa1ced7efeecca18a,fax machine,1.09999999999999
60da4f9aa1ced7efeecca18a,letterhead,5.3
60da4f9aa1ced7efeecca18a,stapler,0.0
60da4f9aa1ced7efeecca18a,envelope,0.0
60da4f9aa1ced7efeecca18a,envelope,0.0
60da4f9aa1ced7efeecca18a,stapler,5.6
60da4f9aa1ced7efeecca18a,note pad,3.59999999999999
60da4f9aa1ced7efeecca18a,legal pad,2.59999999999999
60da4f9aa1ced7efeecca18a,eraser,4.59999999999999
60da4f9aa1ced7efeecca18a,glue,1.7
60da4f9aa1ced7efeecca18a,scissors,1.7
60da4f9aa1ced7efeecca18a,thumbtack,2.0
6595e3b4dc9090390e4edb5f,office chair mat,0.9
6595e3b4dc9090390e4edb5f,monitor,1.4
6595e3b4dc9090390e4edb5f,binder,0.0
6595e3b4dc9090390e4edb5f,folder,0.0
6595e3b4dc9090390e4edb5f,pen,1.1
6595e3b4dc9090390e4edb5f,paper,1.3
6595e3b4dc9090390e4edb5f,tape,-0.200000000000003
6595e3b4dc9090390e4edb5f,paperclip,0.0
6595e3b4dc9090390e4edb5f,highlighter,1.4
6595e3b4dc9090390e4edb5f,hole punch,1.9
6595e3b4dc9090390e4edb5f,rubber band,14.3
6595e3b4dc9090390e4edb5f,calculator,1.5
6595e3b4dc9090390e4edb5f,envelope,0.400000000000006
6595e3b4dc9090390e4edb5f,note pad,3.40000000000001
6595e3b4dc9090390e4edb5f,paper shredder,2.40000000000001
6595e3b4dc9090390e4edb5f,scanner,0.0999999999999943
6595e3b4dc9090390e4edb5f,ruler,3.69999999999999
6595e3b4dc9090390e4edb5f,keyboard,1.7
6595e3b4dc9090390e4edb5f,mouse,0.0
6595e3b4dc9090390e4edb5f,keyboard,4.2
6595e3b4dc9090390e4edb5f,extension cord,2.59999999999999
6595e3b4dc9090390e4edb5f,pencil,1.60000000000001
6595e3b4dc9090390e4edb5f,eraser,0.0
6595e3b4dc9090390e4edb5f,marker,0.0
6595e3b4dc9090390e4edb5f,scissors,0.0
61035836646fb6ee2152f950,pen,0.0
61035836646fb6ee2152f950,pencil,0.0
61035836646fb6ee2152f950,pen,0.0
61035836646fb6ee2152f950,stapler,0.0
61035836646fb6ee2152f950,paperclip,5.0
61035836646fb6ee2152f950,printer,3.8
61035836646fb6ee2152f950,sharpener,3.3
61035836646fb6ee2152f950,laminator,6.4
61035836646fb6ee2152f950,ink cartridge,7.1
61035836646fb6ee2152f950,whiteboard,11.2
