SID,entry,timepoint,evaluation,replacement
65778c02cde55736bb830eca,football,0.0,FOUND,football
65778c02cde55736bb830eca,basketball,0.0,FOUND,basketball
65778c02cde55736bb830eca,badminton,1.6,FOUND,badminton
65778c02cde55736bb830eca,tennis,1.7,FOUND,tennis
65778c02cde55736bb830eca,hockey,0.0,FOUND,hockey
65778c02cde55736bb830eca,lacrosse,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,soccer,0.0,FOUND,soccer
65778c02cde55736bb830eca,rugby,3.9,FOUND,rugby
65778c02cde55736bb830eca,volleyball,6.5,FOUND,volleyball
65778c02cde55736bb830eca,baseball,3.7,FOUND,baseball
65778c02cde55736bb830eca,flag football,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,running,4.5,REPLACE,rowing
65778c02cde55736bb830eca,bobsledding,10.3,FOUND,bobsledding
65778c02cde55736bb830eca,skiing,0.0,FOUND,skiing
65778c02cde55736bb830eca,snowboarding,0.0,FOUND,snowboarding
65778c02cde55736bb830eca,golf,6.2,FOUND,golf
65778c02cde55736bb830eca,field hockey,6.09999999999999,REPLACE,ice hockey
65778c02cde55736bb830eca,archery,5.3,FOUND,archery
65778c02cde55736bb830eca,Box Lacrosse,11.2,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,cheer,7.3,REPLACE,archery
65778c02cde55736bb830eca,gymnastics,13.6,FOUND,gymnastics
65778c02cde55736bb830eca,ice skating,4.7,FOUND,ice skating
61035836646fb6ee2152f950,tennis,0.0,FOUND,tennis
61035836646fb6ee2152f950,baseball,0.0,FOUND,baseball
61035836646fb6ee2152f950,badminton,0.0,FOUND,badminton
61035836646fb6ee2152f950,Cricket,1.4,REPLACE,cricket
61035836646fb6ee2152f950,bowling,0.0,REPLACE,rowing
61035836646fb6ee2152f950,football,2.5,FOUND,football
61035836646fb6ee2152f950,pickleball,8.7,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,dodgeball,0.0,REPLACE,horseball
61035836646fb6ee2152f950,wall ball,1.8,REPLACE,volleyball
61035836646fb6ee2152f950,skiing,5.4,FOUND,skiing
61035836646fb6ee2152f950,snowboarding,0.0,FOUND,snowboarding
61035836646fb6ee2152f950,surfing,1.5,FOUND,surfing
61035836646fb6ee2152f950,running,2.2,REPLACE,rowing
61035836646fb6ee2152f950,cycling,1.5,FOUND,cycling
61035836646fb6ee2152f950,shooting,1.4,FOUND,shooting
61035836646fb6ee2152f950,archery,1.2,FOUND,archery
61035836646fb6ee2152f950,NASCAR,8.4,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,monster trucking,3.3,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,shot put,7.59999999999999,FOUND,shot put
61035836646fb6ee2152f950,long jumping,2.3,REPLACE,long jump
61035836646fb6ee2152f950,boat racing,19.6,REPLACE,horse racing
61035836646fb6ee2152f950,paragliding,2.3,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,swimming,5.80000000000001,FOUND,swimming
61035836646fb6ee2152f950,fishing,4.5,FOUND,fishing
61035836646fb6ee2152f950,gaming,5.0,REPLACE,grappling
6595e3b4dc9090390e4edb5f,basketball,0.0,FOUND,basketball
