SID,entry,timepoint
65778c02cde55736bb830eca,football,0.0
65778c02cde55736bb830eca,basketball,0.0
65778c02cde55736bb830eca,badminton,1.6
65778c02cde55736bb830eca,tennis,1.7
65778c02cde55736bb830eca,hockey,0.0
65778c02cde55736bb830eca,soccer,0.0
65778c02cde55736bb830eca,rugby,3.9
65778c02cde55736bb830eca,volleyball,6.5
65778c02cde55736bb830eca,baseball,3.7
65778c02cde55736bb830eca,rowing,4.5
65778c02cde55736bb830eca,bobsledding,10.3
65778c02cde55736bb830eca,skiing,0.0
65778c02cde55736bb830eca,snowboarding,0.0
65778c02cde55736bb830eca,golf,6.2
65778c02cde55736bb830eca,ice hockey,6.09999999999999
65778c02cde55736bb830eca,archery,5.3
65778c02cde55736bb830eca,archery,7.3
65778c02cde55736bb830eca,gymnastics,13.6
65778c02cde55736bb830eca,ice skating,4.7
61035836646fb6ee2152f950,tennis,0.0
61035836646fb6ee2152f950,baseball,0.0
61035836646fb6ee2152f950,badminton,0.0
61035836646fb6ee2152f950,cricket,1.4
61035836646fb6ee2152f950,rowing,0.0
61035836646fb6ee2152f950,football,2.5
61035836646fb6ee2152f950,horseball,0.0
61035836646fb6ee2152f950,volleyball,1.8
61035836646fb6ee2152f950,skiing,5.4
61035836646fb6ee2152f950,snowboarding,0.0
61035836646fb6ee2152f950,surfing,1.5
61035836646fb6ee2152f950,rowing,2.2
61035836646fb6ee2152f950,cycling,1.5
61035836646fb6ee2152f950,shooting,1.4
61035836646fb6ee2152f950,archery,1.2
61035836646fb6ee2152f950,shot put,7.59999999999999
61035836646fb6ee2152f950,long jump,2.3
61035836646fb6ee2152f950,horse racing,19.6
61035836646fb6ee2152f950,swimming,5.80000000000001
61035836646fb6ee2152f950,fishing,4.5
61035836646fb6ee2152f950,grappling,5.0
6595e3b4dc9090390e4edb5f,basketball,0.0
6595e3b4dc9090390e4edb5f,baseball,0.0
6595e3b4dc9090390e4edb5f,football,1.7
6595e3b4dc9090390e4edb5f,soccer,1.6
6595e3b4dc9090390e4edb5f,tennis,0.0
6595e3b4dc9090390e4edb5f,badminton,0.0
6595e3b4dc9090390e4edb5f,volleyball,0.0
6595e3b4dc9090390e4edb5f,snowboarding,5.3
6595e3b4dc9090390e4edb5f,skiing,0.0
6595e3b4dc9090390e4edb5f,archery,1.6
6595e3b4dc9090390e4edb5f,football,3.3
6595e3b4dc9090390e4edb5f,cricket,0.0
6595e3b4dc9090390e4edb5f,hockey,15.5
6595e3b4dc9090390e4edb5f,ice hockey,0.0
6595e3b4dc9090390e4edb5f,ice hockey,0.0
6595e3b4dc9090390e4edb5f,water polo,0.0
6595e3b4dc9090390e4edb5f,rugby,0.0
6595e3b4dc9090390e4edb5f,rowing,2.4
6595e3b4dc9090390e4edb5f,track and field,1.5
6595e3b4dc9090390e4edb5f,swimming,7.2
6595e3b4dc9090390e4edb5f,rowing,2.0
6595e3b4dc9090390e4edb5f,boxing,0.0
6595e3b4dc9090390e4edb5f,surfing,3.90000000000001
6595e3b4dc9090390e4edb5f,curling,0.0
6595e3b4dc9090390e4edb5f,figure skating,1.7
6595e3b4dc9090390e4edb5f,golf,6.60000000000001
6595e3b4dc9090390e4edb5f,table tennis,5.8
6595e3b4dc9090390e4edb5f,bodybuilding,6.40000000000001
6595e3b4dc9090390e4edb5f,cycling,3.3
5c4a428161c51f0001e96b3f,football,0.0
5c4a428161c51f0001e96b3f,golf,0.0
5c4a428161c51f0001e96b3f,tennis,0.0
5c4a428161c51f0001e96b3f,hockey,1.7
5c4a428161c51f0001e96b3f,soccer,2.6
5c4a428161c51f0001e96b3f,gymnastics,0.0
5c4a428161c51f0001e96b3f,baseball,0.0
5c4a428161c51f0001e96b3f,basketball,3.5
5c4a428161c51f0001e96b3f,polo,0.0
5c4a428161c51f0001e96b3f,rowing,0.0
5c4a428161c51f0001e96b3f,yoga,12.3
5c4a428161c51f0001e96b3f,bodybuilding,1.3
5c4a428161c51f0001e96b3f,ice skating,1.8
5c4a428161c51f0001e96b3f,figure skating,1.5
5c4a428161c51f0001e96b3f,skiing,12.1
5c4a428161c51f0001e96b3f,snowboarding,0.0
5c4a428161c51f0001e96b3f,skateboarding,0.0
5c4a428161c51f0001e96b3f,ice yachting,4.59999999999999
65512e3cc12f463bc327b7c3,hockey,0.0
65512e3cc12f463bc327b7c3,basketball,0.0
65512e3cc12f463bc327b7c3,golf,0.0
65512e3cc12f463bc327b7c3,rugby,0.9
65512e3cc12f463bc327b7c3,football,1.1
65512e3cc12f463bc327b7c3,badminton,1.8
65512e3cc12f463bc327b7c3,tennis,0.0
65512e3cc12f463bc327b7c3,rowing,23.0
65512e3cc12f463bc327b7c3,weightlifting,5.3
65512e3cc12f463bc327b7c3,cycling,3.59999999999999
65512e3cc12f463bc327b7c3,swimming,3.40000000000001
65512e3cc12f463bc327b7c3,polo,6.5
65512e3cc12f463bc327b7c3,baseball,6.6
65512e3cc12f463bc327b7c3,cricket,3.5
65512e3cc12f463bc327b7c3,climbing,12.5
5fc6df58f380620a09116434,football,0.0
5fc6df58f380620a09116434,soccer,0.0
5fc6df58f380620a09116434,basketball,0.0
5fc6df58f380620a09116434,baseball,0.0
5fc6df58f380620a09116434,cricket,0.0
5fc6df58f380620a09116434,tennis,0.0
5fc6df58f380620a09116434,golf,0.0
5fc6df58f380620a09116434,crossfit,0.0
5fc6df58f380620a09116434,cricket,0.0
5fc6df58f380620a09116434,rowing,2.5
5fc6df58f380620a09116434,tennis,0.0
5fc6df58f380620a09116434,pilates,0.0
5fc6df58f380620a09116434,football,1.0
5fc6df58f380620a09116434,snowboarding,2.3
5fc6df58f380620a09116434,skiing,0.0
5fc6df58f380620a09116434,skiing,0.0
5fc6df58f380620a09116434,rafting,0.0
5fc6df58f380620a09116434,horse racing,0.0
5fc6df58f380620a09116434,bobsledding,0.0
5fc6df58f380620a09116434,tumbling,0.0
5fc6df58f380620a09116434,cycling,1.0
