SID,entry,timepoint,evaluation,replacement
5e8a76b3939b3072dc76fb5c,computers,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,laptops,0.0,REPLACE,laptop
5e8a76b3939b3072dc76fb5c,desktop,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Spinners,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,fax machines,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,copy machines,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,phones,0.0,REPLACE,headphones
5e8a76b3939b3072dc76fb5c,calculators,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,call tools,4.3,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,USB drives,7.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,earphone,5.2,REPLACE,smartphone
5e8a76b3939b3072dc76fb5c,headphones,0.0,FOUND,headphones
5e8a76b3939b3072dc76fb5c,keyboards,3.6,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Mouse,8.4,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,televisions,12.6,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,DVD recorders,2.2,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,words players,1.90000000000001,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,dvd players,3.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Xbox PlayStation,1.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,tendo switch,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,DS Gameboy,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,antennas,12.6,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,internet cable,5.10000000000001,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,modem router,1.09999999999999,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,phone,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,laptop,0.0,FOUND,laptop
6595e3b4dc9090390e4edb5f,computer,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,radio,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,earbuds,3.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,headphones,0.0,FOUND,headphones
6595e3b4dc9090390e4edb5f,PS4,3.6,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,PS5,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Xbox,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Wii,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Nintendo Switch,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,vacuum,3.9,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Camera,2.3,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,tablet,3.3,FOUND,tablet
6595e3b4dc9090390e4edb5f,Smartwatch,2.1,REPLACE,smartwatch
6595e3b4dc9090390e4edb5f,Fitness tracker,0.0,REPLACE,fitness tracker
6595e3b4dc9090390e4edb5f,radio,10.6,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,printer,3.7,REPLACE,3d printer
6595e3b4dc9090390e4edb5f,webcam,3.7,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,hard drive,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,computer mouse,3.39999999999999,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,USB stick,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,memory card,0.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,router,5.2,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,drone,4.89999999999999,FOUND,drone
6595e3b4dc9090390e4edb5f,antenna,4.5,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,e-book reader,2.39999999999999,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,microphone,4.3,REPLACE,usb microphone
6595e3b4dc9090390e4edb5f,Speakers,15.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,VR headset,2.3,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,airpods,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,iPhone,2.3,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Android phone,1.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Apple watch,2.3,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Fitbit,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,computer,3.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,MacBook,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Windows desktop,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,MP3 player,4.5,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,switch,2.1,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Xbox,6.8,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Amazon Alexa,2.2,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Amazon Echo,1.2,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,speaker,1.8,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,headphones,0.0,FOUND,headphones
65778c02cde55736bb830eca,wireless headphones,0.0,FOUND,wireless headphones
65778c02cde55736bb830eca,Beats,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,smart home,8.3,REPLACE,smart home hub
65778c02cde55736bb830eca,controller,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,smart home light controller,2.60000000000001,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,ring camera,5.09999999999999,REPLACE,drone camera
65778c02cde55736bb830eca,GPS tracker,9.5,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,Air Tag,0.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,power bank,16.1,FOUND,power bank
65778c02cde55736bb830eca,charger,5.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,iPad,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,tablets,0.0,REPLACE,tablet
60da4f9aa1ced7efeecca18a,laptops,0.0,REPLACE,laptop
60da4f9aa1ced7efeecca18a,desktop,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,computers,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,Android phones,2.7,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,iPhones,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,smart watches,2.2,REPLACE,smartwatch
60da4f9aa1ced7efeecca18a,digital cameras,11.8,REPLACE,digital camera
60da4f9aa1ced7efeecca18a,infrared sensors,8.7,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,security cameras,6.5,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,drones,12.7,REPLACE,drone
60da4f9aa1ced7efeecca18a,foldable phones,15.1,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,apps,10.4,REPLACE,laptop
60da4f9aa1ced7efeecca18a,Walkman,4.2,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,iPod,5.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,wifi,16.4,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,phones,0.0,REPLACE,headphones
5f6c102b6ec04317fc9a8127,Skeeters,1.3,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,tablet,2.4,FOUND,tablet
5f6c102b6ec04317fc9a8127,power,5.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,Banks,0.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,LED displays,4.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,earbuds,0.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,wireless earbuds,0.0,FOUND,wireless earbuds
5f6c102b6ec04317fc9a8127,laptops,7.7,REPLACE,laptop
5f6c102b6ec04317fc9a8127,printers,1.2,REPLACE,3d printer
5f6c102b6ec04317fc9a8127,3D printers,0.0,REPLACE,3d printer
5f6c102b6ec04317fc9a8127,game consoles,1.6,REPLACE,gaming console
5f6c102b6ec04317fc9a8127,cameras,3.90000000000001,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,speakers,10.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,hard drives,7.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,internal hard drives,2.2,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,headphones,3.19999999999999,FOUND,headphones
5f6c102b6ec04317fc9a8127,Chargers,14.1,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,air purifiers,2.89999999999999,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,controllers,18.7,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,security cameras,6.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,smart phone,0.0,REPLACE,smartphone
5c4a428161c51f0001e96b3f,smart watch,0.0,REPLACE,smartwatch
5c4a428161c51f0001e96b3f,smart speaker,0.0,REPLACE,smart scale
5c4a428161c51f0001e96b3f,smart thermostat,0.0,FOUND,smart thermostat
5c4a428161c51f0001e96b3f,headphones,3.1,FOUND,headphones
5c4a428161c51f0001e96b3f,Bluetooth,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,headphones,0.0,FOUND,headphones
5c4a428161c51f0001e96b3f,computers,2.1,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,laptops,0.0,REPLACE,laptop
5c4a428161c51f0001e96b3f,tablets,0.0,REPLACE,tablet
5c4a428161c51f0001e96b3f,TVs,1.5,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,speakers,2.7,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Sound Bars,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Oculus,3.4,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,VR sets,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,headsets,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,smartwatch,6.7,FOUND,smartwatch
5c4a428161c51f0001e96b3f,3D printers,2.7,REPLACE,3d printer
5c4a428161c51f0001e96b3f,iron,2.5,REPLACE,drone
5c4a428161c51f0001e96b3f,oven,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,smart refrigerator,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,iPhone,6.40000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Samsung,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Galaxy,1.4,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,pixel,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,cameras,5.00000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Samsung Galaxy,7.8,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Sony,2.59999999999999,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Asus,2.60000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,laptop,0.0,FOUND,laptop
5c4a428161c51f0001e96b3f,Alienware,1.5,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Chromecast,6.90000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Google home Mini,7.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Nest Thermostat Philips,1.90000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,Smart LED lights,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,electric toothbrush,1.5,FOUND,electric toothbrush
5c4a428161c51f0001e96b3f,electric shaver,0.0,REPLACE,electric scooter
5e7fefe06c12706d47e35211,computer,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,cell phone,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,laptop,0.0,FOUND,laptop
5e7fefe06c12706d47e35211,keyboard,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,GPS,1.2,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,camera,3.5,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,speaker,3.3,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,cables,5.1,REPLACE,tablet
5e7fefe06c12706d47e35211,television,1.1,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,VR glasses,8.1,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,printers,4.2,REPLACE,3d printer
5e7fefe06c12706d47e35211,air purifiers,3.3,EXCLUDE,EXCLUDE
