Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.4035440901139027,0.10822706337957923,5.62614508223966,1.6884727864038025,4.0,simdrop,0,4.0,0.0
5c4a428161c51f0001e96b3f,0.39460931069596644,0.23154329168178334,5.111360767366852,1.3453746625522467,14.0,simdrop,5,2.3333333333333335,0.4714045207910317
5d3cc9010e510a00013df6f6,0.4430678216919401,0.09593554614440893,6.294273350959738,0.5436187318321678,4.0,simdrop,0,4.0,0.0
5e7fefe06c12706d47e35211,0.2918128101768722,0.12176836620509429,5.187129342467963,1.6934880952526807,6.0,simdrop,1,3.0,2.0
5e8a76b3939b3072dc76fb5c,0.3958933800142006,0.03608757501889016,6.088019568559531,0.28073497334772307,4.0,simdrop,0,4.0,0.0
5ed9311e1a69d449577bb8cf,0.3166920347821578,0.09838239501195903,4.995833506289772,1.4735347646311525,7.0,simdrop,1,3.5,1.5
5f6c102b6ec04317fc9a8127,0.3736371229092285,0.2783794341056741,5.139614069691112,1.4753429849640032,8.0,simdrop,1,4.0,1.0
5fc6df58f380620a09116434,0.3361638260302991,0.0014409239964442075,5.591552267796864,1.601289316084957,3.0,simdrop,0,3.0,0.0
60da4f9aa1ced7efeecca18a,0.29217772089702937,0.1164326198799506,6.033956197728603,0.9841928915278532,6.0,simdrop,1,3.0,0.0
60fcf1a04c245326d05076e0,,,4.000997730357794,,1.0,simdrop,0,1.0,0.0
61035836646fb6ee2152f950,0.47774404631794,0.11122995278102638,5.125267886884388,1.942680449517673,6.0,simdrop,1,3.0,0.0
65512e3cc12f463bc327b7c3,0.32590409538828874,0.10401435280456815,4.602063947992827,1.275755222831974,4.0,simdrop,0,4.0,0.0
65778c02cde55736bb830eca,0.3141389166689039,0.29490925049407923,4.126077951136589,1.2943604758732814,5.0,simdrop,1,2.5,1.5
6595e3b4dc9090390e4edb5f,0.30304281469780897,0.09749517758600869,5.1835059932327,1.421065279254824,8.0,simdrop,2,2.6666666666666665,0.9428090415820634
