Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.468099202371822,0.10912609502301661,5.080672809719537,1.4332075302999068,6.0,simdrop,1,3.0,0.0
5c4a428161c51f0001e96b3f,0.31589010455111904,0.0822364482981333,5.20710030866283,0.8644118975796002,7.0,simdrop,1,3.5,1.5
5d3cc9010e510a00013df6f6,0.4058900879886233,0.08728924266829739,5.871473567223096,1.0015417986889097,3.0,simdrop,0,3.0,0.0
5e7fefe06c12706d47e35211,0.37959843828308665,0.11940593872897655,5.392893784503122,1.419459117158601,8.0,simdrop,2,2.6666666666666665,1.247219128924647
5e8a76b3939b3072dc76fb5c,0.3946499446013862,0.0713932794470484,5.097349977479287,0.6364051135768098,3.0,simdrop,0,3.0,0.0
5ed9311e1a69d449577bb8cf,,,6.903124729160828,,1.0,simdrop,0,1.0,0.0
5f6c102b6ec04317fc9a8127,0.43628876187774734,0.05364477579155883,5.506050427700623,1.0967498651050087,5.0,simdrop,1,2.5,1.5
5fc6df58f380620a09116434,0.37850326136491763,0.11740417153269746,5.3926509866526136,1.331050908648198,5.0,simdrop,1,2.5,0.5
60da4f9aa1ced7efeecca18a,0.3786039157220543,,5.786374747776299,0.0309508104376238,2.0,simdrop,0,2.0,0.0
60fcf1a04c245326d05076e0,0.37489998433870175,0.040803115602988334,4.485521139534347,1.633810556189082,4.0,simdrop,0,4.0,0.0
61035836646fb6ee2152f950,0.4444034470474973,0.032823127954693096,5.644381763540767,1.0958392663034706,3.0,simdrop,0,3.0,0.0
65512e3cc12f463bc327b7c3,0.34139408375187424,0.07674566339613989,5.499126039347845,0.5124321391188288,4.0,simdrop,0,4.0,0.0
65778c02cde55736bb830eca,0.5434247791989615,0.1760780948126413,4.9972250474939415,0.5201285218273357,5.0,simdrop,1,2.5,1.5
6595e3b4dc9090390e4edb5f,0.37930363068825673,0.06623206298978541,5.842912816645161,0.9361219730299368,9.0,simdrop,1,4.5,0.5
