Subject,Fluency_Item,IRT,Semantic_Similarity,Frequency_Value
5c1942e200849900010afdcd,us,1.7,0.0001,8.967693416646908
5c1942e200849900010afdcd,america,2.5,0.5824986423135431,8.45179672495894
5c1942e200849900010afdcd,canada,2.9,0.5724573253286304,8.273589737142615
5c1942e200849900010afdcd,mexico,5.7,0.5741086068727961,8.019024555271098
5c1942e200849900010afdcd,haiti,7.4,0.39625197108167043,6.8346871757166525
5c1942e200849900010afdcd,cuba,8.0,0.4448318952174626,7.423112139813253
5c1942e200849900010afdcd,dominican republic,12.3,0.5207826330855854,6.598764032589808
5c1942e200849900010afdcd,brazil,19.2,0.46609091094470845,7.57518875740713
5c1942e200849900010afdcd,argentina,19.9,0.609586774826158,7.274644794518799
5c1942e200849900010afdcd,chile,20.8,0.5429077056627422,7.27945686259455
5c1942e200849900010afdcd,ecuador,22.9,0.5574958738778684,6.855262015990612
5c1942e200849900010afdcd,colombia,23.7,0.5418986636194223,7.128062883389124
5c1942e200849900010afdcd,united kingdom,27.0,0.3198992743279161,7.719683734692657
5c1942e200849900010afdcd,ireland,28.9,0.5325806572496931,7.946118486607993
5c1942e200849900010afdcd,france,29.7,0.545856666571796,8.285608341236559
5c1942e200849900010afdcd,portugal,30.7,0.4688764096488862,7.309334278048032
5c1942e200849900010afdcd,spain,31.7,0.5740630647777873,7.848482791712105
5c1942e200849900010afdcd,germany,35.6,0.5823796034542048,8.187393546998118
5c1942e200849900010afdcd,luxembourg,36.3,0.38800192203447326,6.898044473052785
5c1942e200849900010afdcd,austria,37.1,0.3231447121163902,7.5265005697394285
5c1942e200849900010afdcd,norway,42.7,0.4036056091767477,7.405097684008376
5c1942e200849900010afdcd,sweden,43.4,0.5886940807217695,7.544553339154735
5c1942e200849900010afdcd,finland,43.9,0.6094760845909675,7.243670318051807
5c1942e200849900010afdcd,iceland,46.3,0.4428182999594499,6.887962236161365
5c1942e200849900010afdcd,denmark,47.1,0.4753152269721965,7.393823145336955
5c1942e200849900010afdcd,netherlands,48.6,0.48726083876723947,7.591082947229285
5c1942e200849900010afdcd,belgium,49.8,0.523060904557948,7.46328081440588
5c1942e200849900010afdcd,morocco,52.5,0.45887725385721034,7.103459705582124
5c1942e200849900010afdcd,egypt,53.3,0.41307756546634555,7.722251072948253
5c1942e200849900010afdcd,south africa,55.8,0.421684833301774,7.627766451839133
5c1942e200849900010afdcd,nigeria,56.8,0.4978560681004054,7.284513072784526
5c1942e200849900010afdcd,ethiopia,58.1,0.518096961950588,6.9437345975649984
5c1942e200849900010afdcd,zimbabwe,60.2,0.3948012307686216,6.79036722878586
5c1942e200849900010afdcd,india,67.1,0.41385996522198676,8.290123637060331
5c1942e200849900010afdcd,sri lanka,67.8,0.5235661511048524,6.808825034897272
5c1942e200849900010afdcd,thailand,68.3,0.41922392108111195,7.227743723671298
5c1942e200849900010afdcd,vietnam,69.6,0.579714167426018,7.5193938103469025
5c1942e200849900010afdcd,laos,70.2,0.5813718121163652,6.686935168302564
5c1942e200849900010afdcd,myanmar,73.0,0.5904175084678107,6.304379354838715
5c1942e200849900010afdcd,burma,76.8,0.8906061757316392,7.047206270704036
5c1942e200849900010afdcd,japan,83.3,0.30862539413709733,8.137370400273742
5c1942e200849900010afdcd,china,84.0,0.5731877421991679,8.217304135401733
5c1942e200849900010afdcd,north korea,84.6,0.5226885577114975,6.723450499877287
5c1942e200849900010afdcd,south korea,85.6,0.6148648583305053,6.835830600960497
5c1942e200849900010afdcd,indonesia,91.7,0.4099610392567712,7.278177824973954
5c1942e200849900010afdcd,malaysia,92.5,0.6577448471687689,7.147612860061817
5c1942e200849900010afdcd,papua,93.1,0.4690937550617923,6.696846768418244
5c1942e200849900010afdcd,australia,94.6,0.47966617014132673,7.972595512110607
5c1942e200849900010afdcd,new zealand,95.9,0.645026700526504,7.635987537690202
5c1942e200849900010afdcd,russia,99.8,0.34515023155223534,7.896665935324718
5c1942e200849900010afdcd,ukraine,100.5,0.6284950465648677,6.937968051099544
5c1942e200849900010afdcd,armenia,101.2,0.34977989280886823,6.627927924558627
5c1942e200849900010afdcd,turkey,102.4,0.5211214376344478,7.574019535827655
5c1942e200849900010afdcd,georgia,102.9,0.38314703160552877,7.728036550039479
5c1942e200849900010afdcd,lebanon,104.9,0.31978909196199856,7.139846607512495
5c1942e200849900010afdcd,jordan,105.6,0.21073461332724253,7.41865163556341
5c1942e200849900010afdcd,saudi arabia,108.8,0.33332741823194856,6.909787341758928
5c1942e200849900010afdcd,afghanistan,111.1,0.42971883736485617,7.123134397822093
5c1942e200849900010afdcd,iran,112.1,0.5198046039366206,7.353218184450308
5c1942e200849900010afdcd,nepal,114.6,0.3615089756977372,6.886913927827348
5c4a428161c51f0001e96b3f,us,4.0,0.0001,8.967693416646908
5c4a428161c51f0001e96b3f,mexico,4.9,0.3828858616787807,8.019024555271098
5c4a428161c51f0001e96b3f,spain,8.6,0.5651307475897197,7.848482791712105
5c4a428161c51f0001e96b3f,france,9.7,0.5974177325413074,8.285608341236559
5c4a428161c51f0001e96b3f,germany,10.8,0.5724785104147829,8.187393546998118
5c4a428161c51f0001e96b3f,canada,15.1,0.5013221772824389,8.273589737142615
5c4a428161c51f0001e96b3f,russia,17.1,0.5317523618689425,7.896665935324718
5c4a428161c51f0001e96b3f,guatemala,19.6,0.367336856211835,6.986001320331291
5c4a428161c51f0001e96b3f,belize,20.8,0.5223234823464755,6.410050890729662
5c4a428161c51f0001e96b3f,el salvador,20.9,0.4821077750040963,6.702802371125634
5c4a428161c51f0001e96b3f,honduras,23.8,0.5747039214376884,6.817310270587898
5c4a428161c51f0001e96b3f,nicaragua,25.2,0.5841147651439877,6.956380769697365
5c4a428161c51f0001e96b3f,costa rica,26.5,0.5532158964398954,6.8618792602417304
5c4a428161c51f0001e96b3f,panama,27.4,0.45737390159994695,7.313043198090779
5c4a428161c51f0001e96b3f,colombia,28.7,0.42803778586528074,7.128062883389124
5c4a428161c51f0001e96b3f,venezuela,29.9,0.5103722094325073,7.07781752159393
5c4a428161c51f0001e96b3f,guyana,30.6,0.5185799246246922,6.419778196395157
5c4a428161c51f0001e96b3f,suriname,32.7,0.6045618360733932,5.990657575678401
5c4a428161c51f0001e96b3f,guiana,34.5,0.6404866655490999,6.596240057793534
5c4a428161c51f0001e96b3f,bolivia,37.4,0.5145205229256761,6.874513417416665
5c4a428161c51f0001e96b3f,chile,38.0,0.5669539620198375,7.27945686259455
5c4a428161c51f0001e96b3f,argentina,38.5,0.5429077056627422,7.274644794518799
5c4a428161c51f0001e96b3f,paraguay,39.1,0.6200273641073933,6.678210348667214
5c4a428161c51f0001e96b3f,uruguay,40.5,0.6557312499628005,6.860991831213549
5c4a428161c51f0001e96b3f,china,43.8,0.3063182531220854,8.217304135401733
5c4a428161c51f0001e96b3f,north korea,45.5,0.5226885577114975,6.723450499877287
5c4a428161c51f0001e96b3f,south korea,47.2,0.6148648583305053,6.835830600960497
5c4a428161c51f0001e96b3f,japan,47.7,0.5335657913355945,8.137370400273742
5c4a428161c51f0001e96b3f,taiwan,51.0,0.5054193592816775,7.319497601799266
5c4a428161c51f0001e96b3f,philippines,52.7,0.46043972347537365,7.413817908576385
5c4a428161c51f0001e96b3f,indonesia,53.8,0.5609528162069658,7.278177824973954
5c4a428161c51f0001e96b3f,singapore,56.8,0.535254319545241,7.398769222785802
5c4a428161c51f0001e96b3f,malaysia,57.8,0.7155193889363684,7.147612860061817
5c4a428161c51f0001e96b3f,vietnam,58.6,0.3746615098098839,7.5193938103469025
5c4a428161c51f0001e96b3f,cambodia,59.5,0.5768912785748049,6.8172592724971315
5c4a428161c51f0001e96b3f,thailand,60.6,0.6105151560647205,7.227743723671298
5c4a428161c51f0001e96b3f,laos,62.4,0.599303995398148,6.686935168302564
5c4a428161c51f0001e96b3f,myanmar,67.1,0.5904175084678107,6.304379354838715
5c4a428161c51f0001e96b3f,bhutan,69.1,0.5541694454504069,6.191648833300569
5c4a428161c51f0001e96b3f,bangladesh,71.1,0.4391849111534436,6.9345183980320435
5c4a428161c51f0001e96b3f,nepal,72.7,0.39383254613830365,6.886913927827348
5c4a428161c51f0001e96b3f,india,73.5,0.4885327466861873,8.290123637060331
5c4a428161c51f0001e96b3f,pakistan,74.5,0.6363515497582015,7.5225373685999
5c4a428161c51f0001e96b3f,tajikistan,75.8,0.46795307998397284,6.066712703871879
5c4a428161c51f0001e96b3f,kyrgyzstan,77.7,0.7275458996920842,5.917240230588678
5c4a428161c51f0001e96b3f,pakistan,79.3,0.47473885089926204,7.5225373685999
5c4a428161c51f0001e96b3f,turkmenistan,80.0,0.41576074401411933,5.997464585316316
5c4a428161c51f0001e96b3f,afghanistan,80.9,0.40251548464463216,7.123134397822093
5c4a428161c51f0001e96b3f,iran,82.6,0.5198046039366206,7.353218184450308
5c4a428161c51f0001e96b3f,kazakhstan,82.8,0.3767171722898244,6.446314060106358
5c4a428161c51f0001e96b3f,iraq,85.5,0.35197754661680714,7.353347604011685
5c4a428161c51f0001e96b3f,kuwait,86.2,0.5588369601545259,6.834468327214806
5c4a428161c51f0001e96b3f,qatar,90.8,0.5500441566807646,6.31484412668801
5c4a428161c51f0001e96b3f,emirates,93.3,0.5613516990709473,6.280353881352471
5c4a428161c51f0001e96b3f,oman,94.2,0.36000123119758,6.523303104172999
5c4a428161c51f0001e96b3f,yemen,95.0,0.6425965988672517,6.612612329493728
5c4a428161c51f0001e96b3f,saudi arabia,96.5,0.5625975287098226,6.909787341758928
5c4a428161c51f0001e96b3f,jordan,97.6,0.33332741823194856,7.41865163556341
5c4a428161c51f0001e96b3f,israel,99.5,0.37844317703549313,7.899599612440994
5c4a428161c51f0001e96b3f,palestine,102.4,0.6767139710206881,7.27481491538559
5c4a428161c51f0001e96b3f,egypt,106.7,0.3682054923240221,7.722251072948253
5c4a428161c51f0001e96b3f,cyprus,107.9,0.3659154257561882,7.003994239761043
5c4a428161c51f0001e96b3f,turkey,109.0,0.4909741790903589,7.574019535827655
5c4a428161c51f0001e96b3f,greece,109.7,0.5144112989696416,7.542505125578001
5c4a428161c51f0001e96b3f,bulgaria,111.2,0.4670438862717686,7.0019671914632475
5c4a428161c51f0001e96b3f,romania,112.3,0.4873594838038374,6.896899561247143
5c4a428161c51f0001e96b3f,moldova,113.5,0.5440345655732111,6.090617405500102
5c4a428161c51f0001e96b3f,ukraine,115.8,0.4595755225275828,6.937968051099544
5c4a428161c51f0001e96b3f,belarus,116.7,0.5082308939138468,6.246663010386444
5c4a428161c51f0001e96b3f,lithuania,117.8,0.6809902828736079,6.677328951789303
5c4a428161c51f0001e96b3f,latvia,118.6,0.61759428439304,6.523742956033598
5d3cc9010e510a00013df6f6,canada,7.6,0.0001,8.273589737142615
5d3cc9010e510a00013df6f6,mexico,11.3,0.5741086068727961,8.019024555271098
5d3cc9010e510a00013df6f6,panama,17.3,0.3908852405676513,7.313043198090779
5d3cc9010e510a00013df6f6,costa rica,19.6,0.45737390159994695,6.8618792602417304
5d3cc9010e510a00013df6f6,peru,24.9,0.3978495423075361,7.262624179727242
5d3cc9010e510a00013df6f6,brazil,30.9,0.5014040398918199,7.57518875740713
5d3cc9010e510a00013df6f6,russia,46.1,0.5008407312318551,7.896665935324718
5d3cc9010e510a00013df6f6,china,48.7,0.5169981090171187,8.217304135401733
5d3cc9010e510a00013df6f6,japan,51.2,0.5731877421991679,8.137370400273742
5d3cc9010e510a00013df6f6,north korea,53.6,0.39442125896027447,6.723450499877287
5d3cc9010e510a00013df6f6,south korea,55.8,0.6148648583305053,6.835830600960497
5d3cc9010e510a00013df6f6,india,59.2,0.4349022730378457,8.290123637060331
5d3cc9010e510a00013df6f6,south africa,62.7,0.5624095294620274,7.627766451839133
5d3cc9010e510a00013df6f6,nigeria,66.0,0.4978560681004054,7.284513072784526
5d3cc9010e510a00013df6f6,tonga,70.5,0.3814676240101087,6.300680899779711
5d3cc9010e510a00013df6f6,somalia,72.2,0.3503190055378942,6.565548429957589
5d3cc9010e510a00013df6f6,ireland,79.2,0.4021003222823808,7.946118486607993
5d3cc9010e510a00013df6f6,england,80.1,0.641082421783818,8.442730446109097
