SID,entry,timepoint
61035836646fb6ee2152f950,rose,6.8
61035836646fb6ee2152f950,iris,8.3
61035836646fb6ee2152f950,tulip,9.5
61035836646fb6ee2152f950,peony,13.3
61035836646fb6ee2152f950,daffodil,21.2
61035836646fb6ee2152f950,sunflower,22.1
61035836646fb6ee2152f950,asters,30.9
61035836646fb6ee2152f950,petunia,49.2
61035836646fb6ee2152f950,baby's breath,81.9
61035836646fb6ee2152f950,lavender,114.5
5e8a76b3939b3072dc76fb5c,daisy,1.5
5e8a76b3939b3072dc76fb5c,iris,2.9
5e8a76b3939b3072dc76fb5c,tulip,3.9
5e8a76b3939b3072dc76fb5c,sunflower,7.0
5e8a76b3939b3072dc76fb5c,catmint,16.0
5e8a76b3939b3072dc76fb5c,rose,28.4
5e8a76b3939b3072dc76fb5c,violet,32.7
5e8a76b3939b3072dc76fb5c,clover,57.2
5c1942e200849900010afdcd,rose,1.1
5c1942e200849900010afdcd,violet,2.7
5c1942e200849900010afdcd,sunflower,3.6
5c1942e200849900010afdcd,daffodil,4.9
5c1942e200849900010afdcd,tiger lily,5.6
5c1942e200849900010afdcd,water lily,6.5
5c1942e200849900010afdcd,blanket flower,12.3
5c1942e200849900010afdcd,morning glory,18.9
5c1942e200849900010afdcd,canna lily,21.8
5c1942e200849900010afdcd,tulip,39.4
5c1942e200849900010afdcd,chrysanthemum,51.1
5c1942e200849900010afdcd,magnolia,67.4
5c4a428161c51f0001e96b3f,iris,1.9
5c4a428161c51f0001e96b3f,tulip,2.5
5c4a428161c51f0001e96b3f,rose,4.4
5c4a428161c51f0001e96b3f,lavender,17.0
5c4a428161c51f0001e96b3f,sunflower,18.9
5c4a428161c51f0001e96b3f,bluebell,57.1
5c4a428161c51f0001e96b3f,windflower,66.6
5c4a428161c51f0001e96b3f,daffodil,77.0
60fcf1a04c245326d05076e0,daffodil,0.7
60fcf1a04c245326d05076e0,daisy,2.6
60fcf1a04c245326d05076e0,sunflower,3.6
60fcf1a04c245326d05076e0,rose,14.2
60fcf1a04c245326d05076e0,lily,15.2
60fcf1a04c245326d05076e0,chrysanthemum,27.3
60fcf1a04c245326d05076e0,water lily,39.9
60fcf1a04c245326d05076e0,baby's breath,71.3
