SID,entry,timepoint,evaluation,replacement
65778c02cde55736bb830eca,Sushi,0.9,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,pizza,2.7,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,apples,3.5,REPLACE,apple
65778c02cde55736bb830eca,bananas,5.6,REPLACE,banana
65778c02cde55736bb830eca,hot wings,7.9,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,chicken,12.7,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,burrito,13.8,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,tacos,16.9,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,enchiladas,18.1,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,popcorn,19.3,REPLACE,corn
65778c02cde55736bb830eca,sausage,25.2,REPLACE,sage
65778c02cde55736bb830eca,pancakes,26.3,REPLACE,pancake
65778c02cde55736bb830eca,eggs,27.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,tomatoes,27.7,REPLACE,tomato
65778c02cde55736bb830eca,bread,31.3,FOUND,bread
65778c02cde55736bb830eca,butter,32.0,FOUND,butter
65778c02cde55736bb830eca,soup,36.2,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,rice,36.9,REPLACE,brioche
65778c02cde55736bb830eca,cereal,38.6,REPLACE,cream
65778c02cde55736bb830eca,beans,41.3,REPLACE,peas
65778c02cde55736bb830eca,pudding,48.1,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,oatmeal,48.9,REPLACE,oat milk
65778c02cde55736bb830eca,pastry,54.5,REPLACE,parsley
65778c02cde55736bb830eca,waffles,60.4,REPLACE,waffle
65778c02cde55736bb830eca,pasta,66.3,REPLACE,peas
65778c02cde55736bb830eca,and,67.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,meatballs,67.6,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,baguette,72.1,FOUND,baguette
65778c02cde55736bb830eca,grapes,75.1,FOUND,grapes
65778c02cde55736bb830eca,pie,76.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,cake,77.8,REPLACE,pancake
65778c02cde55736bb830eca,Ramen,85.1,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,pork,89.0,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,bacon,90.9,REPLACE,corn
65778c02cde55736bb830eca,ribs,93.9,REPLACE,radish
65778c02cde55736bb830eca,french fries,94.8,FOUND,french fries
65778c02cde55736bb830eca,baked potato,97.4,FOUND,baked potato
65778c02cde55736bb830eca,mushrooms,101.0,REPLACE,mushroom
65778c02cde55736bb830eca,onions,102.1,REPLACE,onion
65778c02cde55736bb830eca,sandwich,105.8,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,falafel,111.2,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,gyros,114.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,salad,115.1,REPLACE,ham salad
5fc6df58f380620a09116434,banana,0.7,FOUND,banana
