SID,entry,timepoint
65778c02cde55736bb830eca,apple,3.5
65778c02cde55736bb830eca,banana,5.6
65778c02cde55736bb830eca,corn,19.3
65778c02cde55736bb830eca,sage,25.2
65778c02cde55736bb830eca,pancake,26.3
65778c02cde55736bb830eca,tomato,27.7
65778c02cde55736bb830eca,bread,31.3
65778c02cde55736bb830eca,butter,32.0
65778c02cde55736bb830eca,brioche,36.9
65778c02cde55736bb830eca,cream,38.6
65778c02cde55736bb830eca,peas,41.3
65778c02cde55736bb830eca,oat milk,48.9
65778c02cde55736bb830eca,parsley,54.5
65778c02cde55736bb830eca,waffle,60.4
65778c02cde55736bb830eca,peas,66.3
65778c02cde55736bb830eca,baguette,72.1
65778c02cde55736bb830eca,grapes,75.1
65778c02cde55736bb830eca,pancake,77.8
65778c02cde55736bb830eca,corn,90.9
65778c02cde55736bb830eca,radish,93.9
65778c02cde55736bb830eca,french fries,94.8
65778c02cde55736bb830eca,baked potato,97.4
65778c02cde55736bb830eca,mushroom,101.0
65778c02cde55736bb830eca,onion,102.1
65778c02cde55736bb830eca,ham salad,115.1
5fc6df58f380620a09116434,banana,0.7
5fc6df58f380620a09116434,bread,2.4
5fc6df58f380620a09116434,apple,3.3
5fc6df58f380620a09116434,artichoke,4.2
5fc6df58f380620a09116434,cucumber,6.2
5fc6df58f380620a09116434,carrot,7.5
5fc6df58f380620a09116434,radish,10.4
5fc6df58f380620a09116434,radish,14.0
5fc6df58f380620a09116434,french fries,14.7
5fc6df58f380620a09116434,seafood,16.3
5fc6df58f380620a09116434,banana,21.5
5fc6df58f380620a09116434,blueberry,23.3
5fc6df58f380620a09116434,blackberry,24.3
5fc6df58f380620a09116434,raspberry,24.5
5fc6df58f380620a09116434,strawberry,25.7
5fc6df58f380620a09116434,eggplant,26.7
5fc6df58f380620a09116434,peas,30.6
5fc6df58f380620a09116434,marjoram,31.3
5fc6df58f380620a09116434,sage,31.7
5fc6df58f380620a09116434,peas,32.5
5fc6df58f380620a09116434,brioche,33.2
5fc6df58f380620a09116434,tomato,35.9
5fc6df58f380620a09116434,tomato,44.9
5fc6df58f380620a09116434,lettuce,46.1
5fc6df58f380620a09116434,pancake,46.6
5fc6df58f380620a09116434,onion,47.4
5fc6df58f380620a09116434,waffle,58.5
5fc6df58f380620a09116434,pancake,59.2
5fc6df58f380620a09116434,orange,60.1
5fc6df58f380620a09116434,grapes,61.2
5fc6df58f380620a09116434,strawberry,63.1
5fc6df58f380620a09116434,watermelon,69.2
5fc6df58f380620a09116434,kale,71.1
5fc6df58f380620a09116434,spinach,72.9
5fc6df58f380620a09116434,sweet potato,73.3
5fc6df58f380620a09116434,potato,75.9
5fc6df58f380620a09116434,bell pepper,76.3
5fc6df58f380620a09116434,broccoli,82.4
5fc6df58f380620a09116434,squash,83.2
