Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.4138904192706574,0.19884923707750163,6.463602661614987,1.455516498404625,10.0,simdrop,1,5.0,1.0
5c4a428161c51f0001e96b3f,0.5191015953396102,0.18941184836026734,6.356668999623032,1.7020677113502327,14.0,simdrop,2,4.666666666666667,1.247219128924647
5d3cc9010e510a00013df6f6,0.45104102836326576,0.12586497922334097,5.439141194988272,1.5647461830725164,10.0,simdrop,3,2.5,1.5
5e7fefe06c12706d47e35211,0.3178870981452106,0.16641906549397267,5.355936113798913,1.9760027150866764,11.0,simdrop,3,2.75,1.0897247358851685
5e8a76b3939b3072dc76fb5c,0.4453174850148421,0.09200959835086721,7.164525023596842,1.5617974517716342,7.0,simdrop,1,3.5,0.5
5ed9311e1a69d449577bb8cf,0.45615023794780424,0.1660846413344294,6.243338444068438,1.2293255323270875,9.0,simdrop,3,2.25,0.82915619758885
5f6c102b6ec04317fc9a8127,0.41878850996212913,0.08924031367312628,6.792231593961221,1.2831173265284492,15.0,simdrop,4,3.0,1.4142135623730951
5fc6df58f380620a09116434,0.48347676511441734,0.20596153608354506,6.2444573437149105,1.4075215803348278,22.0,simdrop,7,2.75,0.82915619758885
60da4f9aa1ced7efeecca18a,0.4395853497922658,0.12620486932692743,5.928304986293537,1.5326817313777497,14.0,simdrop,1,7.0,3.0
60fcf1a04c245326d05076e0,0.43785709756285746,0.11471677101468318,5.866973723577779,1.2864943776915723,18.0,simdrop,5,3.0,1.1547005383792515
61035836646fb6ee2152f950,0.4535675378992327,0.11941092738269943,6.306579759131028,1.1092939122633376,17.0,simdrop,4,3.4,1.019803902718557
65512e3cc12f463bc327b7c3,0.3695734466478095,0.08569677348532127,6.774153447279636,1.3328047261522507,16.0,simdrop,4,3.2,1.7204650534085253
65778c02cde55736bb830eca,0.42976161231739063,0.1180630393296007,5.366023763469234,1.029309276245116,13.0,simdrop,4,2.6,1.019803902718557
6595e3b4dc9090390e4edb5f,0.4304465605620795,0.13805939689455915,6.055991477320786,1.2976092996537487,20.0,simdrop,5,3.3333333333333335,1.1055415967851334
