SID,entry,evaluation,replacement
65d54b3b524fcafb543d1b23,Christmas,REPLACE,christmas
65d54b3b524fcafb543d1b23,New Year's,REPLACE,new year's
65d54b3b524fcafb543d1b23,Ramadan,REPLACE,ramadan
65d54b3b524fcafb543d1b23,Easter,REPLACE,easter
65d54b3b524fcafb543d1b23,Resurrection Day,REPLACE,resurrection day
65d54b3b524fcafb543d1b23,Halloween,REPLACE,halloween
65d54b3b524fcafb543d1b23,Thanksgiving,REPLACE,thanksgiving
65d54b3b524fcafb543d1b23,Martin Luther King's day,REPLACE,martin luther king's day
65d54b3b524fcafb543d1b23,Labor Day,REPLACE,labor day
65d54b3b524fcafb543d1b23,Valentine's Day,REPLACE,valentine's day
65d54b3b524fcafb543d1b23,Saint Patrick's Day,REPLACE,saint patrick's day
65d54b3b524fcafb543d1b23,April Fool's Day,REPLACE,april fool's day
65d54b3b524fcafb543d1b23,Memorial Day,REPLACE,memorial day
65d54b3b524fcafb543d1b23,4th of July,REPLACE,4th of july
65d54b3b524fcafb543d1b23,anniversaries,FOUND,anniversaries
65d54b3b524fcafb543d1b23,Columbus Day,REPLACE,columbus day
65b15afd94153c1f50c92493,Valentine's Day,REPLACE,valentine's day
65b15afd94153c1f50c92493,Saint Patrick's Day,REPLACE,saint patrick's day
65b15afd94153c1f50c92493,Easter,REPLACE,easter
65b15afd94153c1f50c92493,Fourth of July,REPLACE,fourth of july
65b15afd94153c1f50c92493,Independence Day,REPLACE,independence day
65b15afd94153c1f50c92493,President's Day,REPLACE,president's day
65b15afd94153c1f50c92493,Christmas,REPLACE,christmas
65b15afd94153c1f50c92493,Halloween,REPLACE,halloween
65b15afd94153c1f50c92493,New Year's,REPLACE,new year's
65b15afd94153c1f50c92493,Saint Patrick's Day,REPLACE,saint patrick's day
65b15afd94153c1f50c92493,Hanukkah,REPLACE,hanukkah
65b15afd94153c1f50c92493,Labor Day,REPLACE,labor day
65b15afd94153c1f50c92493,Thanksgiving,REPLACE,thanksgiving
65b15afd94153c1f50c92493,spring break,FOUND,spring break
65b15afd94153c1f50c92493,Presidents Day,REPLACE,presidents day
65c25cf77dca9d7ca7d9ebdb,hanukkah,FOUND,hanukkah
65c25cf77dca9d7ca7d9ebdb,Christmas,REPLACE,christmas
65c25cf77dca9d7ca7d9ebdb,Valentine's Day,REPLACE,valentine's day
65c25cf77dca9d7ca7d9ebdb,Easter,REPLACE,easter
65c25cf77dca9d7ca7d9ebdb,Halloween,REPLACE,halloween
65c25cf77dca9d7ca7d9ebdb,Veterans Day,REPLACE,veterans day
65c25cf77dca9d7ca7d9ebdb,women's day,FOUND,women's day
65c25cf77dca9d7ca7d9ebdb,Mother's Day,REPLACE,mother's day
65c25cf77dca9d7ca7d9ebdb,Father's day,REPLACE,father's day
65c25cf77dca9d7ca7d9ebdb,Chinese New Year,REPLACE,chinese new year
65c25cf77dca9d7ca7d9ebdb,New Year,REPLACE,new year
65c25cf77dca9d7ca7d9ebdb,New Year's Eve,REPLACE,new year's eve
65c25cf77dca9d7ca7d9ebdb,Christmas Eve,REPLACE,christmas eve
65c25cf77dca9d7ca7d9ebdb,Thanksgiving,REPLACE,thanksgiving
65c25cf77dca9d7ca7d9ebdb,spring break,FOUND,spring break
65c25cf77dca9d7ca7d9ebdb,Saint Patrick's Day,REPLACE,saint patrick's day
65c25cf77dca9d7ca7d9ebdb,Fourth of July,REPLACE,fourth of july
65c25cf77dca9d7ca7d9ebdb,Cinco de Mayo,REPLACE,cinco de mayo
60a48adfe091e410f4eaba34,Christmas,REPLACE,christmas
60a48adfe091e410f4eaba34,New Year's,REPLACE,new year's
60a48adfe091e410f4eaba34,Easter,REPLACE,easter
60a48adfe091e410f4eaba34,Fourth of July,REPLACE,fourth of july
60a48adfe091e410f4eaba34,Thanksgiving,REPLACE,thanksgiving
60a48adfe091e410f4eaba34,Halloween,REPLACE,halloween
60a48adfe091e410f4eaba34,Martin Luther King Day,REPLACE,martin luther king day
60a48adfe091e410f4eaba34,Christopher Columbus Day,REPLACE,christopher columbus day
60a48adfe091e410f4eaba34,Veterans Day,REPLACE,veterans day
60a48adfe091e410f4eaba34,Black Friday,REPLACE,black friday
60a48adfe091e410f4eaba34,Valentine's Day,REPLACE,valentine's day
63e802622f8052bd67d6c5f0,Easter,REPLACE,easter
63e802622f8052bd67d6c5f0,Halloween,REPLACE,halloween
63e802622f8052bd67d6c5f0,Hanukkah,REPLACE,hanukkah
63e802622f8052bd67d6c5f0,Thanksgiving,REPLACE,thanksgiving
63e802622f8052bd67d6c5f0,Presidents Day,REPLACE,presidents day
65e358d9c5e3ee026268b2a7,New Year's,REPLACE,new year's
65e358d9c5e3ee026268b2a7,Valentine's Day,REPLACE,valentine's day
65e358d9c5e3ee026268b2a7,St Patrick's day,REPLACE,st patrick's day
65e358d9c5e3ee026268b2a7,Easter,REPLACE,easter
65e358d9c5e3ee026268b2a7,Memorial Day ,REPLACE,memorial day 
65e358d9c5e3ee026268b2a7,Veterans Day,REPLACE,veterans day
65e358d9c5e3ee026268b2a7,Fourth of July,REPLACE,fourth of july
65e358d9c5e3ee026268b2a7,mlk.day,FOUND,mlk.day
65e358d9c5e3ee026268b2a7,Thanksgiving,REPLACE,thanksgiving
65e358d9c5e3ee026268b2a7,Halloween,REPLACE,halloween
65e358d9c5e3ee026268b2a7,Christmas,REPLACE,christmas
65e358d9c5e3ee026268b2a7,the Chinese New Year,REPLACE,the chinese new year
65e358d9c5e3ee026268b2a7,Labor Day,REPLACE,labor day
65e358d9c5e3ee026268b2a7,Columbus Day,REPLACE,columbus day
65e358d9c5e3ee026268b2a7,Juneteenth,REPLACE,juneteenth
65e358d9c5e3ee026268b2a7,President's Day,REPLACE,president's day
65e358d9c5e3ee026268b2a7,Presidents Day,REPLACE,presidents day
65e862f844f1b7a803bb3c5a,Christmas,REPLACE,christmas
65e862f844f1b7a803bb3c5a,New Year,REPLACE,new year
65e862f844f1b7a803bb3c5a,Veterans Day,REPLACE,veterans day
65e862f844f1b7a803bb3c5a,Thansgiving day,REPLACE,thansgiving day
65e862f844f1b7a803bb3c5a,Independence Day,REPLACE,independence day
65e862f844f1b7a803bb3c5a,Labor day,REPLACE,labor day
65e862f844f1b7a803bb3c5a,Memorial Day,REPLACE,memorial day
65e862f844f1b7a803bb3c5a,veteran's day,FOUND,veteran's day
65e862f844f1b7a803bb3c5a,Columbus Day,REPLACE,columbus day
65e862f844f1b7a803bb3c5a,Memorial Day,REPLACE,memorial day
65e862f844f1b7a803bb3c5a,Martin Luther King Day,REPLACE,martin luther king day
65e862f844f1b7a803bb3c5a,Juneteenth,REPLACE,juneteenth
65e862f844f1b7a803bb3c5a,democracy day,FOUND,democracy day
65e862f844f1b7a803bb3c5a,Easter day,REPLACE,easter day
65e862f844f1b7a803bb3c5a,Inauguration Day,REPLACE,inauguration day
65cc19b4b3d48a22dfc6756d,Christmas,REPLACE,christmas
65cc19b4b3d48a22dfc6756d,New Year's,REPLACE,new year's
65cc19b4b3d48a22dfc6756d,Valentine's Day,REPLACE,valentine's day
65cc19b4b3d48a22dfc6756d,St. Partrick's day,REPLACE,st. partrick's day
65cc19b4b3d48a22dfc6756d,presidents day,FOUND,presidents day
65cc19b4b3d48a22dfc6756d,Labor Day,REPLACE,labor day
65cc19b4b3d48a22dfc6756d,Mother's Day,REPLACE,mother's day
65cc19b4b3d48a22dfc6756d,Father's Day,REPLACE,father's day
65cc19b4b3d48a22dfc6756d,4th of July,REPLACE,4th of july
65cc19b4b3d48a22dfc6756d,Martin Luther King Day,REPLACE,martin luther king day
65cc19b4b3d48a22dfc6756d,Thanksgiving,REPLACE,thanksgiving
65cc19b4b3d48a22dfc6756d,Halloween,REPLACE,halloween
65cc19b4b3d48a22dfc6756d,Easter,REPLACE,easter
65cc19b4b3d48a22dfc6756d,April Fool's,REPLACE,april fool's
65cc19b4b3d48a22dfc6756d,Hanukkah,REPLACE,hanukkah
65cb63e160bb47fbf9349269,New Year's Day,REPLACE,new year's day
65cb63e160bb47fbf9349269,Martin Luther King Day,REPLACE,martin luther king day
65cb63e160bb47fbf9349269,Presidents Day,REPLACE,presidents day
65cb63e160bb47fbf9349269,Valentine's Day,REPLACE,valentine's day
65cb63e160bb47fbf9349269,St patrick's day,REPLACE,st patrick's day
65cb63e160bb47fbf9349269,Easter,REPLACE,easter
65cb63e160bb47fbf9349269,Ramadan,REPLACE,ramadan
65cb63e160bb47fbf9349269,Mother's Day,REPLACE,mother's day
65cb63e160bb47fbf9349269,Father's Day,REPLACE,father's day
65cb63e160bb47fbf9349269,Memorial Day,REPLACE,memorial day
65cb63e160bb47fbf9349269,4th of July,REPLACE,4th of july
65cb63e160bb47fbf9349269,Independence Day,REPLACE,independence day
65cb63e160bb47fbf9349269,Labor Day,REPLACE,labor day
65cb63e160bb47fbf9349269,Halloween,REPLACE,halloween
65cb63e160bb47fbf9349269,Veterans Day,REPLACE,veterans day
65cb63e160bb47fbf9349269,indigenous peoples day,FOUND,indigenous peoples day
65cb63e160bb47fbf9349269,Thanksgiving Day,REPLACE,thanksgiving day
65cb63e160bb47fbf9349269,Black Friday,REPLACE,black friday
65cb63e160bb47fbf9349269,Christmas,REPLACE,christmas
65cb63e160bb47fbf9349269,Hanukkah,REPLACE,hanukkah
65cb63e160bb47fbf9349269,Kwanzaa,REPLACE,kwanzaa
65cb63e160bb47fbf9349269,Yom Kippur,REPLACE,yom kippur
65cb63e160bb47fbf9349269,Rosh Hashanah,REPLACE,rosh hashanah
65cb63e160bb47fbf9349269,Parents Day,REPLACE,parents day
65cb63e160bb47fbf9349269,Children's Day,REPLACE,children's day
65cb63e160bb47fbf9349269,bank holiday,FOUND,bank holiday
65cb63e160bb47fbf9349269,the Queen's Jubilee Day,REPLACE,the queen's jubilee day
65cb63e160bb47fbf9349269,Three Kings Day,REPLACE,three kings day
65e1f75ab3efd22e847cfbf0,New Year,REPLACE,new year
65e1f75ab3efd22e847cfbf0,Valentines day,REPLACE,valentines day
65e1f75ab3efd22e847cfbf0,Saint Patrick's Day,REPLACE,saint patrick's day
65e1f75ab3efd22e847cfbf0,Easter,REPLACE,easter
65e1f75ab3efd22e847cfbf0,Mother's Day,REPLACE,mother's day
65e1f75ab3efd22e847cfbf0,Father's Day,REPLACE,father's day
65e1f75ab3efd22e847cfbf0,Independence Day,REPLACE,independence day
65e1f75ab3efd22e847cfbf0,Labor Day,REPLACE,labor day
65e1f75ab3efd22e847cfbf0,Halloween,REPLACE,halloween
65e1f75ab3efd22e847cfbf0,Christmas,REPLACE,christmas
65e1f75ab3efd22e847cfbf0,Hanukkah,REPLACE,hanukkah
65e1f75ab3efd22e847cfbf0,Kwanzaa,REPLACE,kwanzaa
65e1f75ab3efd22e847cfbf0,Ramadan,REPLACE,ramadan
65e1f75ab3efd22e847cfbf0,Chinese New Year,REPLACE,chinese new year
65e1f75ab3efd22e847cfbf0,July 4th,REPLACE,july 4th
65e1f75ab3efd22e847cfbf0,Fourth of July,REPLACE,fourth of july
5d7ff4aa50fda7001a863736,Christmas,REPLACE,christmas
5d7ff4aa50fda7001a863736,Halloween,REPLACE,halloween
5d7ff4aa50fda7001a863736,Thanksgiving,REPLACE,thanksgiving
5d7ff4aa50fda7001a863736,St patricks.day,REPLACE,st patricks.day
5d7ff4aa50fda7001a863736,Valentine's Day,REPLACE,valentine's day
5d7ff4aa50fda7001a863736,New Year,REPLACE,new year
5d7ff4aa50fda7001a863736,Fourth of July,REPLACE,fourth of july
5d7ff4aa50fda7001a863736,Dia de los muertos,REPLACE,dia de los muertos
5d7ff4aa50fda7001a863736,Day of the Dead,REPLACE,day of the dead
5d7ff4aa50fda7001a863736,Cinco de Mayo,REPLACE,cinco de mayo
5d7ff4aa50fda7001a863736,Easter,REPLACE,easter
5d7ff4aa50fda7001a863736,Labor Day,REPLACE,labor day
5d7ff4aa50fda7001a863736,Mother's Day,REPLACE,mother's day
5d7ff4aa50fda7001a863736,Father's Day,REPLACE,father's day
5d7ff4aa50fda7001a863736,Presidents Day,REPLACE,presidents day
5d7ff4aa50fda7001a863736,Veterans Day,REPLACE,veterans day
