Subject,Fluency_Item,Switch_Value,Switch_Method
5d7ff4aa50fda7001a863736,christmas,2,simdrop
5d7ff4aa50fda7001a863736,halloween,0,simdrop
5d7ff4aa50fda7001a863736,thanksgiving,0,simdrop
5d7ff4aa50fda7001a863736,st patricks.day,1,simdrop
5d7ff4aa50fda7001a863736,valentine's day,0,simdrop
5d7ff4aa50fda7001a863736,new year,0,simdrop
5d7ff4aa50fda7001a863736,fourth of july,0,simdrop
5d7ff4aa50fda7001a863736,dia de los muertos,1,simdrop
5d7ff4aa50fda7001a863736,day of the dead,0,simdrop
5d7ff4aa50fda7001a863736,cinco de mayo,0,simdrop
5d7ff4aa50fda7001a863736,easter,1,simdrop
5d7ff4aa50fda7001a863736,labor day,0,simdrop
5d7ff4aa50fda7001a863736,mother's day,0,simdrop
5d7ff4aa50fda7001a863736,father's day,0,simdrop
5d7ff4aa50fda7001a863736,presidents day,1,simdrop
5d7ff4aa50fda7001a863736,veterans day,0,simdrop
5d7ff4aa50fda7001a863736,april fools,0,simdrop
5d7ff4aa50fda7001a863736,memorial day,1,simdrop
5d7ff4aa50fda7001a863736,juneteenth,0,simdrop
5d7ff4aa50fda7001a863736,independence day,2,simdrop
5f5aa60bef062519ff711fe6,ramadan,2,simdrop
5f5aa60bef062519ff711fe6,christmas,0,simdrop
5f5aa60bef062519ff711fe6,halloween,0,simdrop
5f5aa60bef062519ff711fe6,easter,0,simdrop
5f5aa60bef062519ff711fe6,hanukkah,0,simdrop
5f5aa60bef062519ff711fe6,valentine's day,0,simdrop
5f5aa60bef062519ff711fe6,martin luther king day,0,simdrop
5f5aa60bef062519ff711fe6,christopher,1,simdrop
5f5aa60bef062519ff711fe6,columbus day,0,simdrop
5f5aa60bef062519ff711fe6,presidents day,0,simdrop
5f5aa60bef062519ff711fe6,father's day,1,simdrop
5f5aa60bef062519ff711fe6,mother's day,0,simdrop
5f5aa60bef062519ff711fe6,thanksgiving,0,simdrop
5f5aa60bef062519ff711fe6,april fools,0,simdrop
5f5aa60bef062519ff711fe6,independence day,1,simdrop
5f5aa60bef062519ff711fe6,fourth of july,2,simdrop
60a48adfe091e410f4eaba34,christmas,2,simdrop
60a48adfe091e410f4eaba34,new year's,0,simdrop
60a48adfe091e410f4eaba34,easter,0,simdrop
60a48adfe091e410f4eaba34,fourth of july,1,simdrop
60a48adfe091e410f4eaba34,thanksgiving,0,simdrop
60a48adfe091e410f4eaba34,halloween,0,simdrop
60a48adfe091e410f4eaba34,martin luther king day,1,simdrop
60a48adfe091e410f4eaba34,christopher columbus day,0,simdrop
60a48adfe091e410f4eaba34,veterans day,0,simdrop
60a48adfe091e410f4eaba34,black friday,1,simdrop
60a48adfe091e410f4eaba34,valentine's day,2,simdrop
60d731567049e5132e3cc4d4,valentine's day,2,simdrop
60d731567049e5132e3cc4d4,st patrick's day,0,simdrop
60d731567049e5132e3cc4d4,easter,0,simdrop
60d731567049e5132e3cc4d4,memorial day,1,simdrop
60d731567049e5132e3cc4d4,labor day,0,simdrop
60d731567049e5132e3cc4d4,4th of july,0,simdrop
60d731567049e5132e3cc4d4,halloween,1,simdrop
60d731567049e5132e3cc4d4,thanksgiving,0,simdrop
60d731567049e5132e3cc4d4,christmas,0,simdrop
60d731567049e5132e3cc4d4,new year's,0,simdrop
60d731567049e5132e3cc4d4,flag day,1,simdrop
60d731567049e5132e3cc4d4,presidents day,0,simdrop
60d731567049e5132e3cc4d4,earth day,0,simdrop
60d731567049e5132e3cc4d4,juneteenth,1,simdrop
60d731567049e5132e3cc4d4,president's day,0,simdrop
60d731567049e5132e3cc4d4,indigenous peoples day,0,simdrop
60d731567049e5132e3cc4d4,kwanzaa,0,simdrop
60d731567049e5132e3cc4d4,ramadan,1,simdrop
60d731567049e5132e3cc4d4,hanukkah,0,simdrop
60d731567049e5132e3cc4d4,rosh hashanah,0,simdrop
60d731567049e5132e3cc4d4,yom kippur,0,simdrop
60d731567049e5132e3cc4d4,arbor day,1,simdrop
60d731567049e5132e3cc4d4,boxing day,0,simdrop
60d731567049e5132e3cc4d4,chinese new year,0,simdrop
60d731567049e5132e3cc4d4,holi,2,simdrop
63e802622f8052bd67d6c5f0,easter,2,simdrop
63e802622f8052bd67d6c5f0,halloween,0,simdrop
63e802622f8052bd67d6c5f0,hanukkah,1,simdrop
63e802622f8052bd67d6c5f0,thanksgiving,0,simdrop
63e802622f8052bd67d6c5f0,presidents day,2,simdrop
63ea4ab1ce4168cbe9f63775,new year's eve,2,simdrop
63ea4ab1ce4168cbe9f63775,new year's day,0,simdrop
63ea4ab1ce4168cbe9f63775,martin luther king jr. day,1,simdrop
63ea4ab1ce4168cbe9f63775,presidents day,0,simdrop
63ea4ab1ce4168cbe9f63775,earth day,0,simdrop
63ea4ab1ce4168cbe9f63775,good friday,1,simdrop
63ea4ab1ce4168cbe9f63775,easter,0,simdrop
63ea4ab1ce4168cbe9f63775,yom kippur,1,simdrop
63ea4ab1ce4168cbe9f63775,passover,0,simdrop
63ea4ab1ce4168cbe9f63775,memorial day,1,simdrop
63ea4ab1ce4168cbe9f63775,independence day,0,simdrop
63ea4ab1ce4168cbe9f63775,indigenous peoples day,1,simdrop
63ea4ab1ce4168cbe9f63775,labor day,0,simdrop
63ea4ab1ce4168cbe9f63775,halloween,1,simdrop
63ea4ab1ce4168cbe9f63775,thanksgiving,0,simdrop
63ea4ab1ce4168cbe9f63775,christmas,0,simdrop
63ea4ab1ce4168cbe9f63775,kwanzaa,1,simdrop
63ea4ab1ce4168cbe9f63775,hanukkah,0,simdrop
63ea4ab1ce4168cbe9f63775,ramadan,0,simdrop
63ea4ab1ce4168cbe9f63775,lunar new year,1,simdrop
63ea4ab1ce4168cbe9f63775,chinese new year,0,simdrop
63ea4ab1ce4168cbe9f63775,diwali,0,simdrop
63ea4ab1ce4168cbe9f63775,fat tuesday,1,simdrop
63ea4ab1ce4168cbe9f63775,mardi gras,0,simdrop
63ea4ab1ce4168cbe9f63775,carnivale,2,simdrop
65b15afd94153c1f50c92493,valentine's day,2,simdrop
65b15afd94153c1f50c92493,saint patrick's day,0,simdrop
65b15afd94153c1f50c92493,easter,0,simdrop
65b15afd94153c1f50c92493,fourth of july,1,simdrop
65b15afd94153c1f50c92493,independence day,0,simdrop
65b15afd94153c1f50c92493,president's day,0,simdrop
65b15afd94153c1f50c92493,christmas,1,simdrop
65b15afd94153c1f50c92493,halloween,0,simdrop
65b15afd94153c1f50c92493,new year's,0,simdrop
65b15afd94153c1f50c92493,saint patrick's day,1,simdrop
65b15afd94153c1f50c92493,hanukkah,0,simdrop
65b15afd94153c1f50c92493,labor day,1,simdrop
65b15afd94153c1f50c92493,thanksgiving,0,simdrop
65b15afd94153c1f50c92493,spring break,0,simdrop
65b15afd94153c1f50c92493,presidents day,2,simdrop
65c25cf77dca9d7ca7d9ebdb,hanukkah,2,simdrop
65c25cf77dca9d7ca7d9ebdb,christmas,0,simdrop
65c25cf77dca9d7ca7d9ebdb,valentine's day,0,simdrop
65c25cf77dca9d7ca7d9ebdb,easter,1,simdrop
65c25cf77dca9d7ca7d9ebdb,halloween,0,simdrop
65c25cf77dca9d7ca7d9ebdb,veterans day,1,simdrop
65c25cf77dca9d7ca7d9ebdb,women's day,0,simdrop
65c25cf77dca9d7ca7d9ebdb,mother's day,0,simdrop
65c25cf77dca9d7ca7d9ebdb,father's day,0,simdrop
65c25cf77dca9d7ca7d9ebdb,chinese new year,1,simdrop
65c25cf77dca9d7ca7d9ebdb,new year,0,simdrop
65c25cf77dca9d7ca7d9ebdb,new year's eve,0,simdrop
65c25cf77dca9d7ca7d9ebdb,christmas eve,0,simdrop
65c25cf77dca9d7ca7d9ebdb,thanksgiving,0,simdrop
65c25cf77dca9d7ca7d9ebdb,spring break,0,simdrop
65c25cf77dca9d7ca7d9ebdb,saint patrick's day,1,simdrop
65c25cf77dca9d7ca7d9ebdb,fourth of july,0,simdrop
65c25cf77dca9d7ca7d9ebdb,cinco de mayo,2,simdrop
65cb63e160bb47fbf9349269,new year's day,2,simdrop
65cb63e160bb47fbf9349269,martin luther king day,0,simdrop
65cb63e160bb47fbf9349269,presidents day,0,simdrop
65cb63e160bb47fbf9349269,valentine's day,0,simdrop
65cb63e160bb47fbf9349269,st patrick's day,1,simdrop
65cb63e160bb47fbf9349269,easter,0,simdrop
65cb63e160bb47fbf9349269,ramadan,0,simdrop
65cb63e160bb47fbf9349269,mother's day,1,simdrop
65cb63e160bb47fbf9349269,father's day,0,simdrop
65cb63e160bb47fbf9349269,memorial day,1,simdrop
65cb63e160bb47fbf9349269,4th of july,0,simdrop
65cb63e160bb47fbf9349269,independence day,0,simdrop
65cb63e160bb47fbf9349269,labor day,0,simdrop
65cb63e160bb47fbf9349269,halloween,0,simdrop
65cb63e160bb47fbf9349269,veterans day,1,simdrop
65cb63e160bb47fbf9349269,indigenous peoples day,0,simdrop
65cb63e160bb47fbf9349269,thanksgiving day,1,simdrop
65cb63e160bb47fbf9349269,black friday,0,simdrop
65cb63e160bb47fbf9349269,christmas,1,simdrop
65cb63e160bb47fbf9349269,hanukkah,0,simdrop
65cb63e160bb47fbf9349269,kwanzaa,0,simdrop
65cb63e160bb47fbf9349269,yom kippur,1,simdrop
65cb63e160bb47fbf9349269,rosh hashanah,0,simdrop
65cb63e160bb47fbf9349269,parents day,1,simdrop
65cb63e160bb47fbf9349269,children's day,0,simdrop
65cb63e160bb47fbf9349269,bank holiday,0,simdrop
65cb63e160bb47fbf9349269,the queen's jubilee day,1,simdrop
65cb63e160bb47fbf9349269,three kings day,2,simdrop
65cc19b4b3d48a22dfc6756d,christmas,2,simdrop
65cc19b4b3d48a22dfc6756d,new year's,0,simdrop
65cc19b4b3d48a22dfc6756d,valentine's day,1,simdrop
65cc19b4b3d48a22dfc6756d,st. partrick's day,0,simdrop
65cc19b4b3d48a22dfc6756d,presidents day,0,simdrop
65cc19b4b3d48a22dfc6756d,labor day,0,simdrop
65cc19b4b3d48a22dfc6756d,mother's day,1,simdrop
65cc19b4b3d48a22dfc6756d,father's day,0,simdrop
65cc19b4b3d48a22dfc6756d,4th of july,1,simdrop
65cc19b4b3d48a22dfc6756d,martin luther king day,0,simdrop
65cc19b4b3d48a22dfc6756d,thanksgiving,0,simdrop
65cc19b4b3d48a22dfc6756d,halloween,0,simdrop
65cc19b4b3d48a22dfc6756d,easter,0,simdrop
65cc19b4b3d48a22dfc6756d,april fool's,0,simdrop
65cc19b4b3d48a22dfc6756d,hanukkah,2,simdrop
65d54b3b524fcafb543d1b23,christmas,2,simdrop
65d54b3b524fcafb543d1b23,new year's,0,simdrop
65d54b3b524fcafb543d1b23,ramadan,1,simdrop
65d54b3b524fcafb543d1b23,easter,0,simdrop
65d54b3b524fcafb543d1b23,resurrection day,0,simdrop
65d54b3b524fcafb543d1b23,halloween,1,simdrop
65d54b3b524fcafb543d1b23,thanksgiving,0,simdrop
65d54b3b524fcafb543d1b23,martin luther king's day,1,simdrop
65d54b3b524fcafb543d1b23,labor day,0,simdrop
65d54b3b524fcafb543d1b23,valentine's day,0,simdrop
65d54b3b524fcafb543d1b23,saint patrick's day,0,simdrop
65d54b3b524fcafb543d1b23,april fool's day,1,simdrop
65d54b3b524fcafb543d1b23,memorial day,0,simdrop
65d54b3b524fcafb543d1b23,4th of july,0,simdrop
65d54b3b524fcafb543d1b23,anniversaries,0,simdrop
65d54b3b524fcafb543d1b23,columbus day,2,simdrop
65d6a09286a0c99e632a46dd,new year's day,2,simdrop
65d6a09286a0c99e632a46dd,mlk.day,0,simdrop
65d6a09286a0c99e632a46dd,valentine's day,0,simdrop
65d6a09286a0c99e632a46dd,passover,0,simdrop
65d6a09286a0c99e632a46dd,easter,0,simdrop
65d6a09286a0c99e632a46dd,memorial day,1,simdrop
65d6a09286a0c99e632a46dd,flag day,0,simdrop
65d6a09286a0c99e632a46dd,4th of july,0,simdrop
65d6a09286a0c99e632a46dd,groundhog's day,1,simdrop
65d6a09286a0c99e632a46dd,presidents day,0,simdrop
65d6a09286a0c99e632a46dd,columbus day,0,simdrop
65d6a09286a0c99e632a46dd,thanksgiving,1,simdrop
65d6a09286a0c99e632a46dd,christmas,0,simdrop
65d6a09286a0c99e632a46dd,rosh hashanah,0,simdrop
65d6a09286a0c99e632a46dd,president's day,1,simdrop
65d6a09286a0c99e632a46dd,election day,0,simdrop
65d6a09286a0c99e632a46dd,superbowl,1,simdrop
65d6a09286a0c99e632a46dd,christmas,2,simdrop
65e1f75ab3efd22e847cfbf0,new year,2,simdrop
65e1f75ab3efd22e847cfbf0,valentines day,0,simdrop
65e1f75ab3efd22e847cfbf0,saint patrick's day,0,simdrop
65e1f75ab3efd22e847cfbf0,easter,0,simdrop
65e1f75ab3efd22e847cfbf0,mother's day,1,simdrop
65e1f75ab3efd22e847cfbf0,father's day,0,simdrop
65e1f75ab3efd22e847cfbf0,independence day,1,simdrop
65e1f75ab3efd22e847cfbf0,labor day,0,simdrop
65e1f75ab3efd22e847cfbf0,halloween,1,simdrop
65e1f75ab3efd22e847cfbf0,christmas,0,simdrop
65e1f75ab3efd22e847cfbf0,hanukkah,0,simdrop
65e1f75ab3efd22e847cfbf0,kwanzaa,0,simdrop
65e1f75ab3efd22e847cfbf0,ramadan,0,simdrop
65e1f75ab3efd22e847cfbf0,chinese new year,1,simdrop
65e1f75ab3efd22e847cfbf0,july 4th,0,simdrop
65e1f75ab3efd22e847cfbf0,fourth of july,2,simdrop
65e358d9c5e3ee026268b2a7,new year's,2,simdrop
65e358d9c5e3ee026268b2a7,valentine's day,0,simdrop
65e358d9c5e3ee026268b2a7,st patrick's day,0,simdrop
65e358d9c5e3ee026268b2a7,easter,0,simdrop
65e358d9c5e3ee026268b2a7,memorial day ,1,simdrop
65e358d9c5e3ee026268b2a7,veterans day,0,simdrop
65e358d9c5e3ee026268b2a7,fourth of july,0,simdrop
65e358d9c5e3ee026268b2a7,mlk.day,1,simdrop
65e358d9c5e3ee026268b2a7,thanksgiving,0,simdrop
65e358d9c5e3ee026268b2a7,halloween,0,simdrop
65e358d9c5e3ee026268b2a7,christmas,0,simdrop
65e358d9c5e3ee026268b2a7,the chinese new year,0,simdrop
65e358d9c5e3ee026268b2a7,labor day,1,simdrop
65e358d9c5e3ee026268b2a7,columbus day,0,simdrop
65e358d9c5e3ee026268b2a7,juneteenth,0,simdrop
65e358d9c5e3ee026268b2a7,president's day,1,simdrop
65e358d9c5e3ee026268b2a7,presidents day,2,simdrop
65e862f844f1b7a803bb3c5a,christmas,2,simdrop
65e862f844f1b7a803bb3c5a,new year,0,simdrop
65e862f844f1b7a803bb3c5a,veterans day,1,simdrop
65e862f844f1b7a803bb3c5a,thansgiving day,0,simdrop
65e862f844f1b7a803bb3c5a,independence day,1,simdrop
65e862f844f1b7a803bb3c5a,labor day,0,simdrop
65e862f844f1b7a803bb3c5a,memorial day,0,simdrop
65e862f844f1b7a803bb3c5a,veteran's day,0,simdrop
65e862f844f1b7a803bb3c5a,columbus day,1,simdrop
65e862f844f1b7a803bb3c5a,memorial day,0,simdrop
65e862f844f1b7a803bb3c5a,martin luther king day,1,simdrop
65e862f844f1b7a803bb3c5a,juneteenth,0,simdrop
65e862f844f1b7a803bb3c5a,democracy day,1,simdrop
65e862f844f1b7a803bb3c5a,easter day,0,simdrop
65e862f844f1b7a803bb3c5a,inauguration day,2,simdrop
