SID,entry
65c25cf77dca9d7ca7d9ebdb,microwaves
65c25cf77dca9d7ca7d9ebdb,fridge
65c25cf77dca9d7ca7d9ebdb,freezer
65c25cf77dca9d7ca7d9ebdb,toaster
65c25cf77dca9d7ca7d9ebdb,stove
65c25cf77dca9d7ca7d9ebdb,oven
65c25cf77dca9d7ca7d9ebdb,air fryer
65c25cf77dca9d7ca7d9ebdb,mixer
65c25cf77dca9d7ca7d9ebdb,coffee machine
65c25cf77dca9d7ca7d9ebdb,cutting board
65c25cf77dca9d7ca7d9ebdb,ice maker
65c25cf77dca9d7ca7d9ebdb,rice cooker
65c25cf77dca9d7ca7d9ebdb,steamer
65c25cf77dca9d7ca7d9ebdb,fryer
65c25cf77dca9d7ca7d9ebdb,dishwasher
65c25cf77dca9d7ca7d9ebdb,sink
65c25cf77dca9d7ca7d9ebdb,humidifier
65cb63e160bb47fbf9349269,oven
65cb63e160bb47fbf9349269,microwave
65cb63e160bb47fbf9349269,fridge
65cb63e160bb47fbf9349269,coffee maker
65cb63e160bb47fbf9349269,mixers
65cb63e160bb47fbf9349269,ovens
65cb63e160bb47fbf9349269,toaster ovens
65cb63e160bb47fbf9349269,toasters
65cb63e160bb47fbf9349269,washing machine
65cb63e160bb47fbf9349269,drawing machine
65cb63e160bb47fbf9349269,dishwasher
65cb63e160bb47fbf9349269,stove fan
65d54b3b524fcafb543d1b23,stove top
65d54b3b524fcafb543d1b23,oven
65d54b3b524fcafb543d1b23,air fryer oven
65d54b3b524fcafb543d1b23,air fryer
65d54b3b524fcafb543d1b23,microwave
65d54b3b524fcafb543d1b23,sink
65d54b3b524fcafb543d1b23,laundry washer
65d54b3b524fcafb543d1b23,dryer
65d54b3b524fcafb543d1b23,refrigerator
65d54b3b524fcafb543d1b23,stand mixer
65d54b3b524fcafb543d1b23,heater tank
65d54b3b524fcafb543d1b23,tank heater
65d54b3b524fcafb543d1b23,light bulbs
65d54b3b524fcafb543d1b23,rice cooker
65d54b3b524fcafb543d1b23,slow cooker
65d54b3b524fcafb543d1b23,pressure cooker
65d54b3b524fcafb543d1b23,timer
65e1f75ab3efd22e847cfbf0,fridge
65e1f75ab3efd22e847cfbf0,air fryer
65e1f75ab3efd22e847cfbf0,microwave
65e1f75ab3efd22e847cfbf0,toaster
65e1f75ab3efd22e847cfbf0,coffee pot
65e1f75ab3efd22e847cfbf0,french press
65e1f75ab3efd22e847cfbf0,oven
65e1f75ab3efd22e847cfbf0,keurig
65e1f75ab3efd22e847cfbf0,washer
65e1f75ab3efd22e847cfbf0,dryer
65e1f75ab3efd22e847cfbf0,dishwasher
65e1f75ab3efd22e847cfbf0,fan
65e1f75ab3efd22e847cfbf0,light
65e1f75ab3efd22e847cfbf0,lamp
65e1f75ab3efd22e847cfbf0,the tv
65e1f75ab3efd22e847cfbf0,microwave oven
65e1f75ab3efd22e847cfbf0,heater
60a48adfe091e410f4eaba34,refrigerator
60a48adfe091e410f4eaba34,air conditioner
60a48adfe091e410f4eaba34,stove
60a48adfe091e410f4eaba34,microwave
60a48adfe091e410f4eaba34,fan
60a48adfe091e410f4eaba34,washer
60a48adfe091e410f4eaba34,dryer
60a48adfe091e410f4eaba34,dishwasher
60a48adfe091e410f4eaba34,sink
60a48adfe091e410f4eaba34,toilet
60a48adfe091e410f4eaba34,shower
60a48adfe091e410f4eaba34,countertop
