SID,entry
65d6a09286a0c99e632a46dd,water
65d6a09286a0c99e632a46dd,soda
65d6a09286a0c99e632a46dd,gatorade
65d6a09286a0c99e632a46dd,tea
65d6a09286a0c99e632a46dd,windshield wiper fluid
65d6a09286a0c99e632a46dd,saliva
65d6a09286a0c99e632a46dd,car oil
65d6a09286a0c99e632a46dd,blood
65d6a09286a0c99e632a46dd,sweat
65d6a09286a0c99e632a46dd,tears
65d6a09286a0c99e632a46dd,alcohol
65d6a09286a0c99e632a46dd,mercury
65d6a09286a0c99e632a46dd,hot glue
65d6a09286a0c99e632a46dd,water
65d6a09286a0c99e632a46dd,beer
65c25cf77dca9d7ca7d9ebdb,water
65c25cf77dca9d7ca7d9ebdb,mercury
65c25cf77dca9d7ca7d9ebdb,bleach
65c25cf77dca9d7ca7d9ebdb,gatorade
65c25cf77dca9d7ca7d9ebdb,powerade
65c25cf77dca9d7ca7d9ebdb,tea
65c25cf77dca9d7ca7d9ebdb,coffee
65c25cf77dca9d7ca7d9ebdb,milk
65c25cf77dca9d7ca7d9ebdb,juice
65c25cf77dca9d7ca7d9ebdb,window cleaner
65c25cf77dca9d7ca7d9ebdb,oil
65c25cf77dca9d7ca7d9ebdb,avocado oil
65c25cf77dca9d7ca7d9ebdb,olive oil
65c25cf77dca9d7ca7d9ebdb,canola oil
65c25cf77dca9d7ca7d9ebdb,liquid nitrogen
65c25cf77dca9d7ca7d9ebdb,soup
65c25cf77dca9d7ca7d9ebdb,laundry detergent
65c25cf77dca9d7ca7d9ebdb,softener
65c25cf77dca9d7ca7d9ebdb,soda
65c25cf77dca9d7ca7d9ebdb,beer
65c25cf77dca9d7ca7d9ebdb,wine
65c25cf77dca9d7ca7d9ebdb,vodka
65c25cf77dca9d7ca7d9ebdb,whiskey
65c25cf77dca9d7ca7d9ebdb,bourbon
65cc19b4b3d48a22dfc6756d,water
65cc19b4b3d48a22dfc6756d,coffee
65cc19b4b3d48a22dfc6756d,juice
65cc19b4b3d48a22dfc6756d,tea
65cc19b4b3d48a22dfc6756d,soap
65cc19b4b3d48a22dfc6756d,hot sauce
65cc19b4b3d48a22dfc6756d,soy sauce
65cc19b4b3d48a22dfc6756d,vinegar
65cc19b4b3d48a22dfc6756d,oil
65cc19b4b3d48a22dfc6756d,ranch
65cc19b4b3d48a22dfc6756d,hydrochloric acid
65cc19b4b3d48a22dfc6756d,mouth wash
65cc19b4b3d48a22dfc6756d,skincare toner
65cc19b4b3d48a22dfc6756d,liquid tylenol
65cc19b4b3d48a22dfc6756d,vodka
65cc19b4b3d48a22dfc6756d,whiskey
65cc19b4b3d48a22dfc6756d,gin
65cc19b4b3d48a22dfc6756d,wine
65cb63e160bb47fbf9349269,water
65cb63e160bb47fbf9349269,soup
65cb63e160bb47fbf9349269,sodas
65cb63e160bb47fbf9349269,juice
65cb63e160bb47fbf9349269,wine
65cb63e160bb47fbf9349269,beer
65cb63e160bb47fbf9349269,liquor
65cb63e160bb47fbf9349269,hydrogen peroxide
65cb63e160bb47fbf9349269,milk
65cb63e160bb47fbf9349269,soup stock
65cb63e160bb47fbf9349269,urine
65cb63e160bb47fbf9349269,blood
65cb63e160bb47fbf9349269,tears
65cb63e160bb47fbf9349269,sweat
65cb63e160bb47fbf9349269,salsa's
65cb63e160bb47fbf9349269,honey
60a48adfe091e410f4eaba34,water
60a48adfe091e410f4eaba34,cola
60a48adfe091e410f4eaba34,alcohol
60a48adfe091e410f4eaba34,detergent
60a48adfe091e410f4eaba34,cheese
60a48adfe091e410f4eaba34,milk
60a48adfe091e410f4eaba34,orange juice
60a48adfe091e410f4eaba34,apple juice
60a48adfe091e410f4eaba34,vodka
60a48adfe091e410f4eaba34,rum
60a48adfe091e410f4eaba34,whisky
60a48adfe091e410f4eaba34,bleach
60a48adfe091e410f4eaba34,tea
60a48adfe091e410f4eaba34,coffee
60a48adfe091e410f4eaba34,seltzer
60a48adfe091e410f4eaba34,mixed drink
60d731567049e5132e3cc4d4,water
60d731567049e5132e3cc4d4,gasoline
60d731567049e5132e3cc4d4,beer
60d731567049e5132e3cc4d4,wine
60d731567049e5132e3cc4d4,tequila
60d731567049e5132e3cc4d4,rum
60d731567049e5132e3cc4d4,vodka
60d731567049e5132e3cc4d4,fruit punch
60d731567049e5132e3cc4d4,milk
60d731567049e5132e3cc4d4,juice
60d731567049e5132e3cc4d4,mercury
60d731567049e5132e3cc4d4,mud
60d731567049e5132e3cc4d4,rubbing alcohol
60d731567049e5132e3cc4d4,nail polish remover	44	44.7	0.97487855
60d731567049e5132e3cc4d4,windex
60d731567049e5132e3cc4d4,clorox
60d731567049e5132e3cc4d4,bleach
60d731567049e5132e3cc4d4,laundry detergent
60d731567049e5132e3cc4d4,vanilla extract
60d731567049e5132e3cc4d4,lemon juice
60d731567049e5132e3cc4d4,chlorine
60d731567049e5132e3cc4d4,soda
60d731567049e5132e3cc4d4,tea
60d731567049e5132e3cc4d4,coffee
60d731567049e5132e3cc4d4,creamer
60d731567049e5132e3cc4d4,smoothies
60d731567049e5132e3cc4d4,lava
60d731567049e5132e3cc4d4,kombucha
60d731567049e5132e3cc4d4,seltzer
63e802622f8052bd67d6c5f0,water
63e802622f8052bd67d6c5f0,milk
63e802622f8052bd67d6c5f0,juice
63e802622f8052bd67d6c5f0,beer
63e802622f8052bd67d6c5f0,liquor
63e802622f8052bd67d6c5f0,liquid itrogen
63e802622f8052bd67d6c5f0,tea
63e802622f8052bd67d6c5f0,energy drinks
63e802622f8052bd67d6c5f0,soda
65e1f75ab3efd22e847cfbf0,soda
65e1f75ab3efd22e847cfbf0,tea
65e1f75ab3efd22e847cfbf0,juice
65e1f75ab3efd22e847cfbf0,water
65e1f75ab3efd22e847cfbf0,coca-cola
65e1f75ab3efd22e847cfbf0,pepsi
65e1f75ab3efd22e847cfbf0,fanta
65e1f75ab3efd22e847cfbf0,sprite
65e1f75ab3efd22e847cfbf0,coke pibb
65e1f75ab3efd22e847cfbf0,orange juice
65e1f75ab3efd22e847cfbf0,apple juice
65e1f75ab3efd22e847cfbf0,cranberry juice
65e1f75ab3efd22e847cfbf0,welch's juice
65e1f75ab3efd22e847cfbf0,alcohol
65e1f75ab3efd22e847cfbf0,dr. pepper
65e1f75ab3efd22e847cfbf0,pibb
65e1f75ab3efd22e847cfbf0,lemonade
65e1f75ab3efd22e847cfbf0,whiskey
65e1f75ab3efd22e847cfbf0,grape juice
65e1f75ab3efd22e847cfbf0,kool-aid
65d54b3b524fcafb543d1b23,water
