Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
5d7ff4aa50fda7001a863736,diabetes,0.0001,7.314082796174855
5d7ff4aa50fda7001a863736,autism,0.4686650907413683,6.632136160012248
5d7ff4aa50fda7001a863736,tuberculosis,0.44865703475297236,7.425258150365855
5d7ff4aa50fda7001a863736,bronchitis,0.5926786086788409,6.577955718556251
5d7ff4aa50fda7001a863736,anemia,0.4246592451682263,6.938537036570027
5d7ff4aa50fda7001a863736,depression,0.48941512585977165,7.719168835440931
5d7ff4aa50fda7001a863736,lyme's disease,0.30021549018571525,3.4838724542226736
5d7ff4aa50fda7001a863736,lupus,0.46842790073481577,6.539668268373825
5d7ff4aa50fda7001a863736,endometriosis,0.4808623843277948,5.9776234774404715
5d7ff4aa50fda7001a863736,huntington's disease,0.4426204379609149,5.590034442345684
5d7ff4aa50fda7001a863736,cancer,0.49047501073967825,7.950023097671637
5d7ff4aa50fda7001a863736,breast cancer,0.701801702015456,6.904340148322879
5d7ff4aa50fda7001a863736,lung cancer,0.6506407419479769,6.606312237987629
5d7ff4aa50fda7001a863736,down syndrome,0.3239934193942642,5.970346876230093
5d7ff4aa50fda7001a863736,arthritis,0.3749616733105088,7.013944023060052
5d7ff4aa50fda7001a863736,cystic acne,0.26030784426265097,4.3103533890449945
5d7ff4aa50fda7001a863736,lymphoma,0.3854886765194625,6.658191376807291
5f5aa60bef062519ff711fe6,dementia,0.0001,6.829680576931985
5f5aa60bef062519ff711fe6,cervical cancer,0.2792386620669087,6.031458556726119
5f5aa60bef062519ff711fe6,rectal cancer,0.6080297659388467,5.447201458619082
5f5aa60bef062519ff711fe6,cancer,0.6773899579634071,7.950023097671637
5f5aa60bef062519ff711fe6,osteoporosis,0.46704341403726857,6.438506907644614
5f5aa60bef062519ff711fe6,rheumatoid,0.5109404720499257,6.5746082064719475
5f5aa60bef062519ff711fe6,rheumatoid arthritis,0.8893806439856115,6.4506787240885215
5f5aa60bef062519ff711fe6,plantars fasciitis,0.4449957899402427,0.0001
5f5aa60bef062519ff711fe6,fasciitis,0.7753043802043084,5.372438805941677
5f5aa60bef062519ff711fe6,bipolar disorder,0.35816153950237095,6.0488475511027335
5f5aa60bef062519ff711fe6,parkinson's,0.46605343450722125,6.313707387457662
5f5aa60bef062519ff711fe6,hodgkin's lymphoma,0.3665927937329043,5.511974219242555
5f5aa60bef062519ff711fe6,autism,0.32245125789119977,6.632136160012248
5f5aa60bef062519ff711fe6,sickle cell anemia,0.27429272639242863,5.712273318357401
5f5aa60bef062519ff711fe6,diarrhea,0.20710908903121616,6.879008839770761
5f5aa60bef062519ff711fe6,constipation,0.7030671599313026,6.66683207525991
5f5aa60bef062519ff711fe6,hemorrhaging,0.42663026383566893,5.394939987497327
5f5aa60bef062519ff711fe6,aneurysm,0.5476898460771709,6.455561083569239
5f5aa60bef062519ff711fe6,blood clotting,0.40712519208462994,5.6556195433069725
60a48adfe091e410f4eaba34,asthma,0.0001,6.975057096636462
60a48adfe091e410f4eaba34,lymphedema,0.3905456058876198,5.51914518196853
60a48adfe091e410f4eaba34,diabetes,0.4892970429766055,7.314082796174855
60a48adfe091e410f4eaba34,alzheimer's,0.46157236123223955,6.553856458654835
60a48adfe091e410f4eaba34,parkinson's,0.6102030980624886,6.313707387457662
60a48adfe091e410f4eaba34,depression,0.45313757224337414,7.719168835440931
60a48adfe091e410f4eaba34,anxiety,0.6843392479415457,7.63318966015355
60a48adfe091e410f4eaba34,anemia,0.46284159207746434,6.938537036570027
60a48adfe091e410f4eaba34,high cholesterol,0.42914757716745533,5.461286880465722
60a48adfe091e410f4eaba34,high blood pressure,0.6423378627434654,6.307614329608938
60a48adfe091e410f4eaba34,obesity,0.39524427971192355,6.8959774363442445
60a48adfe091e410f4eaba34,epilepsy,0.4137080848510919,6.864196162738685
60a48adfe091e410f4eaba34,kidney disease,0.32881821737622263,6.118938632851354
60a48adfe091e410f4eaba34,liver disease,0.6021501712079138,6.337834489319356
60a48adfe091e410f4eaba34,cancer,0.3967436174129402,7.950023097671637
60a48adfe091e410f4eaba34,gonorrhea,0.4835024160594781,6.242583911550184
60a48adfe091e410f4eaba34,herpes,0.697653377333929,6.570099078991958
60a48adfe091e410f4eaba34,meningitis,0.5278141263059516,6.714382156980249
60d731567049e5132e3cc4d4,alopecia,0.0001,5.990606542796747
60d731567049e5132e3cc4d4,type 1 diabetes,0.3069484174995072,5.686242902748436
60d731567049e5132e3cc4d4,type 2 diabetes,0.9468876263619859,6.073220734051544
60d731567049e5132e3cc4d4,cancer,0.3052555035846001,7.950023097671637
60d731567049e5132e3cc4d4,heart attack,0.39817157535742576,6.561591358803307
60d731567049e5132e3cc4d4,heart failure,0.8709638202747624,6.711266343307674
60d731567049e5132e3cc4d4,anemia,0.4148648048081419,6.938537036570027
60d731567049e5132e3cc4d4,high blood pressure,0.4263865680029484,6.307614329608938
60d731567049e5132e3cc4d4,low blood pressure,0.9198323482690766,5.4414123202233835
60d731567049e5132e3cc4d4,high,0.3232562386935287,8.937088182317973
60d731567049e5132e3cc4d4,cholesterol,0.37900089102618206,7.098026346801614
60d731567049e5132e3cc4d4,cataracts,0.38651643007645675,6.222070009712049
60d731567049e5132e3cc4d4,asthma,0.3663546096796433,6.975057096636462
60d731567049e5132e3cc4d4,allergies,0.6632343200804631,6.28855325944247
60d731567049e5132e3cc4d4,psoriasis,0.48659191528722534,6.2196531487504085
60d731567049e5132e3cc4d4,eczema,0.7839036371770522,6.33694379239423
60d731567049e5132e3cc4d4,migraines,0.3572889300542028,5.574505836977325
60d731567049e5132e3cc4d4,epilepsy,0.5732050601485731,6.864196162738685
60d731567049e5132e3cc4d4,heartburn,0.37166805209968623,5.831296946654556
60d731567049e5132e3cc4d4,indigestion,0.864478623948234,6.325134359513751
63e802622f8052bd67d6c5f0,cancer,0.0001,7.950023097671637
63e802622f8052bd67d6c5f0,allergies,0.41499706268911685,6.28855325944247
63e802622f8052bd67d6c5f0,down syndrome,0.30110261405105443,5.970346876230093
63e802622f8052bd67d6c5f0,autism,0.5176563463307183,6.632136160012248
63e802622f8052bd67d6c5f0,dementia,0.5129806649151808,6.829680576931985
63e802622f8052bd67d6c5f0,diabetes,0.4871179703698427,7.314082796174855
63e802622f8052bd67d6c5f0,depression,0.5111266884824348,7.719168835440931
