SID,entry,timepoint
5ed9311e1a69d449577bb8cf,pads,4.5
5ed9311e1a69d449577bb8cf,toilet paper,30.3
5ed9311e1a69d449577bb8cf,paper towels,31.4
5ed9311e1a69d449577bb8cf,paper goods,42.5
5ed9311e1a69d449577bb8cf,pads,48.3
6595e3b4dc9090390e4edb5f,paper goods,15.6
6595e3b4dc9090390e4edb5f,napkins,20.0
6595e3b4dc9090390e4edb5f,utensils,21.8
6595e3b4dc9090390e4edb5f,shampoo,25.6
6595e3b4dc9090390e4edb5f,conditioner,26.3
6595e3b4dc9090390e4edb5f,deodorant,26.6
6595e3b4dc9090390e4edb5f,toothpaste,27.8
6595e3b4dc9090390e4edb5f,body wash,30.7
6595e3b4dc9090390e4edb5f,toilet paper,34.2
6595e3b4dc9090390e4edb5f,tampons,40.2
6595e3b4dc9090390e4edb5f,diapers,41.1
6595e3b4dc9090390e4edb5f,diapers,41.9
6595e3b4dc9090390e4edb5f,hand sanitizer,51.6
6595e3b4dc9090390e4edb5f,candles,72.7
6595e3b4dc9090390e4edb5f,diapers,91.5
6595e3b4dc9090390e4edb5f,hand soap,94.0
6595e3b4dc9090390e4edb5f,trash bags,108.0
6595e3b4dc9090390e4edb5f,ziplock bags,109.9
5f6c102b6ec04317fc9a8127,sponges,7.8
5f6c102b6ec04317fc9a8127,pads,14.1
5f6c102b6ec04317fc9a8127,toothpaste,18.4
5f6c102b6ec04317fc9a8127,shampoo,20.8
5f6c102b6ec04317fc9a8127,deodorant,24.2
5f6c102b6ec04317fc9a8127,toilet paper,30.0
5f6c102b6ec04317fc9a8127,paper towels,31.1
5f6c102b6ec04317fc9a8127,tissues,32.8
5f6c102b6ec04317fc9a8127,napkins,37.4
5f6c102b6ec04317fc9a8127,hand soap,48.5
5f6c102b6ec04317fc9a8127,hand sanitizer,55.7
5f6c102b6ec04317fc9a8127,baby food,71.8
5f6c102b6ec04317fc9a8127,pads,79.2
5f6c102b6ec04317fc9a8127,candles,82.5
5c1942e200849900010afdcd,bandages,4.9
5c1942e200849900010afdcd,ziplock bags,5.4
5c1942e200849900010afdcd,utensils,13.6
5c1942e200849900010afdcd,sponges,16.0
5c1942e200849900010afdcd,tissues,18.0
5c1942e200849900010afdcd,diapers,18.7
5c1942e200849900010afdcd,toilet paper,20.4
5c1942e200849900010afdcd,pads,26.2
5c1942e200849900010afdcd,pads,26.6
5c1942e200849900010afdcd,plasticware,30.5
5c1942e200849900010afdcd,candles,47.7
5c1942e200849900010afdcd,candles,50.2
5c1942e200849900010afdcd,tissues,68.9
5e8a76b3939b3072dc76fb5c,batteries,3.2
5e8a76b3939b3072dc76fb5c,coolers,39.7
5e8a76b3939b3072dc76fb5c,coolers,57.2
5e8a76b3939b3072dc76fb5c,tampons,65.5
