Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5d7ff4aa50fda7001a863736,0.5020646218220401,0.11081323635301601,6.80107920729824,1.120287908888696,31.0,simdrop,9,3.1,1.57797338380595
5f5aa60bef062519ff711fe6,0.44333137497678987,0.16714458539338053,6.654287241557758,1.4205922688963584,31.0,simdrop,8,3.4444444444444446,1.5713484026367723
60a48adfe091e410f4eaba34,0.4500885159864276,0.11217103371039522,6.485320446653783,1.2769326147424402,19.0,simdrop,7,2.375,0.4841229182759271
60d731567049e5132e3cc4d4,0.49898017881569906,0.09444510839167179,6.681417361832375,1.2620440526279901,38.0,simdrop,10,3.4545454545454546,1.304790917673393
63e802622f8052bd67d6c5f0,0.4976354884617639,0.135043398115206,6.05824775554417,1.7271178117514936,19.0,simdrop,5,3.1666666666666665,1.4624940645653537
63ea4ab1ce4168cbe9f63775,0.5137032725773628,0.16798706273764671,6.001960665003331,1.1712800917722734,33.0,simdrop,11,2.75,0.82915619758885
65b15afd94153c1f50c92493,0.49703132256382676,0.1179326059892446,6.861774741226513,1.1744373554474408,19.0,simdrop,4,3.8,0.9797958971132712
65c25cf77dca9d7ca7d9ebdb,0.5303660691818378,0.18636362572125573,6.700892603335976,1.1813287371942216,27.0,simdrop,9,2.7,0.9
65cb63e160bb47fbf9349269,0.4998769903156554,0.1559856272270093,6.507558650711277,1.3880237505425719,32.0,simdrop,11,2.6666666666666665,0.8498365855987975
65cc19b4b3d48a22dfc6756d,0.48975766782358016,0.12792463364996928,6.644506485726968,1.0040734128504507,26.0,simdrop,7,3.25,0.82915619758885
65d54b3b524fcafb543d1b23,0.5270798251839445,0.16200080999081337,6.1856285184399615,1.504542861279249,20.0,simdrop,5,3.3333333333333335,0.9428090415820634
65d6a09286a0c99e632a46dd,0.44870939319545344,0.15293436174817607,5.780481974524584,1.8323525355761279,24.0,simdrop,8,2.6666666666666665,0.4714045207910317
65e1f75ab3efd22e847cfbf0,0.4984231500468369,0.15362223203240427,6.721192639074622,1.3677396158020494,27.0,simdrop,8,3.0,1.0540925533894598
65e358d9c5e3ee026268b2a7,0.4506454293752632,0.1917606992185216,6.227473180648653,1.4743593361890024,35.0,simdrop,11,2.9166666666666665,0.6400954789890507
65e862f844f1b7a803bb3c5a,0.4910645915187887,0.12031241398460733,6.629813926017593,1.0696203974942393,50.0,simdrop,15,3.125,1.2686114456365274
