SID,entry,timepoint
65512e3cc12f463bc327b7c3,pen,1.6
65512e3cc12f463bc327b7c3,pencil,3.4
65512e3cc12f463bc327b7c3,marker,4.4
65512e3cc12f463bc327b7c3,paper,9.7
65512e3cc12f463bc327b7c3,printer,12.6
65512e3cc12f463bc327b7c3,printer,15.2
65512e3cc12f463bc327b7c3,scissors,19.1
65512e3cc12f463bc327b7c3,stapler,29.2
65512e3cc12f463bc327b7c3,staple remover,30.3
65512e3cc12f463bc327b7c3,scissors,43.9
65512e3cc12f463bc327b7c3,marker,47.7
65512e3cc12f463bc327b7c3,desk pad,76.4
65512e3cc12f463bc327b7c3,mouse,96.0
5f6c102b6ec04317fc9a8127,paper,3.2
5f6c102b6ec04317fc9a8127,pen,4.1
5f6c102b6ec04317fc9a8127,scissors,8.9
5f6c102b6ec04317fc9a8127,calculator,12.6
5f6c102b6ec04317fc9a8127,stapler,22.4
5f6c102b6ec04317fc9a8127,eraser,26.4
5f6c102b6ec04317fc9a8127,pen,36.8
5f6c102b6ec04317fc9a8127,sticky note,40.8
5f6c102b6ec04317fc9a8127,sharpener,54.8
5f6c102b6ec04317fc9a8127,paperclip,69.3
5f6c102b6ec04317fc9a8127,whiteboard,82.0
5f6c102b6ec04317fc9a8127,highlighter,96.1
5f6c102b6ec04317fc9a8127,glue,103.3
5f6c102b6ec04317fc9a8127,index card,109.6
5c1942e200849900010afdcd,scissors,1.9
5c1942e200849900010afdcd,sticky note,2.7
5c1942e200849900010afdcd,stapler,4.7
5c1942e200849900010afdcd,pen,5.7
5c1942e200849900010afdcd,pencil,6.7
5c1942e200849900010afdcd,glue,7.4
5c1942e200849900010afdcd,folder,9.8
5c1942e200849900010afdcd,paper,10.5
5c1942e200849900010afdcd,calculator,12.2
5c1942e200849900010afdcd,notebook,18.2
5c1942e200849900010afdcd,pen,23.1
5c1942e200849900010afdcd,folder,24.4
5c1942e200849900010afdcd,tape,32.0
5c1942e200849900010afdcd,paperclip,32.6
5c1942e200849900010afdcd,tape,43.3
5c1942e200849900010afdcd,glue,59.6
5c1942e200849900010afdcd,folder,63.6
5c1942e200849900010afdcd,binder,64.3
5c1942e200849900010afdcd,paper folder,70.2
60da4f9aa1ced7efeecca18a,paper,1.5
60da4f9aa1ced7efeecca18a,pen,2.3
60da4f9aa1ced7efeecca18a,pencil,3.1
60da4f9aa1ced7efeecca18a,highlighter,5.9
60da4f9aa1ced7efeecca18a,paperclip,7.4
60da4f9aa1ced7efeecca18a,binder clip,8.8
60da4f9aa1ced7efeecca18a,folder,10.2
60da4f9aa1ced7efeecca18a,binder,11.6
60da4f9aa1ced7efeecca18a,printer,19.4
60da4f9aa1ced7efeecca18a,filing cabinet,23.5
60da4f9aa1ced7efeecca18a,stapler,30.8
60da4f9aa1ced7efeecca18a,tape,31.8
60da4f9aa1ced7efeecca18a,ruler,34.5
60da4f9aa1ced7efeecca18a,scanner,50.3
60da4f9aa1ced7efeecca18a,fax machine,52.3
60da4f9aa1ced7efeecca18a,letterhead,58.9
60da4f9aa1ced7efeecca18a,stapler,59.7
60da4f9aa1ced7efeecca18a,envelope,60.6
60da4f9aa1ced7efeecca18a,envelope,61.5
60da4f9aa1ced7efeecca18a,stapler,67.5
60da4f9aa1ced7efeecca18a,note pad,72.1
60da4f9aa1ced7efeecca18a,legal pad,75.8
60da4f9aa1ced7efeecca18a,eraser,103.8
60da4f9aa1ced7efeecca18a,glue,106.4
60da4f9aa1ced7efeecca18a,scissors,109.2
60da4f9aa1ced7efeecca18a,thumbtack,112.3
6595e3b4dc9090390e4edb5f,office chair mat,7.4
6595e3b4dc9090390e4edb5f,monitor,9.8
6595e3b4dc9090390e4edb5f,binder,15.0
6595e3b4dc9090390e4edb5f,folder,16.8
6595e3b4dc9090390e4edb5f,pen,18.5
6595e3b4dc9090390e4edb5f,paper,20.6
6595e3b4dc9090390e4edb5f,tape,21.4
6595e3b4dc9090390e4edb5f,paperclip,22.5
6595e3b4dc9090390e4edb5f,highlighter,41.8
6595e3b4dc9090390e4edb5f,hole punch,44.5
6595e3b4dc9090390e4edb5f,rubber band,59.7
6595e3b4dc9090390e4edb5f,calculator,62.5
6595e3b4dc9090390e4edb5f,envelope,63.2
6595e3b4dc9090390e4edb5f,note pad,68.0
6595e3b4dc9090390e4edb5f,paper shredder,71.5
6595e3b4dc9090390e4edb5f,scanner,72.8
6595e3b4dc9090390e4edb5f,ruler,77.1
6595e3b4dc9090390e4edb5f,keyboard,79.7
6595e3b4dc9090390e4edb5f,mouse,80.4
6595e3b4dc9090390e4edb5f,keyboard,84.8
6595e3b4dc9090390e4edb5f,extension cord,90.0
6595e3b4dc9090390e4edb5f,pencil,96.4
6595e3b4dc9090390e4edb5f,eraser,97.1
6595e3b4dc9090390e4edb5f,marker,115.0
6595e3b4dc9090390e4edb5f,scissors,115.6
61035836646fb6ee2152f950,pen,1.9
61035836646fb6ee2152f950,pencil,2.6
61035836646fb6ee2152f950,pen,4.2
61035836646fb6ee2152f950,stapler,18.5
61035836646fb6ee2152f950,paperclip,25.1
61035836646fb6ee2152f950,printer,36.0
61035836646fb6ee2152f950,sharpener,40.1
61035836646fb6ee2152f950,laminator,51.9
61035836646fb6ee2152f950,ink cartridge,60.1
61035836646fb6ee2152f950,whiteboard,72.5
61035836646fb6ee2152f950,binder,80.2
61035836646fb6ee2152f950,folder,80.9
61035836646fb6ee2152f950,envelope,83.1
61035836646fb6ee2152f950,packing tape,86.5
61035836646fb6ee2152f950,highlighter,92.4
61035836646fb6ee2152f950,eraser,97.1
61035836646fb6ee2152f950,pencil,118.6
5e8a76b3939b3072dc76fb5c,pen,1.1
5e8a76b3939b3072dc76fb5c,pencil,2.8
5e8a76b3939b3072dc76fb5c,paper,3.5
5e8a76b3939b3072dc76fb5c,calculator,5.4
5e8a76b3939b3072dc76fb5c,paperclip,6.4
5e8a76b3939b3072dc76fb5c,stapler,8.9
5e8a76b3939b3072dc76fb5c,tape,9.8
5e8a76b3939b3072dc76fb5c,note pad,11.7
5e8a76b3939b3072dc76fb5c,index card,12.7
5e8a76b3939b3072dc76fb5c,printer paper,20.5
5e8a76b3939b3072dc76fb5c,printer,22.7
5e8a76b3939b3072dc76fb5c,mouse,27.1
5e8a76b3939b3072dc76fb5c,keyboard,27.7
5e8a76b3939b3072dc76fb5c,fax machine,40.6
5e8a76b3939b3072dc76fb5c,scissors,51.5
5e8a76b3939b3072dc76fb5c,marker,53.7
5e8a76b3939b3072dc76fb5c,highlighter,55.1
5e8a76b3939b3072dc76fb5c,ruler,60.0
5e8a76b3939b3072dc76fb5c,tape,81.2
5e8a76b3939b3072dc76fb5c,glue,82.6
5e8a76b3939b3072dc76fb5c,keyboard,118.9
5d3cc9010e510a00013df6f6,stapler,4.1
5d3cc9010e510a00013df6f6,tape,7.3
5d3cc9010e510a00013df6f6,pencil,15.5
5d3cc9010e510a00013df6f6,paper,22.0
5d3cc9010e510a00013df6f6,paperclip,25.4
5d3cc9010e510a00013df6f6,printer,29.7
5d3cc9010e510a00013df6f6,desk pad,37.3
5d3cc9010e510a00013df6f6,filing cabinet,41.5
5d3cc9010e510a00013df6f6,marker,82.8
5d3cc9010e510a00013df6f6,whiteboard,86.9
5d3cc9010e510a00013df6f6,envelope,102.5
5d3cc9010e510a00013df6f6,folder,114.6
5d3cc9010e510a00013df6f6,notebook,115.4
5fc6df58f380620a09116434,pen,0.4
5fc6df58f380620a09116434,paper,2.2
5fc6df58f380620a09116434,pencil,3.0
5fc6df58f380620a09116434,sharpener,4.0
5fc6df58f380620a09116434,highlighter,4.6
5fc6df58f380620a09116434,stapler,5.6
5fc6df58f380620a09116434,tape,6.4
5fc6df58f380620a09116434,paperclip,6.9
5fc6df58f380620a09116434,paper,9.0
5fc6df58f380620a09116434,tape,10.7
5fc6df58f380620a09116434,glue,13.0
5fc6df58f380620a09116434,tape,19.7
5fc6df58f380620a09116434,thumbtack,24.3
5fc6df58f380620a09116434,ruler,28.7
5fc6df58f380620a09116434,pen,32.2
5fc6df58f380620a09116434,ink,32.9
5fc6df58f380620a09116434,sticky note,36.2
5fc6df58f380620a09116434,desk pad,41.2
5fc6df58f380620a09116434,desk pad,42.1
5fc6df58f380620a09116434,mouse,61.3
5fc6df58f380620a09116434,keyboard,61.7
5fc6df58f380620a09116434,printer,66.2
