SID,entry,timepoint,evaluation,replacement
5e8a76b3939b3072dc76fb5c,computers,6.2,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,laptops,7.9,REPLACE,laptop
5e8a76b3939b3072dc76fb5c,desktop,8.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Spinners,9.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,fax machines,9.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,copy machines,10.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,phones,11.9,REPLACE,headphones
5e8a76b3939b3072dc76fb5c,calculators,13.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,call tools,19.4,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,USB drives,28.2,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,earphone,34.7,REPLACE,smartphone
5e8a76b3939b3072dc76fb5c,headphones,35.1,FOUND,headphones
5e8a76b3939b3072dc76fb5c,keyboards,39.9,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Mouse,49.3,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,televisions,62.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,DVD recorders,65.6,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,words players,68.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,dvd players,72.4,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Xbox PlayStation,74.4,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,tendo switch,75.6,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,DS Gameboy,77.9,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,antennas,92.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,internet cable,99.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,modem router,102.1,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,phone,8.2,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,laptop,9.0,FOUND,laptop
6595e3b4dc9090390e4edb5f,computer,10.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,radio,11.7,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,earbuds,15.7,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,headphones,16.8,FOUND,headphones
6595e3b4dc9090390e4edb5f,PS4,20.6,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,PS5,22.0,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Xbox,23.2,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Wii,23.7,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,Nintendo Switch,24.9,EXCLUDE,EXCLUDE
6595e3b4dc9090390e4edb5f,vacuum,30.4,EXCLUDE,EXCLUDE
