SID,entry,timepoint,evaluation,replacement
5ed9311e1a69d449577bb8cf,airfryer,2.9,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,oven,3.8,FOUND,oven
5ed9311e1a69d449577bb8cf,dishwasher,4.2,FOUND,dishwasher
5ed9311e1a69d449577bb8cf,sink,5.2,FOUND,sink
5ed9311e1a69d449577bb8cf,soap,6.3,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,brush,7.6,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,salt,8.5,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,food,9.6,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,freezer,11.2,REPLACE,peeler
5ed9311e1a69d449577bb8cf,fridge,12.4,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,spatula,14.4,FOUND,spatula
5ed9311e1a69d449577bb8cf,rice cooker,17.6,FOUND,rice cooker
5ed9311e1a69d449577bb8cf,air fryer,18.6,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,paper towels,18.9,REPLACE,tea towels
5ed9311e1a69d449577bb8cf,kitchen towels,20.7,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,Ice Cube's,30.1,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,microwave,31.4,FOUND,microwave
5ed9311e1a69d449577bb8cf,cups,37.0,REPLACE,tea cups
5ed9311e1a69d449577bb8cf,plates,37.7,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,forks,38.2,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,kitchen knife,44.1,REPLACE,kitchen knives
5ed9311e1a69d449577bb8cf,holder,44.8,REPLACE,colander
5ed9311e1a69d449577bb8cf,stovetop,47.9,REPLACE,stove
5ed9311e1a69d449577bb8cf,clock,49.9,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,Outlets,52.1,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,condiments,60.5,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,drawers,65.9,REPLACE,grater
5ed9311e1a69d449577bb8cf,shelves,67.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,salt shaker,77.5,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,pepper shaker,78.8,EXCLUDE,EXCLUDE
