SID,entry,evaluation,replacement
65c25cf77dca9d7ca7d9ebdb,carrots,FOUND,carrots
65c25cf77dca9d7ca7d9ebdb,celery,FOUND,celery
65c25cf77dca9d7ca7d9ebdb,potatoes,FOUND,potatoes
65c25cf77dca9d7ca7d9ebdb,squash,FOUND,squash
65c25cf77dca9d7ca7d9ebdb,pumpkin,FOUND,pumpkin
65c25cf77dca9d7ca7d9ebdb,coriander,FOUND,coriander
65c25cf77dca9d7ca7d9ebdb,basil,FOUND,basil
65c25cf77dca9d7ca7d9ebdb,bean sprouts,FOUND,bean sprouts
65c25cf77dca9d7ca7d9ebdb,bok choy,FOUND,bok choy
65c25cf77dca9d7ca7d9ebdb,red.pepper,FOUND,red.pepper
65c25cf77dca9d7ca7d9ebdb,chile,FOUND,chile
65c25cf77dca9d7ca7d9ebdb,onions,FOUND,onions
65c25cf77dca9d7ca7d9ebdb,leaks,FOUND,leaks
65c25cf77dca9d7ca7d9ebdb,radish,FOUND,radish
65c25cf77dca9d7ca7d9ebdb,asparagus,FOUND,asparagus
65c25cf77dca9d7ca7d9ebdb,Spanish lettuce,REPLACE,spanish lettuce
65c25cf77dca9d7ca7d9ebdb,brussel sprouts,FOUND,brussel sprouts
65c25cf77dca9d7ca7d9ebdb,cabbage,FOUND,cabbage
65c25cf77dca9d7ca7d9ebdb,peas,FOUND,peas
65c25cf77dca9d7ca7d9ebdb,mushrooms,FOUND,mushrooms
65c25cf77dca9d7ca7d9ebdb,corn,FOUND,corn
65c25cf77dca9d7ca7d9ebdb,chives,FOUND,chives
65c25cf77dca9d7ca7d9ebdb,shallots,FOUND,shallots
5d7ff4aa50fda7001a863736,broccoli,FOUND,broccoli
5d7ff4aa50fda7001a863736,are,FOUND,are
5d7ff4aa50fda7001a863736,carrots,FOUND,carrots
5d7ff4aa50fda7001a863736,celery,FOUND,celery
5d7ff4aa50fda7001a863736,cabbage,FOUND,cabbage
5d7ff4aa50fda7001a863736,brussel sprouts,FOUND,brussel sprouts
5d7ff4aa50fda7001a863736,asparagus,FOUND,asparagus
5d7ff4aa50fda7001a863736,peas,FOUND,peas
5d7ff4aa50fda7001a863736,lettuce,FOUND,lettuce
5d7ff4aa50fda7001a863736,cauliflower,FOUND,cauliflower
5d7ff4aa50fda7001a863736,corn,FOUND,corn
5d7ff4aa50fda7001a863736,eggplant,FOUND,eggplant
5d7ff4aa50fda7001a863736,cucumber,FOUND,cucumber
5d7ff4aa50fda7001a863736,potato,FOUND,potato
5d7ff4aa50fda7001a863736,green beans,FOUND,green beans
5d7ff4aa50fda7001a863736,spinach,FOUND,spinach
5d7ff4aa50fda7001a863736,onion,FOUND,onion
5d7ff4aa50fda7001a863736,garlic,FOUND,garlic
5d7ff4aa50fda7001a863736,red bell pepper,FOUND,red bell pepper
5d7ff4aa50fda7001a863736,green pepper,FOUND,green pepper
5d7ff4aa50fda7001a863736,turnips,FOUND,turnips
