Subject,Fluency_Item,Switch_Value,Switch_Method
5d7ff4aa50fda7001a863736,broccoli,2,simdrop
5d7ff4aa50fda7001a863736,are,0,simdrop
5d7ff4aa50fda7001a863736,carrots,0,simdrop
5d7ff4aa50fda7001a863736,celery,0,simdrop
5d7ff4aa50fda7001a863736,cabbage,0,simdrop
5d7ff4aa50fda7001a863736,brussel sprouts,0,simdrop
5d7ff4aa50fda7001a863736,asparagus,0,simdrop
5d7ff4aa50fda7001a863736,peas,0,simdrop
5d7ff4aa50fda7001a863736,lettuce,1,simdrop
5d7ff4aa50fda7001a863736,cauliflower,0,simdrop
5d7ff4aa50fda7001a863736,corn,0,simdrop
5d7ff4aa50fda7001a863736,eggplant,1,simdrop
5d7ff4aa50fda7001a863736,cucumber,0,simdrop
5d7ff4aa50fda7001a863736,potato,0,simdrop
5d7ff4aa50fda7001a863736,green beans,1,simdrop
5d7ff4aa50fda7001a863736,spinach,0,simdrop
5d7ff4aa50fda7001a863736,onion,1,simdrop
5d7ff4aa50fda7001a863736,garlic,0,simdrop
5d7ff4aa50fda7001a863736,red bell pepper,1,simdrop
5d7ff4aa50fda7001a863736,green pepper,0,simdrop
5d7ff4aa50fda7001a863736,turnips,2,simdrop
5f5aa60bef062519ff711fe6,cucumber,2,simdrop
5f5aa60bef062519ff711fe6,carrots,0,simdrop
5f5aa60bef062519ff711fe6,broccoli,0,simdrop
5f5aa60bef062519ff711fe6,potatoes,0,simdrop
5f5aa60bef062519ff711fe6,brussel sprouts,1,simdrop
5f5aa60bef062519ff711fe6,asparagus,0,simdrop
5f5aa60bef062519ff711fe6,bok choy,1,simdrop
5f5aa60bef062519ff711fe6,lettuce,0,simdrop
5f5aa60bef062519ff711fe6,cauliflower,0,simdrop
5f5aa60bef062519ff711fe6,green beans,2,simdrop
60a48adfe091e410f4eaba34,tomatoes,2,simdrop
60a48adfe091e410f4eaba34,cucumbers,0,simdrop
60a48adfe091e410f4eaba34,spinach,1,simdrop
60a48adfe091e410f4eaba34,lettuce,0,simdrop
60a48adfe091e410f4eaba34,carrots,0,simdrop
60a48adfe091e410f4eaba34,romaine,1,simdrop
60a48adfe091e410f4eaba34,peas,0,simdrop
60a48adfe091e410f4eaba34,corn,0,simdrop
60a48adfe091e410f4eaba34,broccoli,0,simdrop
60a48adfe091e410f4eaba34,cauliflower,0,simdrop
60a48adfe091e410f4eaba34,brussel sprouts,0,simdrop
60a48adfe091e410f4eaba34,peas,2,simdrop
60d731567049e5132e3cc4d4,carrots,2,simdrop
60d731567049e5132e3cc4d4,broccoli,0,simdrop
60d731567049e5132e3cc4d4,cauliflower,0,simdrop
60d731567049e5132e3cc4d4,cucumber,1,simdrop
