SID,entry
929641,tulip
929641,rose
929641,cornflower
929641,morning glory
929641,waxflower
929641,wisteria
929641,pansy
929641,wisteria
929641,poppy
929641,borage
929641,poppy
929641,tulip
929641,rose
929641,cornflower
929641,morning glory
929641,waxflower
929641,wisteria
929641,pansy
929641,wisteria
929641,poppy
929641,borage
929641,poppy
538590,daisy
538590,rose
538590,tulip
538590,aster
538590,poppy
538590,sweet pea
538590,peony
538590,borage
538590,poppy
538590,clover
538590,celosia
538590,tuberose
4144,waxflower
4144,daisy
4144,lily
4144,lily
4144,carnation
4144,lavender
4144,pansy
4144,petunia
4144,tulip
4144,rose
4144,waxflower
4144,balsam
395439,waxflower
395439,gardenia
395439,borage
395439,bluebell
395439,waxflower
395439,aster
395439,gardenia
395439,gardenia
395439,rose
395439,chrysanthemum
395439,waxflower
395439,aster
910517,rose
910517,tulip
910517,lily
910517,jasmine
910517,daisy
910517,iris
910517,petunia
910517,iris
910517,hydrangea
910517,carnation
910517,iris
910517,magnolia
910517,orchid
910517,daffodil
910517,turtlehead
