SID,entry,evaluation,replacement
787646,Thanksgiving,REPLACE,thanksgiving
787646,holy,EXCLUDE,EXCLUDE
787646,Christmas,REPLACE,christmas
787646,Easter,REPLACE,easter
787646,Fourth,EXCLUDE,EXCLUDE
787646,of July,EXCLUDE,EXCLUDE
787646,Saint,EXCLUDE,EXCLUDE
787646,Patrick's,EXCLUDE,EXCLUDE
787646,Day,EXCLUDE,EXCLUDE
787646,Martin Luther King,EXCLUDE,EXCLUDE
787646,Day,EXCLUDE,EXCLUDE
787646,President's,EXCLUDE,EXCLUDE
787646,Day,EXCLUDE,EXCLUDE
787646,Labor Day,REPLACE,labor day
787646,Halloween,REPLACE,halloween
787646,Groundhog Day,REPLACE,groundhog day
787646,New,EXCLUDE,EXCLUDE
787646,Year's,EXCLUDE,EXCLUDE
787646,Eve,EXCLUDE,EXCLUDE
787646,New,EXCLUDE,EXCLUDE
787646,Year's,EXCLUDE,EXCLUDE
787646,Valentine's,EXCLUDE,EXCLUDE
787646,Day,EXCLUDE,EXCLUDE
787646,Cinco de Mayo,REPLACE,cinco de mayo
787646,Juneteenth,EXCLUDE,EXCLUDE
610108,Christmas,REPLACE,christmas
610108,Easter,REPLACE,easter
610108,New,EXCLUDE,EXCLUDE
610108,Year's,EXCLUDE,EXCLUDE
610108,Eve,EXCLUDE,EXCLUDE
610108,New,EXCLUDE,EXCLUDE
610108,Year's,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,Valentine's,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,St,EXCLUDE,EXCLUDE
610108,Patrick's,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,Martin Luther King,EXCLUDE,EXCLUDE
610108,jr.,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,Labor Day,REPLACE,labor day
610108,Presidents,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,Thanksgiving,REPLACE,thanksgiving
610108,Halloween,REPLACE,halloween
610108,Juneteenth,EXCLUDE,EXCLUDE
610108,Fourth,EXCLUDE,EXCLUDE
610108,of July,EXCLUDE,EXCLUDE
610108,Mother's,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,Father's,EXCLUDE,EXCLUDE
610108,Day,EXCLUDE,EXCLUDE
610108,birthdays,REPLACE,earth day
610108,anniversaries,EXCLUDE,EXCLUDE
610108,Christopher,EXCLUDE,EXCLUDE
610108,Columbus Day,EXCLUDE,EXCLUDE
898793,holidays are,EXCLUDE,EXCLUDE
898793,Halloween,REPLACE,halloween
898793,Christmas,REPLACE,christmas
898793,Valentine's,EXCLUDE,EXCLUDE
898793,Day,EXCLUDE,EXCLUDE
898793,Thanksgiving,REPLACE,thanksgiving
898793,Kwanzaa,REPLACE,kwanzaa
898793,Hanukkah,REPLACE,hanukkah
898793,Cesar,EXCLUDE,EXCLUDE
898793,Chavez,EXCLUDE,EXCLUDE
898793,Day,EXCLUDE,EXCLUDE
898793,I think is,EXCLUDE,EXCLUDE
898793,celebrated,EXCLUDE,EXCLUDE
898793,June,EXCLUDE,EXCLUDE
898793,teens,EXCLUDE,EXCLUDE
898793,Saint,EXCLUDE,EXCLUDE
898793,Patrick's,EXCLUDE,EXCLUDE
898793,Day,EXCLUDE,EXCLUDE
898793,other,EXCLUDE,EXCLUDE
898793,holidays,EXCLUDE,EXCLUDE
898793,Fourth,EXCLUDE,EXCLUDE
898793,of July,EXCLUDE,EXCLUDE
898793,potentially,EXCLUDE,EXCLUDE
898793,I,EXCLUDE,EXCLUDE
898793,don't,EXCLUDE,EXCLUDE
898793,know if the,EXCLUDE,EXCLUDE
898793,accounts,EXCLUDE,EXCLUDE
898793,pink,EXCLUDE,EXCLUDE
898793,I guess I,EXCLUDE,EXCLUDE
898793,do not,EXCLUDE,EXCLUDE
898793,celebrate,EXCLUDE,EXCLUDE
898793,holidays,EXCLUDE,EXCLUDE
898793,Memorial,EXCLUDE,EXCLUDE
898793,Day,EXCLUDE,EXCLUDE
898793,Presidents,EXCLUDE,EXCLUDE
898793,Day,EXCLUDE,EXCLUDE
898793,Labor Day,REPLACE,labor day
898793,honestly,EXCLUDE,EXCLUDE
898793,I'm,EXCLUDE,EXCLUDE
898793,not sure if,EXCLUDE,EXCLUDE
898793,I know,EXCLUDE,EXCLUDE
898793,any other,EXCLUDE,EXCLUDE
898793,holidays,EXCLUDE,EXCLUDE
898793,oh,EXCLUDE,EXCLUDE
898793,I think,EXCLUDE,EXCLUDE
898793,Ramadan,REPLACE,ramadan
898793,and if,EXCLUDE,EXCLUDE
898793,there's,EXCLUDE,EXCLUDE
898793,something called,EXCLUDE,EXCLUDE
898793,like,EXCLUDE,EXCLUDE
898793,Edie,EXCLUDE,EXCLUDE
898793,or a,EXCLUDE,EXCLUDE
898793,d,EXCLUDE,EXCLUDE
898793,e,EXCLUDE,EXCLUDE
898793,d,EXCLUDE,EXCLUDE
898793,I think,EXCLUDE,EXCLUDE
898793,Holy,EXCLUDE,EXCLUDE
898793,One of the,EXCLUDE,EXCLUDE
898793,colors,EXCLUDE,EXCLUDE
898793,what are,EXCLUDE,EXCLUDE
898793,the,EXCLUDE,EXCLUDE
898793,SEC,EXCLUDE,EXCLUDE
898793,Lunar,EXCLUDE,EXCLUDE
898793,New Year,EXCLUDE,EXCLUDE
898793,maybe,EXCLUDE,EXCLUDE
898793,really,EXCLUDE,EXCLUDE
898793,Chinese New Year,REPLACE,chinese new year
898793,I think they,EXCLUDE,EXCLUDE
898793,might be,EXCLUDE,EXCLUDE
898793,separate,EXCLUDE,EXCLUDE
547183,holidays,EXCLUDE,EXCLUDE
547183,Christmas,REPLACE,christmas
547183,Halloween,REPLACE,halloween
547183,Easter,REPLACE,easter
547183,4th of July,EXCLUDE,EXCLUDE
547183,Halloween,REPLACE,halloween
547183,Halloween,REPLACE,halloween
547183,Saint,EXCLUDE,EXCLUDE
547183,Patrick's,EXCLUDE,EXCLUDE
547183,Day,EXCLUDE,EXCLUDE
547183,Thanksgiving,REPLACE,thanksgiving
547183,probably,EXCLUDE,EXCLUDE
547183,holiday,EXCLUDE,EXCLUDE
547183,is Labor Day,EXCLUDE,EXCLUDE
547183,Martin Luther King,EXCLUDE,EXCLUDE
547183,memorials,REPLACE,memorial day
547183,there,EXCLUDE,EXCLUDE
547183,there is,EXCLUDE,EXCLUDE
547183,Columbus Day,EXCLUDE,EXCLUDE
547183,but I think,EXCLUDE,EXCLUDE
547183,they got,EXCLUDE,EXCLUDE
547183,rid of,EXCLUDE,EXCLUDE
547183,that,EXCLUDE,EXCLUDE
547183,oh,EXCLUDE,EXCLUDE
547183,New,EXCLUDE,EXCLUDE
547183,Year's,EXCLUDE,EXCLUDE
547183,Eve,EXCLUDE,EXCLUDE
547183,nearest,EXCLUDE,EXCLUDE
547183,dad,EXCLUDE,EXCLUDE
547183,Chronicle,EXCLUDE,EXCLUDE
547183,Cinco de Mayo,REPLACE,cinco de mayo
547183,Polly,EXCLUDE,EXCLUDE
547183,pops,EXCLUDE,EXCLUDE
547183,most,EXCLUDE,EXCLUDE
547183,survived,EXCLUDE,EXCLUDE
547183,how do you say,EXCLUDE,EXCLUDE
547183,Easter,REPLACE,easter
547183,but I think,EXCLUDE,EXCLUDE
547183,there's,EXCLUDE,EXCLUDE
547183,like a,EXCLUDE,EXCLUDE
547183,Christian,REPLACE,christmas
547183,holiday,EXCLUDE,EXCLUDE
547183,after,REPLACE,easter
547183,Easter,REPLACE,easter
547183,that I,EXCLUDE,EXCLUDE
547183,forgot,EXCLUDE,EXCLUDE
920371,Christmas,REPLACE,christmas
920371,Eve,EXCLUDE,EXCLUDE
920371,years,EXCLUDE,EXCLUDE
920371,Martin Luther King,EXCLUDE,EXCLUDE
920371,Jr's,EXCLUDE,EXCLUDE
920371,birthday,REPLACE,earth day
920371,June,EXCLUDE,EXCLUDE
920371,19th,EXCLUDE,EXCLUDE
920371,Valentine's,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Mother's,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Father's,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,April,EXCLUDE,EXCLUDE
920371,Fool's,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Saint,EXCLUDE,EXCLUDE
920371,Patrick's,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Mardi,EXCLUDE,EXCLUDE
920371,Gras,EXCLUDE,EXCLUDE
920371,Ramadan,REPLACE,ramadan
920371,Hanukkah,REPLACE,hanukkah
920371,Kwanzaa,REPLACE,kwanzaa
920371,Thanksgiving,REPLACE,thanksgiving
920371,Black,EXCLUDE,EXCLUDE
920371,Friday,EXCLUDE,EXCLUDE
920371,Cyber,EXCLUDE,EXCLUDE
920371,Monday,EXCLUDE,EXCLUDE
920371,Independence,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Labor Day,REPLACE,labor day
920371,Easter,REPLACE,easter
920371,Columbus Day,EXCLUDE,EXCLUDE
920371,all over,REPLACE,passover
920371,you,EXCLUDE,EXCLUDE
920371,Veteran's,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Memorial,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
920371,Presidents,EXCLUDE,EXCLUDE
920371,Day,EXCLUDE,EXCLUDE
