SID,entry
787646,dishwasher
787646,range
787646,toaster
787646,stove
787646,freezer
787646,juicer
787646,microwave
898793,stove
898793,microwave
898793,stove
898793,cooktop
898793,oven
898793,stove
898793,oven
898793,heater
898793,stove
898793,cooktop
898793,freezer
898793,blender
898793,cooktop
898793,freezer
547183,microwave
547183,air conditioner
547183,oven
547183,iron
920371,shoe tower
920371,ice maker
920371,refrigerator
920371,freezer
920371,toaster
920371,oven
920371,stove
920371,range
920371,iron
920371,heater
920371,heater
920371,dishwasher
610108,toaster
610108,stove
610108,heater
610108,air conditioner
610108,heater
610108,heater
610108,dishwasher
610108,shoe hanger
610108,juicer
610108,egg cooker
610108,freezer
610108,oven
610108,microwave
610108,dishwasher
610108,blender
610108,refrigerator
