SID,entry,evaluation,replacement
547183,medical,EXCLUDE,EXCLUDE
547183,condition,EXCLUDE,EXCLUDE
547183,okay,EXCLUDE,EXCLUDE
547183,arthritis,FOUND,arthritis
547183,scoliosis,FOUND,scoliosis
547183,diabetes,FOUND,diabetes
547183,heart attack,EXCLUDE,EXCLUDE
547183,Chancellor,EXCLUDE,EXCLUDE
547183,I guess I,EXCLUDE,EXCLUDE
547183,can,REPLACE,cancer
547183,please,EXCLUDE,EXCLUDE
547183,like all,EXCLUDE,EXCLUDE
547183,right,EXCLUDE,EXCLUDE
547183,like,EXCLUDE,EXCLUDE
547183,schizophrenia,FOUND,schizophrenia
547183,bipolar,EXCLUDE,EXCLUDE
547183,depression,FOUND,depression
547183,anxiety,FOUND,anxiety
547183,multiple,EXCLUDE,EXCLUDE
547183,personality,EXCLUDE,EXCLUDE
547183,disorder,EXCLUDE,EXCLUDE
547183,broken,REPLACE,stroke
547183,leg,EXCLUDE,EXCLUDE
547183,sprained,REPLACE,migraine
547183,ankle,REPLACE,acne
547183,wry,EXCLUDE,EXCLUDE
547183,neck,EXCLUDE,EXCLUDE
547183,stroke,FOUND,stroke
547183,oh,EXCLUDE,EXCLUDE
920371,diabetes,FOUND,diabetes
920371,high,EXCLUDE,EXCLUDE
920371,blood,EXCLUDE,EXCLUDE
920371,pressure,EXCLUDE,EXCLUDE
920371,blindness,EXCLUDE,EXCLUDE
920371,deafness,EXCLUDE,EXCLUDE
920371,missing,EXCLUDE,EXCLUDE
920371,a,EXCLUDE,EXCLUDE
920371,limb,EXCLUDE,EXCLUDE
920371,cancer,FOUND,cancer
920371,thyroid,EXCLUDE,EXCLUDE
920371,weather,EXCLUDE,EXCLUDE
920371,kidney,EXCLUDE,EXCLUDE
920371,failure,EXCLUDE,EXCLUDE
920371,gout,FOUND,gout
920371,migraines,REPLACE,migraine
920371,post-traumatic,EXCLUDE,EXCLUDE
920371,stress,REPLACE,stroke
920371,disorder,EXCLUDE,EXCLUDE
920371,are you,EXCLUDE,EXCLUDE
920371,learning disability,EXCLUDE,EXCLUDE
787646,schizophrenia,FOUND,schizophrenia
787646,heart attack,EXCLUDE,EXCLUDE
787646,dyslexia,EXCLUDE,EXCLUDE
787646,high,EXCLUDE,EXCLUDE
787646,blood,EXCLUDE,EXCLUDE
787646,pressure,EXCLUDE,EXCLUDE
787646,cancer,FOUND,cancer
610108,diabetes,FOUND,diabetes
610108,high,EXCLUDE,EXCLUDE
610108,blood,EXCLUDE,EXCLUDE
610108,pressure,EXCLUDE,EXCLUDE
610108,cleft,EXCLUDE,EXCLUDE
610108,lip,EXCLUDE,EXCLUDE
610108,cleft,EXCLUDE,EXCLUDE
