SID,entry,evaluation,replacement
538590,water,REPLACE,crater
538590,grass,REPLACE,grassland
538590,Boyle,EXCLUDE,EXCLUDE
538590,lakes,REPLACE,lake
538590,rivers,REPLACE,river
538590,flowers,REPLACE,forest
538590,hair,REPLACE,chain
538590,braiding,EXCLUDE,EXCLUDE
538590,maybe,EXCLUDE,EXCLUDE
538590,warm,REPLACE,swamp
538590,Breezy,EXCLUDE,EXCLUDE
538590,clear,REPLACE,polar
538590,earthy,EXCLUDE,EXCLUDE
538590,home,EXCLUDE,EXCLUDE
538590,natural,REPLACE,waterfall
538590,fresh,REPLACE,forest
538590,peaceful,EXCLUDE,EXCLUDE
538590,Boyd's,EXCLUDE,EXCLUDE
538590,trees,REPLACE,creek
538590,oceans,REPLACE,volcano
538590,mountains,FOUND,mountains
538590,waves,REPLACE,caves
538590,cliffs,FOUND,cliffs
538590,long,REPLACE,lagoon
538590,roads,REPLACE,rapids
538590,pavement,REPLACE,vent
538590,water,REPLACE,crater
538590,grass,REPLACE,grassland
538590,Boyle,EXCLUDE,EXCLUDE
538590,lakes,REPLACE,lake
538590,rivers,REPLACE,river
538590,flowers,REPLACE,forest
538590,hair,REPLACE,chain
538590,braiding,EXCLUDE,EXCLUDE
538590,maybe,EXCLUDE,EXCLUDE
538590,warm,REPLACE,swamp
538590,Breezy,EXCLUDE,EXCLUDE
538590,clear,REPLACE,polar
538590,earthy,EXCLUDE,EXCLUDE
538590,home,EXCLUDE,EXCLUDE
538590,natural,REPLACE,waterfall
538590,fresh,REPLACE,forest
538590,peaceful,EXCLUDE,EXCLUDE
538590,Boyd's,EXCLUDE,EXCLUDE
538590,trees,REPLACE,creek
538590,oceans,REPLACE,volcano
538590,mountains,FOUND,mountains
538590,waves,REPLACE,caves
538590,cliffs,FOUND,cliffs
538590,long,REPLACE,lagoon
538590,roads,REPLACE,rapids
538590,pavement,REPLACE,vent
4144,trees,REPLACE,creek
4144,bushes,EXCLUDE,EXCLUDE
4144,grass,REPLACE,grassland
4144,Robbins,EXCLUDE,EXCLUDE
4144,Sky,EXCLUDE,EXCLUDE
4144,squirrels,EXCLUDE,EXCLUDE
4144,Fox,EXCLUDE,EXCLUDE
4144,Mountain,REPLACE,mountain
4144,snow,EXCLUDE,EXCLUDE
4144,rain,REPLACE,ravine
4144,Lake,REPLACE,lake
4144,water,REPLACE,crater
4144,fish,EXCLUDE,EXCLUDE
4144,pond,FOUND,pond
4144,Cliff,REPLACE,cliffs
4144,ocean,REPLACE,volcano
4144,leaves,REPLACE,caves
4144,stems,REPLACE,stream
4144,tree,REPLACE,creek
4144,trunks,EXCLUDE,EXCLUDE
4144,flowers,REPLACE,forest
4144,clovers,REPLACE,cove
4144,animals,EXCLUDE,EXCLUDE
4144,dear,REPLACE,delta
4144,green,REPLACE,grove
4144,brown,REPLACE,brook
4144,Decatur,REPLACE,crater
929641,what does it,EXCLUDE,EXCLUDE
929641,mean,REPLACE,mesa
929641,leaves,REPLACE,caves
929641,honey,REPLACE,cone
929641,flowers,REPLACE,forest
929641,rivers,REPLACE,river
929641,lakes,REPLACE,lake
929641,oceans,REPLACE,volcano
929641,animals,EXCLUDE,EXCLUDE
929641,beehives,EXCLUDE,EXCLUDE
929641,snakes,REPLACE,lake
929641,rats,REPLACE,strait
929641,mice,REPLACE,mesic
929641,dear,REPLACE,delta
929641,do,EXCLUDE,EXCLUDE
929641,both,EXCLUDE,EXCLUDE
929641,ants,REPLACE,plains
929641,cockroaches,EXCLUDE,EXCLUDE
929641,dirt,REPLACE,desert
929641,grass,REPLACE,grassland
929641,bushes,EXCLUDE,EXCLUDE
929641,Shrubbery,EXCLUDE,EXCLUDE
929641,Final,REPLACE,inlet
929641,Four,EXCLUDE,EXCLUDE
929641,clouds,EXCLUDE,EXCLUDE
929641,sky,EXCLUDE,EXCLUDE
929641,snake,REPLACE,lake
929641,holes,REPLACE,hills
929641,Road,EXCLUDE,EXCLUDE
929641,Bender,EXCLUDE,EXCLUDE
929641,in,EXCLUDE,EXCLUDE
929641,grass,REPLACE,grassland
929641,Pete,EXCLUDE,EXCLUDE
929641,insects,REPLACE,islet
929641,bacteria,EXCLUDE,EXCLUDE
929641,weather,EXCLUDE,EXCLUDE
929641,rain,REPLACE,ravine
910517,how to,EXCLUDE,EXCLUDE
910517,environment,EXCLUDE,EXCLUDE
910517,because,EXCLUDE,EXCLUDE
910517,like,REPLACE,lake
910517,forests,REPLACE,forest
910517,Tundras,REPLACE,tundra
910517,deserts,REPLACE,desert
910517,rainforests,REPLACE,rainforest
910517,prairies,REPLACE,prairie
910517,grasslands,REPLACE,grassland
910517,Savannah,REPLACE,savannah
910517,this is like the,EXCLUDE,EXCLUDE
910517,ocean,REPLACE,volcano
910517,like,REPLACE,lake
910517,lakes,REPLACE,lake
910517,ponds,REPLACE,pond
910517,rivers,REPLACE,river
910517,Seas,REPLACE,peaks
910517,mountains,FOUND,mountains
910517,mountain,FOUND,mountain
910517,ranges,REPLACE,range
910517,the,REPLACE,thicket
910517,cakes,REPLACE,caves
910517,are closed,EXCLUDE,EXCLUDE
910517,Canyons,REPLACE,canyon
910517,valleys,FOUND,valleys
910517,chords,EXCLUDE,EXCLUDE
910517,grasslands,REPLACE,grassland
910517,jungles,REPLACE,jungle
395439,natural,REPLACE,waterfall
