SID,entry
538590,crater
538590,grassland
538590,lake
538590,river
538590,forest
538590,chain
538590,swamp
538590,polar
538590,waterfall
538590,forest
538590,creek
538590,volcano
538590,mountains
538590,caves
538590,cliffs
538590,lagoon
538590,rapids
538590,vent
538590,crater
538590,grassland
538590,lake
538590,river
538590,forest
538590,chain
538590,swamp
538590,polar
538590,waterfall
538590,forest
538590,creek
538590,volcano
538590,mountains
538590,caves
538590,cliffs
538590,lagoon
538590,rapids
538590,vent
4144,creek
4144,grassland
4144,mountain
4144,ravine
4144,lake
4144,crater
4144,pond
4144,cliffs
4144,volcano
4144,caves
4144,stream
4144,creek
4144,forest
4144,cove
4144,delta
4144,grove
4144,brook
4144,crater
929641,mesa
929641,caves
929641,cone
929641,forest
929641,river
929641,lake
929641,volcano
929641,lake
929641,strait
929641,mesic
929641,delta
929641,plains
929641,desert
929641,grassland
929641,inlet
929641,lake
929641,hills
929641,grassland
929641,islet
929641,ravine
910517,lake
910517,forest
910517,tundra
910517,desert
910517,rainforest
910517,prairie
910517,grassland
910517,savannah
910517,volcano
910517,lake
910517,lake
910517,pond
910517,river
910517,peaks
910517,mountains
910517,mountain
910517,range
910517,thicket
910517,caves
910517,canyon
910517,valleys
910517,grassland
910517,jungle
395439,waterfall
395439,creek
395439,grassland
395439,ravine
395439,thicket
395439,lagoon
395439,dunes
395439,brook
395439,pampas
395439,caves
395439,brook
395439,islet
395439,crater
395439,antarctic
