SID,entry,evaluation,replacement
910517,dish,EXCLUDE,EXCLUDE
910517,soap,EXCLUDE,EXCLUDE
910517,hand,EXCLUDE,EXCLUDE
910517,soap,EXCLUDE,EXCLUDE
910517,lotion,EXCLUDE,EXCLUDE
910517,mops,EXCLUDE,EXCLUDE
910517,and,REPLACE,candles
910517,brooms,EXCLUDE,EXCLUDE
910517,napkins,FOUND,napkins
910517,paper,REPLACE,diapers
910517,towels,EXCLUDE,EXCLUDE
910517,aluminum,EXCLUDE,EXCLUDE
910517,foil,EXCLUDE,EXCLUDE
910517,plastic,REPLACE,plasticware
910517,wrap,EXCLUDE,EXCLUDE
910517,paper,REPLACE,diapers
910517,plates,REPLACE,pads
910517,Styrofoam,EXCLUDE,EXCLUDE
910517,plates,REPLACE,pads
910517,paper,REPLACE,diapers
910517,cups,EXCLUDE,EXCLUDE
910517,are,REPLACE,apparel
910517,foam,EXCLUDE,EXCLUDE
910517,cups,EXCLUDE,EXCLUDE
910517,plastic,REPLACE,plasticware
910517,Cutlery,EXCLUDE,EXCLUDE
910517,plastic,REPLACE,plasticware
910517,bags,REPLACE,bandages
910517,balloons,EXCLUDE,EXCLUDE
910517,magazines,EXCLUDE,EXCLUDE
910517,white trash,EXCLUDE,EXCLUDE
910517,bags,REPLACE,bandages
910517,hand,EXCLUDE,EXCLUDE
910517,lotion,EXCLUDE,EXCLUDE
910517,essential,EXCLUDE,EXCLUDE
910517,oils,EXCLUDE,EXCLUDE
910517,humidifiers,EXCLUDE,EXCLUDE
910517,Lysol,EXCLUDE,EXCLUDE
910517,cleaning,EXCLUDE,EXCLUDE
910517,wipes,REPLACE,diapers
910517,hand,EXCLUDE,EXCLUDE
910517,sanitizer,EXCLUDE,EXCLUDE
910517,sunglasses,EXCLUDE,EXCLUDE
910517,like,EXCLUDE,EXCLUDE
910517,plastic,REPLACE,plasticware
910517,containers,EXCLUDE,EXCLUDE
910517,batteries,FOUND,batteries
910517,candles,FOUND,candles
910517,flashlights,EXCLUDE,EXCLUDE
910517,lanterns,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,soap,EXCLUDE,EXCLUDE
910517,hand,EXCLUDE,EXCLUDE
