SID,entry,evaluation,replacement
910517,phones,REPLACE,headphones
910517,cars,EXCLUDE,EXCLUDE
910517,headphones,FOUND,headphones
910517,earbuds,EXCLUDE,EXCLUDE
910517,airpods,EXCLUDE,EXCLUDE
910517,Mouse,EXCLUDE,EXCLUDE
910517,flash,EXCLUDE,EXCLUDE
910517,drive,REPLACE,drone
910517,portable,REPLACE,tablet
910517,battery,EXCLUDE,EXCLUDE
910517,video game,EXCLUDE,EXCLUDE
910517,consoles,EXCLUDE,EXCLUDE
910517,tablets,REPLACE,tablet
910517,iPads,EXCLUDE,EXCLUDE
910517,candles,EXCLUDE,EXCLUDE
910517,like,EXCLUDE,EXCLUDE
910517,Alexis,EXCLUDE,EXCLUDE
910517,using,EXCLUDE,EXCLUDE
910517,ring,EXCLUDE,EXCLUDE
910517,doorbells,EXCLUDE,EXCLUDE
910517,like the,EXCLUDE,EXCLUDE
910517,the ones with,EXCLUDE,EXCLUDE
910517,the,EXCLUDE,EXCLUDE
910517,cameras,EXCLUDE,EXCLUDE
910517,security,EXCLUDE,EXCLUDE
910517,cameras,EXCLUDE,EXCLUDE
910517,I got,EXCLUDE,EXCLUDE
910517,wireless,EXCLUDE,EXCLUDE
910517,charger,EXCLUDE,EXCLUDE
910517,charges,EXCLUDE,EXCLUDE
910517,in general,EXCLUDE,EXCLUDE
910517,stylus,EXCLUDE,EXCLUDE
910517,food,EXCLUDE,EXCLUDE
910517,processor,REPLACE,projector
910517,blender,EXCLUDE,EXCLUDE
910517,timers,EXCLUDE,EXCLUDE
910517,microwave,EXCLUDE,EXCLUDE
910517,quick,EXCLUDE,EXCLUDE
910517,remote,EXCLUDE,EXCLUDE
910517,controls,EXCLUDE,EXCLUDE
910517,phones,REPLACE,headphones
910517,cars,EXCLUDE,EXCLUDE
910517,headphones,FOUND,headphones
910517,earbuds,EXCLUDE,EXCLUDE
910517,airpods,EXCLUDE,EXCLUDE
910517,Mouse,EXCLUDE,EXCLUDE
910517,flash,EXCLUDE,EXCLUDE
910517,drive,REPLACE,drone
910517,portable,REPLACE,tablet
910517,battery,EXCLUDE,EXCLUDE
910517,video game,EXCLUDE,EXCLUDE
910517,consoles,EXCLUDE,EXCLUDE
910517,tablets,REPLACE,tablet
910517,iPads,EXCLUDE,EXCLUDE
910517,candles,EXCLUDE,EXCLUDE
910517,like,EXCLUDE,EXCLUDE
910517,Alexis,EXCLUDE,EXCLUDE
910517,using,EXCLUDE,EXCLUDE
910517,ring,EXCLUDE,EXCLUDE
910517,doorbells,EXCLUDE,EXCLUDE
910517,like the,EXCLUDE,EXCLUDE
910517,the ones with,EXCLUDE,EXCLUDE
910517,the,EXCLUDE,EXCLUDE
910517,cameras,EXCLUDE,EXCLUDE
910517,security,EXCLUDE,EXCLUDE
910517,cameras,EXCLUDE,EXCLUDE
910517,I got,EXCLUDE,EXCLUDE
910517,wireless,EXCLUDE,EXCLUDE
910517,charger,EXCLUDE,EXCLUDE
910517,charges,EXCLUDE,EXCLUDE
910517,in general,EXCLUDE,EXCLUDE
