SID,entry,evaluation,replacement
910517,kitchen,EXCLUDE,EXCLUDE
910517,microwave,FOUND,microwave
910517,blenders,REPLACE,blender
910517,ovens,REPLACE,oven
910517,pans,REPLACE,pantry
910517,pots,EXCLUDE,EXCLUDE
910517,baking,EXCLUDE,EXCLUDE
910517,trays,EXCLUDE,EXCLUDE
910517,parchment,EXCLUDE,EXCLUDE
910517,paper,REPLACE,apron
910517,aluminum,EXCLUDE,EXCLUDE
910517,foil,EXCLUDE,EXCLUDE
910517,plastic,EXCLUDE,EXCLUDE
910517,wrap,EXCLUDE,EXCLUDE
910517,like,EXCLUDE,EXCLUDE
910517,forks,EXCLUDE,EXCLUDE
910517,knives,EXCLUDE,EXCLUDE
910517,spoons,EXCLUDE,EXCLUDE
910517,spatulas,REPLACE,spatula
910517,lighters,EXCLUDE,EXCLUDE
910517,chopsticks,EXCLUDE,EXCLUDE
910517,Like,EXCLUDE,EXCLUDE
910517,This,REPLACE,whisk
910517,Rags,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,mats,EXCLUDE,EXCLUDE
910517,racks,EXCLUDE,EXCLUDE
910517,bowls,EXCLUDE,EXCLUDE
910517,plates,EXCLUDE,EXCLUDE
910517,Lids,EXCLUDE,EXCLUDE
910517,Tupperware,EXCLUDE,EXCLUDE
910517,glassware,EXCLUDE,EXCLUDE
910517,cups,REPLACE,tea cups
910517,wine,EXCLUDE,EXCLUDE
910517,glasses,EXCLUDE,EXCLUDE
910517,shot,EXCLUDE,EXCLUDE
910517,glasses,EXCLUDE,EXCLUDE
910517,beer,REPLACE,blender
910517,glasses,EXCLUDE,EXCLUDE
910517,medicine,EXCLUDE,EXCLUDE
910517,salt,EXCLUDE,EXCLUDE
910517,pepper,REPLACE,peeler
910517,sugar,EXCLUDE,EXCLUDE
910517,flour,EXCLUDE,EXCLUDE
910517,yeast,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,soap,EXCLUDE,EXCLUDE
910517,and,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,rack,EXCLUDE,EXCLUDE
910517,sponge,EXCLUDE,EXCLUDE
910517,sponge,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,coffee,EXCLUDE,EXCLUDE
910517,machine,EXCLUDE,EXCLUDE
910517,espresso,EXCLUDE,EXCLUDE
910517,machine,EXCLUDE,EXCLUDE
910517,instant,REPLACE,instant pot
910517,coffee,EXCLUDE,EXCLUDE
910517,he,EXCLUDE,EXCLUDE
910517,plants,REPLACE,pantry
910517,porcelain,EXCLUDE,EXCLUDE
910517,kitchen,EXCLUDE,EXCLUDE
910517,microwave,FOUND,microwave
910517,blenders,REPLACE,blender
910517,ovens,REPLACE,oven
910517,pans,REPLACE,pantry
910517,pots,EXCLUDE,EXCLUDE
910517,baking,EXCLUDE,EXCLUDE
910517,trays,EXCLUDE,EXCLUDE
910517,parchment,EXCLUDE,EXCLUDE
910517,paper,REPLACE,apron
910517,aluminum,EXCLUDE,EXCLUDE
910517,foil,EXCLUDE,EXCLUDE
910517,plastic,EXCLUDE,EXCLUDE
910517,wrap,EXCLUDE,EXCLUDE
910517,like,EXCLUDE,EXCLUDE
910517,forks,EXCLUDE,EXCLUDE
910517,knives,EXCLUDE,EXCLUDE
910517,spoons,EXCLUDE,EXCLUDE
910517,spatulas,REPLACE,spatula
910517,lighters,EXCLUDE,EXCLUDE
910517,chopsticks,EXCLUDE,EXCLUDE
910517,Like,EXCLUDE,EXCLUDE
910517,This,REPLACE,whisk
910517,Rags,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,mats,EXCLUDE,EXCLUDE
910517,racks,EXCLUDE,EXCLUDE
910517,bowls,EXCLUDE,EXCLUDE
910517,plates,EXCLUDE,EXCLUDE
910517,Lids,EXCLUDE,EXCLUDE
910517,Tupperware,EXCLUDE,EXCLUDE
910517,glassware,EXCLUDE,EXCLUDE
910517,cups,REPLACE,tea cups
910517,wine,EXCLUDE,EXCLUDE
910517,glasses,EXCLUDE,EXCLUDE
910517,shot,EXCLUDE,EXCLUDE
910517,glasses,EXCLUDE,EXCLUDE
910517,beer,REPLACE,blender
910517,glasses,EXCLUDE,EXCLUDE
910517,medicine,EXCLUDE,EXCLUDE
910517,salt,EXCLUDE,EXCLUDE
910517,pepper,REPLACE,peeler
910517,sugar,EXCLUDE,EXCLUDE
910517,flour,EXCLUDE,EXCLUDE
910517,yeast,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,soap,EXCLUDE,EXCLUDE
910517,and,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,rack,EXCLUDE,EXCLUDE
910517,sponge,EXCLUDE,EXCLUDE
910517,sponge,EXCLUDE,EXCLUDE
910517,dish,EXCLUDE,EXCLUDE
910517,coffee,EXCLUDE,EXCLUDE
910517,machine,EXCLUDE,EXCLUDE
910517,espresso,EXCLUDE,EXCLUDE
910517,machine,EXCLUDE,EXCLUDE
910517,instant,REPLACE,instant pot
910517,coffee,EXCLUDE,EXCLUDE
910517,he,EXCLUDE,EXCLUDE
910517,plants,REPLACE,pantry
910517,porcelain,EXCLUDE,EXCLUDE
4144,how,EXCLUDE,EXCLUDE
4144,things on the,EXCLUDE,EXCLUDE
4144,kitchen,EXCLUDE,EXCLUDE
4144,knives,EXCLUDE,EXCLUDE
4144,sinks,REPLACE,sink
4144,Forks,EXCLUDE,EXCLUDE
4144,metal,EXCLUDE,EXCLUDE
4144,spoons,EXCLUDE,EXCLUDE
4144,Wooden,REPLACE,oven
4144,Spoons,EXCLUDE,EXCLUDE
4144,stoves,REPLACE,stove
4144,and,EXCLUDE,EXCLUDE
4144,nonstick,EXCLUDE,EXCLUDE
4144,pans,REPLACE,pantry
4144,pots,EXCLUDE,EXCLUDE
4144,pot,REPLACE,tea pot
4144,holders,REPLACE,pot holders
4144,mittens,EXCLUDE,EXCLUDE
4144,in,REPLACE,sink
4144,oven,FOUND,oven
4144,sheet,EXCLUDE,EXCLUDE
4144,trays,EXCLUDE,EXCLUDE
4144,microwaves,REPLACE,microwave
4144,faucet,EXCLUDE,EXCLUDE
4144,fridge,EXCLUDE,EXCLUDE
4144,ice,REPLACE,juicer
4144,dispenser,REPLACE,dishwasher
4144,beverages,EXCLUDE,EXCLUDE
4144,sax,EXCLUDE,EXCLUDE
4144,cabinets,FOUND,cabinets
4144,bowls,EXCLUDE,EXCLUDE
4144,Ziploc,EXCLUDE,EXCLUDE
4144,bags,EXCLUDE,EXCLUDE
4144,spices,REPLACE,spice jars
4144,plates,EXCLUDE,EXCLUDE
4144,UPS,EXCLUDE,EXCLUDE
4144,mugs,EXCLUDE,EXCLUDE
4144,wine,EXCLUDE,EXCLUDE
4144,glasses,EXCLUDE,EXCLUDE
4144,wine,EXCLUDE,EXCLUDE
4144,produce,EXCLUDE,EXCLUDE
4144,bananas,EXCLUDE,EXCLUDE
4144,apples,EXCLUDE,EXCLUDE
4144,freezer,REPLACE,peeler
4144,chef,EXCLUDE,EXCLUDE
4144,napkin,EXCLUDE,EXCLUDE
538590,sink,FOUND,sink
538590,dishwasher,FOUND,dishwasher
538590,spoons,EXCLUDE,EXCLUDE
538590,forks,EXCLUDE,EXCLUDE
538590,knives,EXCLUDE,EXCLUDE
538590,cutting,EXCLUDE,EXCLUDE
538590,board,EXCLUDE,EXCLUDE
538590,play,REPLACE,pantry
538590,kids,EXCLUDE,EXCLUDE
538590,cabinets,FOUND,cabinets
538590,refrigerator,FOUND,refrigerator
538590,stove,FOUND,stove
538590,and,EXCLUDE,EXCLUDE
538590,oven,FOUND,oven
538590,microwaves,REPLACE,microwave
538590,a water,REPLACE,grater
538590,kettle,FOUND,kettle
538590,food,EXCLUDE,EXCLUDE
538590,pantry,FOUND,pantry
538590,dish,EXCLUDE,EXCLUDE
538590,soap,EXCLUDE,EXCLUDE
538590,dish,EXCLUDE,EXCLUDE
538590,gloves,REPLACE,oven
538590,faucet,EXCLUDE,EXCLUDE
538590,butter knife,REPLACE,butter dish
538590,spatula,FOUND,spatula
538590,bowls,EXCLUDE,EXCLUDE
538590,played,EXCLUDE,EXCLUDE
538590,pups,EXCLUDE,EXCLUDE
538590,smoothie,EXCLUDE,EXCLUDE
538590,maker,EXCLUDE,EXCLUDE
538590,cutting,EXCLUDE,EXCLUDE
538590,boards,EXCLUDE,EXCLUDE
929641,forks,EXCLUDE,EXCLUDE
929641,spoons,EXCLUDE,EXCLUDE
929641,knives,EXCLUDE,EXCLUDE
929641,mixer,EXCLUDE,EXCLUDE
929641,stand,EXCLUDE,EXCLUDE
929641,mixer,EXCLUDE,EXCLUDE
929641,air,EXCLUDE,EXCLUDE
929641,fryer,EXCLUDE,EXCLUDE
929641,pots,EXCLUDE,EXCLUDE
929641,pans,REPLACE,pantry
929641,dishwasher,FOUND,dishwasher
929641,plates,EXCLUDE,EXCLUDE
929641,cups,REPLACE,tea cups
929641,oven,FOUND,oven
929641,stove,FOUND,stove
929641,microwave,FOUND,microwave
929641,food,EXCLUDE,EXCLUDE
929641,Doris,EXCLUDE,EXCLUDE
929641,B,EXCLUDE,EXCLUDE
929641,batteries,EXCLUDE,EXCLUDE
929641,Ziplock,EXCLUDE,EXCLUDE
929641,bags,EXCLUDE,EXCLUDE
929641,tin,EXCLUDE,EXCLUDE
929641,foil,EXCLUDE,EXCLUDE
929641,rice,REPLACE,juicer
929641,paper,REPLACE,apron
929641,shortening,EXCLUDE,EXCLUDE
929641,butter,EXCLUDE,EXCLUDE
929641,seasoning,EXCLUDE,EXCLUDE
929641,pepper,REPLACE,peeler
929641,salt,EXCLUDE,EXCLUDE
929641,garlic,EXCLUDE,EXCLUDE
929641,powder,EXCLUDE,EXCLUDE
929641,saffron,REPLACE,apron
929641,turmeric,EXCLUDE,EXCLUDE
929641,milk,EXCLUDE,EXCLUDE
929641,oil,EXCLUDE,EXCLUDE
929641,olive,REPLACE,oven
929641,oil,EXCLUDE,EXCLUDE
929641,cooking,EXCLUDE,EXCLUDE
929641,spray,EXCLUDE,EXCLUDE
929641,Joshua,EXCLUDE,EXCLUDE
929641,later,REPLACE,grater
929641,bread,REPLACE,bread box
929641,peanut butter,EXCLUDE,EXCLUDE
929641,steel,REPLACE,stove
929641,wool,EXCLUDE,EXCLUDE
929641,sponges,REPLACE,tongs
929641,soap,EXCLUDE,EXCLUDE
929641,sync,EXCLUDE,EXCLUDE
929641,trash,REPLACE,trash can
929641,can,EXCLUDE,EXCLUDE
929641,garbage,REPLACE,grater
929641,bags,EXCLUDE,EXCLUDE
929641,bags,EXCLUDE,EXCLUDE
395439,spoons,EXCLUDE,EXCLUDE
395439,forks,EXCLUDE,EXCLUDE
395439,knives,EXCLUDE,EXCLUDE
395439,napkins,EXCLUDE,EXCLUDE
395439,plates,EXCLUDE,EXCLUDE
395439,cups,REPLACE,tea cups
395439,mugs,EXCLUDE,EXCLUDE
395439,spatulas,REPLACE,spatula
395439,kitchen,EXCLUDE,EXCLUDE
395439,knives,EXCLUDE,EXCLUDE
395439,serrated,EXCLUDE,EXCLUDE
395439,knife,EXCLUDE,EXCLUDE
395439,cutting,EXCLUDE,EXCLUDE
395439,knife,EXCLUDE,EXCLUDE
395439,charcuterie,EXCLUDE,EXCLUDE
395439,knife,EXCLUDE,EXCLUDE
395439,or,EXCLUDE,EXCLUDE
395439,The,EXCLUDE,EXCLUDE
395439,Cutting,EXCLUDE,EXCLUDE
395439,Boards,EXCLUDE,EXCLUDE
395439,cheese,EXCLUDE,EXCLUDE
395439,boards,EXCLUDE,EXCLUDE
395439,wooden,REPLACE,oven
395439,boards,EXCLUDE,EXCLUDE
395439,dishwasher,FOUND,dishwasher
395439,soap,EXCLUDE,EXCLUDE
395439,sponges,REPLACE,tongs
395439,sinks,REPLACE,sink
395439,stoves,REPLACE,stove
395439,fridges,EXCLUDE,EXCLUDE
395439,cabinets,FOUND,cabinets
395439,food,EXCLUDE,EXCLUDE
395439,drinks,REPLACE,sink
395439,spices,REPLACE,spice jars
395439,seasonings,EXCLUDE,EXCLUDE
395439,smells,EXCLUDE,EXCLUDE
395439,garbage,REPLACE,grater
395439,waste,REPLACE,toaster
395439,oils,EXCLUDE,EXCLUDE
395439,pools,EXCLUDE,EXCLUDE
395439,hands,EXCLUDE,EXCLUDE
395439,parts,EXCLUDE,EXCLUDE
395439,blenders,REPLACE,blender
395439,mixing,EXCLUDE,EXCLUDE
395439,bowls,EXCLUDE,EXCLUDE
395439,Wooden,REPLACE,oven
395439,Spoons,EXCLUDE,EXCLUDE
