SID,entry,evaluation,replacement
65c25cf77dca9d7ca7d9ebdb,how old,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,is,REPLACE,ribs
65c25cf77dca9d7ca7d9ebdb,Shane's,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,rest,REPLACE,wrist
65c25cf77dca9d7ca7d9ebdb,for,REPLACE,forearm
65c25cf77dca9d7ca7d9ebdb,bicep,REPLACE,biceps
65c25cf77dca9d7ca7d9ebdb,tricep,REPLACE,triceps
65c25cf77dca9d7ca7d9ebdb,thoughts,REPLACE,thigh
65c25cf77dca9d7ca7d9ebdb,traps,REPLACE,trapezius
65c25cf77dca9d7ca7d9ebdb,actually,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,watch,REPLACE,arch
65c25cf77dca9d7ca7d9ebdb,glutes,REPLACE,uterus
65c25cf77dca9d7ca7d9ebdb,quadriceps,FOUND,quadriceps
65c25cf77dca9d7ca7d9ebdb,how,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Domino's,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,ears,REPLACE,ear
65c25cf77dca9d7ca7d9ebdb,eyes,REPLACE,eye
65c25cf77dca9d7ca7d9ebdb,nose,FOUND,nose
65c25cf77dca9d7ca7d9ebdb,face,FOUND,face
65c25cf77dca9d7ca7d9ebdb,play,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,sheet,REPLACE,heel
65c25cf77dca9d7ca7d9ebdb,Tony,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Ray,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,streamer,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Dallas,REPLACE,patella
65c25cf77dca9d7ca7d9ebdb,Ed,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Corso,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Emmaus,REPLACE,anus
65c25cf77dca9d7ca7d9ebdb,School,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,North,REPLACE,mouth
65c25cf77dca9d7ca7d9ebdb,Coast,REPLACE,waist
65c25cf77dca9d7ca7d9ebdb,cars,REPLACE,carpals
65c25cf77dca9d7ca7d9ebdb,Dean,EXCLUDE,EXCLUDE
