SID,entry,evaluation,replacement
5e7fefe06c12706d47e35211,shirts,REPLACE,shirt
5e7fefe06c12706d47e35211,blouses,REPLACE,blouse
5e7fefe06c12706d47e35211,jackets,REPLACE,jacket
5e7fefe06c12706d47e35211,coats,REPLACE,coat
5e7fefe06c12706d47e35211,flannels,REPLACE,flannel
5e7fefe06c12706d47e35211,tank tops,REPLACE,tank top
5e7fefe06c12706d47e35211,bikinis,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,one-pieces,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,bralettes,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,sports,REPLACE,shorts
5e7fefe06c12706d47e35211,bras,REPLACE,bra
5e7fefe06c12706d47e35211,long sleeve,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,shirts,REPLACE,shirt
5e7fefe06c12706d47e35211,sweat,REPLACE,sweater
5e7fefe06c12706d47e35211,pants,FOUND,pants
5e7fefe06c12706d47e35211,Jeans,REPLACE,jeans
5e7fefe06c12706d47e35211,cargo pants,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,slacks,REPLACE,socks
5e7fefe06c12706d47e35211,shorts,FOUND,shorts
5e7fefe06c12706d47e35211,denim,FOUND,denim
5e7fefe06c12706d47e35211,shorts,FOUND,shorts
5e7fefe06c12706d47e35211,skirts,REPLACE,skirt
5e7fefe06c12706d47e35211,skirts,REPLACE,skirt
5e7fefe06c12706d47e35211,dresses,REPLACE,dress
5e7fefe06c12706d47e35211,shoes,REPLACE,shorts
5e7fefe06c12706d47e35211,bracelets,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,necklaces,REPLACE,necktie
5e7fefe06c12706d47e35211,turtlenecks,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,socks,FOUND,socks
5e7fefe06c12706d47e35211,ankle,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,warmers,REPLACE,leg warmers
5e7fefe06c12706d47e35211,leggings,FOUND,leggings
5e7fefe06c12706d47e35211,flare,REPLACE,lace
5e7fefe06c12706d47e35211,yoga,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,pants,FOUND,pants
5e7fefe06c12706d47e35211,gowns,REPLACE,crown
5e7fefe06c12706d47e35211,corsets,REPLACE,shorts
5e7fefe06c12706d47e35211,ski,REPLACE,skirt
5e7fefe06c12706d47e35211,goggles,REPLACE,gomesi
5e7fefe06c12706d47e35211,babushka,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,sarees,REPLACE,sari
65cbcaaab9e2fae86452af73,shirt,FOUND,shirt
65cbcaaab9e2fae86452af73,pants,FOUND,pants
65cbcaaab9e2fae86452af73,underwear,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,socks,FOUND,socks
65cbcaaab9e2fae86452af73,dress,FOUND,dress
65cbcaaab9e2fae86452af73,scarf,FOUND,scarf
65cbcaaab9e2fae86452af73,gloves,FOUND,gloves
65cbcaaab9e2fae86452af73,coat,FOUND,coat
65cbcaaab9e2fae86452af73,tank top,FOUND,tank top
65cbcaaab9e2fae86452af73,bras,REPLACE,bra
65cbcaaab9e2fae86452af73,panties,FOUND,panties
65cbcaaab9e2fae86452af73,thong,FOUND,thong
65cbcaaab9e2fae86452af73,bikini,REPLACE,knit
65cbcaaab9e2fae86452af73,tankini,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,one-piece,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,swimsuit,REPLACE,suit
65cbcaaab9e2fae86452af73,body,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,Sue,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,suit,FOUND,suit
65cbcaaab9e2fae86452af73,hi,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,jacket,FOUND,jacket
65cbcaaab9e2fae86452af73,sweatshirt,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,hoodie,FOUND,hoodie
65cbcaaab9e2fae86452af73,shorts,FOUND,shorts
65cbcaaab9e2fae86452af73,jeans,FOUND,jeans
65cbcaaab9e2fae86452af73,shorts,FOUND,shorts
65cbcaaab9e2fae86452af73,skort,REPLACE,skirt
65cbcaaab9e2fae86452af73,maxi,REPLACE,mohair
65cbcaaab9e2fae86452af73,dress,FOUND,dress
65cbcaaab9e2fae86452af73,leotard,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,t-shirt,FOUND,t-shirt
65cbcaaab9e2fae86452af73,trousers,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,khakis,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,camisole,FOUND,camisole
65cbcaaab9e2fae86452af73,pantaloons,EXCLUDE,EXCLUDE
65cbcaaab9e2fae86452af73,pullover,REPLACE,tulle
65cbcaaab9e2fae86452af73,sweater,FOUND,sweater
65cbcaaab9e2fae86452af73,knit,FOUND,knit
65cbcaaab9e2fae86452af73,hijab,FOUND,hijab
