Subject,Fluency_Item,Switch_Value,Switch_Method
5c1942e200849900010afdcd,rose,2,simdrop
5c1942e200849900010afdcd,violet,0,simdrop
5c1942e200849900010afdcd,sunflower,1,simdrop
5c1942e200849900010afdcd,daffodil,0,simdrop
5c1942e200849900010afdcd,lily,0,simdrop
5c1942e200849900010afdcd,aster,0,simdrop
5c1942e200849900010afdcd,lily,0,simdrop
5c1942e200849900010afdcd,waxflower,0,simdrop
5c1942e200849900010afdcd,lily,0,simdrop
5c1942e200849900010afdcd,tulip,0,simdrop
5c1942e200849900010afdcd,chrysanthemum,1,simdrop
5c1942e200849900010afdcd,magnolia,2,simdrop
5c4a428161c51f0001e96b3f,waxflower,2,simdrop
5c4a428161c51f0001e96b3f,iris,0,simdrop
5c4a428161c51f0001e96b3f,tulip,0,simdrop
5c4a428161c51f0001e96b3f,rose,0,simdrop
5c4a428161c51f0001e96b3f,lavender,0,simdrop
5c4a428161c51f0001e96b3f,sunflower,0,simdrop
5c4a428161c51f0001e96b3f,iris,0,simdrop
5c4a428161c51f0001e96b3f,waxflower,1,simdrop
5c4a428161c51f0001e96b3f,waxflower,0,simdrop
5c4a428161c51f0001e96b3f,bluebell,1,simdrop
5c4a428161c51f0001e96b3f,windflower,0,simdrop
5c4a428161c51f0001e96b3f,rose,0,simdrop
5c4a428161c51f0001e96b3f,daffodil,0,simdrop
5c4a428161c51f0001e96b3f,waxflower,1,simdrop
5c4a428161c51f0001e96b3f,statice,0,simdrop
5c4a428161c51f0001e96b3f,waxflower,2,simdrop
5d3cc9010e510a00013df6f6,rose,2,simdrop
5d3cc9010e510a00013df6f6,sunflower,0,simdrop
5d3cc9010e510a00013df6f6,tulip,0,simdrop
5d3cc9010e510a00013df6f6,lily,1,simdrop
5d3cc9010e510a00013df6f6,daisy,0,simdrop
5d3cc9010e510a00013df6f6,chrysanthemum,2,simdrop
5e7fefe06c12706d47e35211,lily,2,simdrop
5e7fefe06c12706d47e35211,daisy,0,simdrop
5e7fefe06c12706d47e35211,sunflower,0,simdrop
5e7fefe06c12706d47e35211,magnolia,1,simdrop
5e7fefe06c12706d47e35211,waxflower,0,simdrop
5e7fefe06c12706d47e35211,rose,0,simdrop
5e7fefe06c12706d47e35211,tulip,0,simdrop
5e7fefe06c12706d47e35211,clover,2,simdrop
5e8a76b3939b3072dc76fb5c,daisy,2,simdrop
5e8a76b3939b3072dc76fb5c,iris,0,simdrop
5e8a76b3939b3072dc76fb5c,tulip,1,simdrop
5e8a76b3939b3072dc76fb5c,sunflower,0,simdrop
5e8a76b3939b3072dc76fb5c,catmint,0,simdrop
5e8a76b3939b3072dc76fb5c,rose,1,simdrop
5e8a76b3939b3072dc76fb5c,violet,0,simdrop
5e8a76b3939b3072dc76fb5c,clover,2,simdrop
5ed9311e1a69d449577bb8cf,rose,2,simdrop
5ed9311e1a69d449577bb8cf,tulip,0,simdrop
5ed9311e1a69d449577bb8cf,lily,0,simdrop
