Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.4138904192706574,0.19884923707750163,6.463602661614987,1.455516498404625,10.0,simdrop,1,5.0,1.0
5c4a428161c51f0001e96b3f,0.43642035086255504,0.2747691947385929,6.957093056077128,1.6127135471520513,27.0,simdrop,3,6.75,2.48746859276655
5d3cc9010e510a00013df6f6,0.4382294477642125,0.1362126067466738,6.421756671729902,1.7951195463507554,10.0,simdrop,2,3.3333333333333335,0.4714045207910317
5e7fefe06c12706d47e35211,0.35778003477292775,0.14129535375201627,6.490245684803989,1.611668306226829,17.0,simdrop,4,3.4,1.9595917942265424
5e8a76b3939b3072dc76fb5c,0.44165808251446864,0.10866577853708907,7.034033928194941,1.6685379702623695,6.0,simdrop,0,6.0,0.0
5ed9311e1a69d449577bb8cf,0.5570410127162496,0.2817561671499226,7.105520140223764,1.3694483099865562,13.0,simdrop,3,3.25,1.6393596310755
5f6c102b6ec04317fc9a8127,0.46279977313870624,0.19896612682102685,6.970049486925307,1.3703130158418315,14.0,simdrop,3,3.5,0.8660254037844386
5fc6df58f380620a09116434,0.506829837393059,0.26112161590864924,6.9462609620307205,1.3306658877328637,25.0,simdrop,7,3.125,1.2686114456365274
60da4f9aa1ced7efeecca18a,0.46000621579383355,0.16596670951595113,6.447171224033109,1.7908963418337767,18.0,simdrop,4,3.6,1.9595917942265424
60fcf1a04c245326d05076e0,0.43720791458738084,0.1423040986989727,6.973264364634793,1.4237652476846798,22.0,simdrop,6,3.142857142857143,1.7261494247992246
61035836646fb6ee2152f950,0.4514573592700849,0.18293572527346974,6.590459586320547,1.4569273431826362,17.0,simdrop,3,4.25,2.384848003542364
612e6569f68929afb886fb5c,0.5085341635900158,0.18682157364606253,6.641533619754844,1.4438919789487583,23.0,simdrop,7,2.875,1.165922381636102
65512e3cc12f463bc327b7c3,0.3891365217407594,0.12836690785892477,7.126196898397555,1.2620422920332703,17.0,simdrop,4,3.4,1.7435595774162693
65778c02cde55736bb830eca,0.4435932956059503,0.17534451736823492,6.83420100707929,1.6618937385679333,18.0,simdrop,3,4.5,2.958039891549808
6595e3b4dc9090390e4edb5f,0.41663467673868226,0.18614827552269278,6.766153688031343,1.5018368669331439,22.0,simdrop,4,4.4,1.3564659966250536
65c10fdabd93bdc59f95835b,0.5086025094730792,0.30424792495982605,7.397002537228108,1.5094497588868931,17.0,simdrop,3,4.25,1.0897247358851685
65c18079d4f634d2c8a0728c,0.4908340446851964,0.22143161225014024,7.093956202051763,1.6640556725494173,9.0,simdrop,1,4.5,0.5
65cb586172a8853f26cc8eec,0.35675154433165807,0.08504474340253172,7.912405251775723,0.9624705816103668,7.0,simdrop,1,3.5,0.5
65cbcaaab9e2fae86452af73,0.397938854105612,0.10165732282297497,7.675298847348281,0.8909711416162139,11.0,simdrop,2,3.6666666666666665,1.699673171197595
65cc2139907d390e13480a97,0.4743628923734947,0.21665062889156184,6.879255400843474,1.5189410073422913,12.0,simdrop,2,4.0,2.160246899469287
65d26dcd13d9c8026aa92c4a,0.4157166650427925,0.11692643622991389,6.703460330293712,1.6828608738467608,18.0,simdrop,4,3.6,1.4966629547095764
65d6af2397543519d98f2498,0.4056619253154632,0.098991094240703,6.49589527429625,1.3887237726815427,17.0,simdrop,4,3.4,1.4966629547095764
65e63b7fc845c96c2c2520bc,0.48475065255003696,0.19793429234787915,6.959507487832,1.3903501946745047,31.0,simdrop,9,3.1,1.1357816691600546
65eeceee847314e8232923c9,0.26645128407878094,0.0,6.457450729229796,2.638112813538919,4.0,simdrop,0,4.0,0.0
65ef726771fe85fd222416d1,0.4067667843312692,0.1395238772745942,6.893107596649657,1.7330052887230591,12.0,simdrop,1,6.0,5.0
65f1ec7ae5a09035345db62e,0.5122571574630037,0.17766763913966233,6.9428681952253255,1.4606270786246585,24.0,simdrop,4,4.8,0.7483314773547882
65f36565fe88b95d6806e496,0.3450628114406036,0.055416278947183546,6.922480158529033,1.6507843825204964,7.0,simdrop,1,3.5,2.5
65f3d5016e5acb0fd67df6ee,0.2765492738257137,0.01584384046296591,6.7320143828888845,2.0912842843899733,5.0,simdrop,0,5.0,0.0
