Subject,Fluency_Item,Switch_Value,Switch_Method
5c1942e200849900010afdcd,table,2,simdrop
5c1942e200849900010afdcd,desk,0,simdrop
5c1942e200849900010afdcd,armoire,0,simdrop
5c1942e200849900010afdcd,sofa,0,simdrop
5c1942e200849900010afdcd,hutch,0,simdrop
5c1942e200849900010afdcd,chair,1,simdrop
5c1942e200849900010afdcd,stool,0,simdrop
5c1942e200849900010afdcd,bar stool,0,simdrop
5c1942e200849900010afdcd,hammock,0,simdrop
5c1942e200849900010afdcd,tv cabinet,2,simdrop
5c4a428161c51f0001e96b3f,chest,2,simdrop
5c4a428161c51f0001e96b3f,bed,0,simdrop
5c4a428161c51f0001e96b3f,loveseat,0,simdrop
5c4a428161c51f0001e96b3f,glider,0,simdrop
5c4a428161c51f0001e96b3f,nightstand,1,simdrop
5c4a428161c51f0001e96b3f,pouffe,0,simdrop
5c4a428161c51f0001e96b3f,chair,0,simdrop
5c4a428161c51f0001e96b3f,pouffe,0,simdrop
5c4a428161c51f0001e96b3f,table,0,simdrop
5c4a428161c51f0001e96b3f,vanity,0,simdrop
5c4a428161c51f0001e96b3f,table,0,simdrop
5c4a428161c51f0001e96b3f,pouffe,0,simdrop
5c4a428161c51f0001e96b3f,table,0,simdrop
5c4a428161c51f0001e96b3f,table,0,simdrop
5c4a428161c51f0001e96b3f,bench,0,simdrop
5c4a428161c51f0001e96b3f,chair,1,simdrop
5c4a428161c51f0001e96b3f,chair,0,simdrop
5c4a428161c51f0001e96b3f,chair,0,simdrop
5c4a428161c51f0001e96b3f,poof,0,simdrop
5c4a428161c51f0001e96b3f,chair,0,simdrop
5c4a428161c51f0001e96b3f,chair,0,simdrop
5c4a428161c51f0001e96b3f,bunk bed,1,simdrop
5c4a428161c51f0001e96b3f,bed,0,simdrop
5c4a428161c51f0001e96b3f,desk,0,simdrop
5c4a428161c51f0001e96b3f,pouffe,0,simdrop
5c4a428161c51f0001e96b3f,desk,0,simdrop
5c4a428161c51f0001e96b3f,chest,2,simdrop
5d3cc9010e510a00013df6f6,chest,2,simdrop
5d3cc9010e510a00013df6f6,pouffe,0,simdrop
5d3cc9010e510a00013df6f6,table,1,simdrop
5d3cc9010e510a00013df6f6,loveseat,0,simdrop
5d3cc9010e510a00013df6f6,recliner,0,simdrop
5d3cc9010e510a00013df6f6,nightstand,1,simdrop
5d3cc9010e510a00013df6f6,table,0,simdrop
5d3cc9010e510a00013df6f6,dresser,0,simdrop
5d3cc9010e510a00013df6f6,tv stand,0,simdrop
5d3cc9010e510a00013df6f6,chair,2,simdrop
5e7fefe06c12706d47e35211,sofa,2,simdrop
5e7fefe06c12706d47e35211,hutch,0,simdrop
5e7fefe06c12706d47e35211,loveseat,0,simdrop
5e7fefe06c12706d47e35211,table,0,simdrop
5e7fefe06c12706d47e35211,chair,0,simdrop
5e7fefe06c12706d47e35211,desk,0,simdrop
5e7fefe06c12706d47e35211,pouffe,1,simdrop
5e7fefe06c12706d47e35211,chair,0,simdrop
5e7fefe06c12706d47e35211,dresser,1,simdrop
5e7fefe06c12706d47e35211,nightstand,0,simdrop
5e7fefe06c12706d47e35211,loveseat,0,simdrop
5e7fefe06c12706d47e35211,server,0,simdrop
5e7fefe06c12706d47e35211,ottoman,1,simdrop
5e7fefe06c12706d47e35211,pouffe,0,simdrop
5e7fefe06c12706d47e35211,table,1,simdrop
5e7fefe06c12706d47e35211,chest,0,simdrop
5e7fefe06c12706d47e35211,tv cabinet,2,simdrop
5e8a76b3939b3072dc76fb5c,chest,2,simdrop
5e8a76b3939b3072dc76fb5c,sofa,0,simdrop
5e8a76b3939b3072dc76fb5c,tv cabinet,0,simdrop
5e8a76b3939b3072dc76fb5c,desk,0,simdrop
5e8a76b3939b3072dc76fb5c,table,0,simdrop
5e8a76b3939b3072dc76fb5c,server,2,simdrop
5ed9311e1a69d449577bb8cf,desk,2,simdrop
5ed9311e1a69d449577bb8cf,tv stand,0,simdrop
5ed9311e1a69d449577bb8cf,hutch,1,simdrop
5ed9311e1a69d449577bb8cf,sofa,0,simdrop
5ed9311e1a69d449577bb8cf,hutch,0,simdrop
5ed9311e1a69d449577bb8cf,settee,0,simdrop
5ed9311e1a69d449577bb8cf,chair,0,simdrop
5ed9311e1a69d449577bb8cf,stool,0,simdrop
5ed9311e1a69d449577bb8cf,table,1,simdrop
5ed9311e1a69d449577bb8cf,table,0,simdrop
5ed9311e1a69d449577bb8cf,chair,1,simdrop
5ed9311e1a69d449577bb8cf,chair,0,simdrop
5ed9311e1a69d449577bb8cf,chair,2,simdrop
5f6c102b6ec04317fc9a8127,chair,2,simdrop
5f6c102b6ec04317fc9a8127,table,0,simdrop
5f6c102b6ec04317fc9a8127,desk,0,simdrop
5f6c102b6ec04317fc9a8127,server,0,simdrop
5f6c102b6ec04317fc9a8127,stool,1,simdrop
5f6c102b6ec04317fc9a8127,chest,0,simdrop
5f6c102b6ec04317fc9a8127,chest,0,simdrop
5f6c102b6ec04317fc9a8127,nightstand,1,simdrop
5f6c102b6ec04317fc9a8127,recliner,0,simdrop
5f6c102b6ec04317fc9a8127,stool,0,simdrop
5f6c102b6ec04317fc9a8127,loveseat,1,simdrop
5f6c102b6ec04317fc9a8127,bench,0,simdrop
5f6c102b6ec04317fc9a8127,pouffe,0,simdrop
5f6c102b6ec04317fc9a8127,table,2,simdrop
5fc6df58f380620a09116434,desk,2,simdrop
5fc6df58f380620a09116434,chair,0,simdrop
5fc6df58f380620a09116434,bed,1,simdrop
5fc6df58f380620a09116434,table,0,simdrop
5fc6df58f380620a09116434,tv cabinet,1,simdrop
5fc6df58f380620a09116434,dresser,0,simdrop
5fc6df58f380620a09116434,dresser,0,simdrop
5fc6df58f380620a09116434,bookshelf,1,simdrop
5fc6df58f380620a09116434,bookshelf,0,simdrop
5fc6df58f380620a09116434,nightstand,0,simdrop
5fc6df58f380620a09116434,ottoman,0,simdrop
5fc6df58f380620a09116434,hutch,1,simdrop
5fc6df58f380620a09116434,loveseat,0,simdrop
5fc6df58f380620a09116434,bar stool,1,simdrop
5fc6df58f380620a09116434,recliner,0,simdrop
5fc6df58f380620a09116434,chair,0,simdrop
5fc6df58f380620a09116434,sofa,0,simdrop
5fc6df58f380620a09116434,chest,0,simdrop
5fc6df58f380620a09116434,glider,0,simdrop
5fc6df58f380620a09116434,table,1,simdrop
5fc6df58f380620a09116434,bench,0,simdrop
5fc6df58f380620a09116434,bench,0,simdrop
5fc6df58f380620a09116434,table,1,simdrop
5fc6df58f380620a09116434,table,0,simdrop
5fc6df58f380620a09116434,chair,2,simdrop
60da4f9aa1ced7efeecca18a,desk,2,simdrop
60da4f9aa1ced7efeecca18a,table,0,simdrop
60da4f9aa1ced7efeecca18a,bed,0,simdrop
60da4f9aa1ced7efeecca18a,hutch,1,simdrop
60da4f9aa1ced7efeecca18a,bench,0,simdrop
60da4f9aa1ced7efeecca18a,pouffe,0,simdrop
60da4f9aa1ced7efeecca18a,chair,0,simdrop
60da4f9aa1ced7efeecca18a,chair,0,simdrop
60da4f9aa1ced7efeecca18a,table,0,simdrop
60da4f9aa1ced7efeecca18a,loveseat,0,simdrop
60da4f9aa1ced7efeecca18a,tv stand,1,simdrop
60da4f9aa1ced7efeecca18a,desk,0,simdrop
60da4f9aa1ced7efeecca18a,tv cabinet,0,simdrop
60da4f9aa1ced7efeecca18a,loveseat,1,simdrop
60da4f9aa1ced7efeecca18a,dresser,0,simdrop
60da4f9aa1ced7efeecca18a,tv stand,0,simdrop
60da4f9aa1ced7efeecca18a,bed,1,simdrop
60da4f9aa1ced7efeecca18a,futon,2,simdrop
60fcf1a04c245326d05076e0,bed,2,simdrop
60fcf1a04c245326d05076e0,nightstand,0,simdrop
60fcf1a04c245326d05076e0,dresser,0,simdrop
60fcf1a04c245326d05076e0,hutch,0,simdrop
60fcf1a04c245326d05076e0,table,1,simdrop
60fcf1a04c245326d05076e0,loveseat,0,simdrop
60fcf1a04c245326d05076e0,sofa,0,simdrop
60fcf1a04c245326d05076e0,table,0,simdrop
60fcf1a04c245326d05076e0,bed,0,simdrop
60fcf1a04c245326d05076e0,table,0,simdrop
60fcf1a04c245326d05076e0,ottoman,1,simdrop
60fcf1a04c245326d05076e0,pouffe,0,simdrop
60fcf1a04c245326d05076e0,table,1,simdrop
60fcf1a04c245326d05076e0,desk,0,simdrop
60fcf1a04c245326d05076e0,wardrobe,1,simdrop
60fcf1a04c245326d05076e0,bookshelf,0,simdrop
60fcf1a04c245326d05076e0,bench,1,simdrop
60fcf1a04c245326d05076e0,chair,0,simdrop
60fcf1a04c245326d05076e0,high chair,0,simdrop
60fcf1a04c245326d05076e0,bar stool,0,simdrop
60fcf1a04c245326d05076e0,table,1,simdrop
60fcf1a04c245326d05076e0,footstool,2,simdrop
61035836646fb6ee2152f950,sofa,2,simdrop
61035836646fb6ee2152f950,hutch,0,simdrop
61035836646fb6ee2152f950,futon,1,simdrop
61035836646fb6ee2152f950,bench,0,simdrop
61035836646fb6ee2152f950,loveseat,0,simdrop
61035836646fb6ee2152f950,desk,0,simdrop
61035836646fb6ee2152f950,credenza,0,simdrop
61035836646fb6ee2152f950,pouffe,0,simdrop
