SID,entry,evaluation,replacement
5d7ff4aa50fda7001a863736,painting,FOUND,painting
5d7ff4aa50fda7001a863736,drawing,FOUND,drawing
5d7ff4aa50fda7001a863736,reading,REPLACE,beading
5d7ff4aa50fda7001a863736,video,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,games,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,I'm,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,hiking,FOUND,hiking
5d7ff4aa50fda7001a863736,dancing,REPLACE,tap dancing
5d7ff4aa50fda7001a863736,skating,REPLACE,sketching
5d7ff4aa50fda7001a863736,roller,REPLACE,collage
5d7ff4aa50fda7001a863736,skating,REPLACE,sketching
5d7ff4aa50fda7001a863736,skateboarding,REPLACE,wakeboarding
5d7ff4aa50fda7001a863736,running,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,cooking,FOUND,cooking
5d7ff4aa50fda7001a863736,baking,FOUND,baking
5d7ff4aa50fda7001a863736,clean,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,instrument,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,basketball,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,soccer,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,football,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,volleyball,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,fishing,FOUND,fishing
5d7ff4aa50fda7001a863736,swimming,REPLACE,sewing
5d7ff4aa50fda7001a863736,something,REPLACE,sketching
5d7ff4aa50fda7001a863736,writing,REPLACE,wrestling
5d7ff4aa50fda7001a863736,cycling,REPLACE,pickling
5d7ff4aa50fda7001a863736,singing,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,watching,REPLACE,birdwatching
5d7ff4aa50fda7001a863736,TV,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,journaling,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,gardening,FOUND,gardening
5d7ff4aa50fda7001a863736,hunting,FOUND,hunting
5d7ff4aa50fda7001a863736,martial arts,FOUND,martial arts
5d7ff4aa50fda7001a863736,sewing,FOUND,sewing
5d7ff4aa50fda7001a863736,knitting,FOUND,knitting
5d7ff4aa50fda7001a863736,crocheting,FOUND,crocheting
65e358d9c5e3ee026268b2a7,Sports,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,so,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,volleyball,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,basketball,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,football,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,tennis,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,baseball,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,rugby,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,track,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,and,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,field,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,cross-country,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,ballet,FOUND,ballet
65e358d9c5e3ee026268b2a7,gymnastics,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,other,REPLACE,pottery
65e358d9c5e3ee026268b2a7,Hobbies,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,reading-writing,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,hiking,FOUND,hiking
65e358d9c5e3ee026268b2a7,meditating,REPLACE,editing
65e358d9c5e3ee026268b2a7,yoga,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,exercise,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,so the,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,gym,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,powerlifting,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,strength,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,training,REPLACE,painting
65e358d9c5e3ee026268b2a7,cardio,REPLACE,cardistry
65e358d9c5e3ee026268b2a7,swimming,REPLACE,sewing
65e358d9c5e3ee026268b2a7,knitting,FOUND,knitting
65e358d9c5e3ee026268b2a7,or,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,crocheting,FOUND,crocheting
65e358d9c5e3ee026268b2a7,bicycling,REPLACE,pickling
65e358d9c5e3ee026268b2a7,bicycling,REPLACE,pickling
65e358d9c5e3ee026268b2a7,on,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,roadways,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,or,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,mountain,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,biking,REPLACE,iking
65e358d9c5e3ee026268b2a7,sleeping,REPLACE,fishkeeping
65e358d9c5e3ee026268b2a7,I guess,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,being,REPLACE,beading
65e358d9c5e3ee026268b2a7,an,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,entrepreneur,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,having a,REPLACE,caving
65e358d9c5e3ee026268b2a7,business,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,hobby,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,sub,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,vacationing,REPLACE,cartooning
65e358d9c5e3ee026268b2a7,building,REPLACE,bouldering
65e358d9c5e3ee026268b2a7,model,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,train,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,sets,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,building,REPLACE,bouldering
65e358d9c5e3ee026268b2a7,Lego,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,sets,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,collecting,REPLACE,cd collecting
65e358d9c5e3ee026268b2a7,things,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,Rock,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,collections,EXCLUDE,EXCLUDE
