Subject,Fluency_Item,Switch_Value,Switch_Method
5885f97f41da4500014d3645,christmas,2,simdrop
5885f97f41da4500014d3645,easter,0,simdrop
5885f97f41da4500014d3645,ramadan,1,simdrop
5885f97f41da4500014d3645,kwanzaa,0,simdrop
5885f97f41da4500014d3645,earth day,2,simdrop
5d7ff4aa50fda7001a863736,christmas,2,simdrop
5d7ff4aa50fda7001a863736,halloween,0,simdrop
5d7ff4aa50fda7001a863736,thanksgiving,0,simdrop
5d7ff4aa50fda7001a863736,easter,0,simdrop
5d7ff4aa50fda7001a863736,labor day,2,simdrop
5f1f3581b5cf3e103cc545c9,ramadan,2,simdrop
5f5aa60bef062519ff711fe6,ramadan,2,simdrop
5f5aa60bef062519ff711fe6,christmas,0,simdrop
5f5aa60bef062519ff711fe6,halloween,0,simdrop
5f5aa60bef062519ff711fe6,easter,0,simdrop
5f5aa60bef062519ff711fe6,hanukkah,0,simdrop
5f5aa60bef062519ff711fe6,thanksgiving,2,simdrop
6001487015e5f62961639e7d,labor day,2,simdrop
6001487015e5f62961639e7d,easter,0,simdrop
6001487015e5f62961639e7d,halloween,0,simdrop
6001487015e5f62961639e7d,christmas,0,simdrop
6001487015e5f62961639e7d,thanksgiving,0,simdrop
6001487015e5f62961639e7d,easter,2,simdrop
601f6a2231a2904b79df1671,christmas,2,simdrop
601f6a2231a2904b79df1671,thanksgiving,0,simdrop
601f6a2231a2904b79df1671,halloween,1,simdrop
601f6a2231a2904b79df1671,easter,0,simdrop
601f6a2231a2904b79df1671,christmas,0,simdrop
601f6a2231a2904b79df1671,labor day,0,simdrop
601f6a2231a2904b79df1671,hanukkah,1,simdrop
601f6a2231a2904b79df1671,kwanzaa,0,simdrop
601f6a2231a2904b79df1671,passover,1,simdrop
601f6a2231a2904b79df1671,ramadan,0,simdrop
601f6a2231a2904b79df1671,national day,1,simdrop
601f6a2231a2904b79df1671,national day,2,simdrop
6073e0d481953bbd2cd61145,christmas,2,simdrop
6073e0d481953bbd2cd61145,easter,0,simdrop
6073e0d481953bbd2cd61145,halloween,0,simdrop
6073e0d481953bbd2cd61145,thanksgiving,0,simdrop
6073e0d481953bbd2cd61145,ramadan,1,simdrop
6073e0d481953bbd2cd61145,kwanzaa,0,simdrop
6073e0d481953bbd2cd61145,labor day,2,simdrop
6081806ab383aa89f6c61940,labor day,2,simdrop
6081806ab383aa89f6c61940,christmas,0,simdrop
6081806ab383aa89f6c61940,christmas,0,simdrop
6081806ab383aa89f6c61940,thanksgiving,0,simdrop
6081806ab383aa89f6c61940,easter,0,simdrop
6081806ab383aa89f6c61940,hanukkah,1,simdrop
6081806ab383aa89f6c61940,kwanzaa,0,simdrop
6081806ab383aa89f6c61940,ramadan,2,simdrop
60a48adfe091e410f4eaba34,christmas,2,simdrop
60a48adfe091e410f4eaba34,easter,0,simdrop
60a48adfe091e410f4eaba34,thanksgiving,1,simdrop
60a48adfe091e410f4eaba34,halloween,2,simdrop
60d731567049e5132e3cc4d4,easter,2,simdrop
60d731567049e5132e3cc4d4,labor day,0,simdrop
60d731567049e5132e3cc4d4,halloween,0,simdrop
60d731567049e5132e3cc4d4,thanksgiving,0,simdrop
60d731567049e5132e3cc4d4,christmas,0,simdrop
60d731567049e5132e3cc4d4,kwanzaa,0,simdrop
60d731567049e5132e3cc4d4,ramadan,0,simdrop
60d731567049e5132e3cc4d4,hanukkah,1,simdrop
60d731567049e5132e3cc4d4,easter,2,simdrop
610c59ee34cc312d7ca55e45,earth day,2,simdrop
610c59ee34cc312d7ca55e45,labor day,0,simdrop
610c59ee34cc312d7ca55e45,labor day,0,simdrop
610c59ee34cc312d7ca55e45,thanksgiving,1,simdrop
610c59ee34cc312d7ca55e45,christmas,0,simdrop
610c59ee34cc312d7ca55e45,christmas,0,simdrop
610c59ee34cc312d7ca55e45,good friday,1,simdrop
610c59ee34cc312d7ca55e45,easter,0,simdrop
610c59ee34cc312d7ca55e45,hanukkah,1,simdrop
610c59ee34cc312d7ca55e45,kwanzaa,0,simdrop
610c59ee34cc312d7ca55e45,halloween,2,simdrop
61363ce02e6022a741d63a6e,christmas,2,simdrop
61363ce02e6022a741d63a6e,christmas,0,simdrop
61363ce02e6022a741d63a6e,easter,0,simdrop
61363ce02e6022a741d63a6e,labor day,0,simdrop
61363ce02e6022a741d63a6e,easter,2,simdrop
629e241d171ec6698e05f149,easter,2,simdrop
629e241d171ec6698e05f149,christmas,0,simdrop
629e241d171ec6698e05f149,christmas,0,simdrop
629e241d171ec6698e05f149,christmas,0,simdrop
629e241d171ec6698e05f149,hanukkah,0,simdrop
629e241d171ec6698e05f149,thanksgiving,1,simdrop
629e241d171ec6698e05f149,halloween,2,simdrop
63619eb02e5bd8f4f7bd138a,christmas,2,simdrop
63619eb02e5bd8f4f7bd138a,halloween,0,simdrop
63619eb02e5bd8f4f7bd138a,easter,0,simdrop
