SID,entry,evaluation,replacement
65c25cf77dca9d7ca7d9ebdb,microwaves,REPLACE,microwave
65c25cf77dca9d7ca7d9ebdb,fridge,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,freezer,FOUND,freezer
65c25cf77dca9d7ca7d9ebdb,Oster,REPLACE,toaster
65c25cf77dca9d7ca7d9ebdb,toaster,FOUND,toaster
65c25cf77dca9d7ca7d9ebdb,oven,FOUND,oven
65c25cf77dca9d7ca7d9ebdb,air,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,fryer,REPLACE,freezer
65c25cf77dca9d7ca7d9ebdb,mixer,FOUND,mixer
65c25cf77dca9d7ca7d9ebdb,coffee,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,machine,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,can you be,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,born,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,ice,REPLACE,juicer
65c25cf77dca9d7ca7d9ebdb,maker,REPLACE,ice maker
65c25cf77dca9d7ca7d9ebdb,rice,REPLACE,juicer
65c25cf77dca9d7ca7d9ebdb,cooker,REPLACE,egg cooker
65c25cf77dca9d7ca7d9ebdb,steamer,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,fryer,REPLACE,freezer
65c25cf77dca9d7ca7d9ebdb,dishwasher,FOUND,dishwasher
65c25cf77dca9d7ca7d9ebdb,ink,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Smith,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,fire,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,oven,FOUND,oven
65cb63e160bb47fbf9349269,microwave,FOUND,microwave
65cb63e160bb47fbf9349269,fridge,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,coffee,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,maker,REPLACE,ice maker
65cb63e160bb47fbf9349269,mixers,REPLACE,mixer
65cb63e160bb47fbf9349269,ovens,REPLACE,oven
65cb63e160bb47fbf9349269,toaster,FOUND,toaster
65cb63e160bb47fbf9349269,ovens,REPLACE,oven
65cb63e160bb47fbf9349269,toasters,REPLACE,toaster
65cb63e160bb47fbf9349269,washing,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,machine,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,drawing,REPLACE,range
65cb63e160bb47fbf9349269,machine,EXCLUDE,EXCLUDE
65cb63e160bb47fbf9349269,dishwasher,FOUND,dishwasher
65cb63e160bb47fbf9349269,Dothan,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,stove,FOUND,stove
65d54b3b524fcafb543d1b23,top,REPLACE,cooktop
65d54b3b524fcafb543d1b23,oven,FOUND,oven
65d54b3b524fcafb543d1b23,air,EXCLUDE,EXCLUDE
