Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
5885f97f41da4500014d3645,forage_dynamic_simdrop,5.145603921596392,1.361061328450794,,19.97208322801019
5885f97f41da4500014d3645,forage_random_baseline,0.0,0.0,,27.631021115928544
5d7ff4aa50fda7001a863736,forage_dynamic_simdrop,3.5960646157695293,2.9559323521193988,,60.546280881719355
5d7ff4aa50fda7001a863736,forage_random_baseline,0.0,0.0,,82.89306334778563
5f1f3581b5cf3e103cc545c9,forage_dynamic_simdrop,5.5117605970662575,0.7284452422883526,,13.241427042645912
5f1f3581b5cf3e103cc545c9,forage_random_baseline,0.0,0.0,,18.420680743952364
5f5aa60bef062519ff711fe6,forage_dynamic_simdrop,3.4955060465249614,1.9763232463972358,,40.357408077211055
5f5aa60bef062519ff711fe6,forage_random_baseline,0.0,0.0,,50.65687204586901
6001487015e5f62961639e7d,forage_dynamic_simdrop,3.101908639900021,1.999602420222646,,48.21157127790661
6001487015e5f62961639e7d,forage_random_baseline,0.0,0.0,,59.867212417845195
600f9342e7bc5518fa9ca92a,forage_dynamic_simdrop,3.861840461114569,0.6794544686394212,,33.872741998723285
600f9342e7bc5518fa9ca92a,forage_random_baseline,0.0,0.0,,41.44653167389282
601f6a2231a2904b79df1671,forage_dynamic_simdrop,3.3003838497290627,2.726112977198305,,55.3623776938317
601f6a2231a2904b79df1671,forage_random_baseline,0.0,0.0,,73.68272297580945
6073e0d481953bbd2cd61145,forage_dynamic_simdrop,6.462461394047502,1.16737722950102,,18.351177800119086
6073e0d481953bbd2cd61145,forage_random_baseline,0.0,0.0,,27.631021115928544
6081806ab383aa89f6c61940,forage_dynamic_simdrop,3.541732415576817,2.0144082324309758,,57.64534570844965
6081806ab383aa89f6c61940,forage_random_baseline,0.0,0.0,,73.68272297580945
60a48adfe091e410f4eaba34,forage_dynamic_simdrop,2.9004365247154418,2.3792437659419226,,36.893326963586965
60a48adfe091e410f4eaba34,forage_random_baseline,0.0,0.0,,46.051701859880914
60d731567049e5132e3cc4d4,forage_dynamic_simdrop,3.8835774247359227,2.0713309168491243,,56.983544733336004
60d731567049e5132e3cc4d4,forage_random_baseline,0.0,0.0,,73.68272297580945
610c59ee34cc312d7ca55e45,forage_dynamic_simdrop,4.0313392333044336,1.858285415643983,,46.07428945867913
610c59ee34cc312d7ca55e45,forage_random_baseline,0.0,0.0,,59.867212417845195
61363ce02e6022a741d63a6e,forage_dynamic_simdrop,4.094684211544962,0.24076967075974712,,37.19972110156239
61363ce02e6022a741d63a6e,forage_random_baseline,0.0,0.0,,46.051701859880914
629e241d171ec6698e05f149,forage_dynamic_simdrop,4.973901665487713,2.362365756015626,,47.17715037246955
629e241d171ec6698e05f149,forage_random_baseline,0.0,0.0,,69.07755278982137
63619eb02e5bd8f4f7bd138a,forage_dynamic_simdrop,5.0267632484343405,2.1721734524650924,,32.367106513166036
63619eb02e5bd8f4f7bd138a,forage_random_baseline,0.0,0.0,,46.051701859880914
63e802622f8052bd67d6c5f0,forage_dynamic_simdrop,4.563679667586244,1.9358795218381972,,24.088378694658093
63e802622f8052bd67d6c5f0,forage_random_baseline,0.0,0.0,,32.236191301916634
63ea4ab1ce4168cbe9f63775,forage_dynamic_simdrop,4.072910546002054,2.553214912125236,,68.61124934282064
63ea4ab1ce4168cbe9f63775,forage_random_baseline,0.0,0.0,,96.70857390574989
654108d38225e168af4b1fa0,forage_dynamic_simdrop,3.5979733313608224,2.619197632187931,,47.416317401855316
654108d38225e168af4b1fa0,forage_random_baseline,0.0,0.0,,64.47238260383328
6554de7d91c1b1bf51104fda,forage_dynamic_simdrop,3.101979821369868,0.8588998729558784,,62.93568489532966
6554de7d91c1b1bf51104fda,forage_random_baseline,0.0,0.0,,73.68272297580945
656e3caa43f1f7f0615252ff,forage_dynamic_simdrop,6.414574579372721,3.0600440587712847,,21.932889362936667
656e3caa43f1f7f0615252ff,forage_random_baseline,0.0,0.0,,36.84136148790473
6596a5cad60ef105b6c18897,forage_dynamic_simdrop,2.9697693563837033,3.467124229557354,,68.82510777720155
6596a5cad60ef105b6c18897,forage_random_baseline,0.0,0.0,,96.70857390574989
65c25cf77dca9d7ca7d9ebdb,forage_dynamic_simdrop,3.2939940180993394,1.9555294684393671,,48.67803911693752
65c25cf77dca9d7ca7d9ebdb,forage_random_baseline,0.0,0.0,,59.867212417845195
65cb63e160bb47fbf9349269,forage_dynamic_simdrop,5.247348660459384,1.1892690862720854,,32.790124483978076
65cb63e160bb47fbf9349269,forage_random_baseline,0.0,0.0,,46.051701859880914
65cc19b4b3d48a22dfc6756d,forage_dynamic_simdrop,3.6608052948662917,2.9098462972955494,,43.296051843360125
65cc19b4b3d48a22dfc6756d,forage_random_baseline,0.0,0.0,,59.867212417845195
65d54b3b524fcafb543d1b23,forage_dynamic_simdrop,2.987807279317833,2.748520519595432,,58.55485193403139
65d54b3b524fcafb543d1b23,forage_random_baseline,0.0,0.0,,78.28789316179754
65d6a09286a0c99e632a46dd,forage_dynamic_simdrop,4.552218266717633,2.1045278677738906,,36.863657717681846
65d6a09286a0c99e632a46dd,forage_random_baseline,0.0,0.0,,50.65687204586901
65e1f75ab3efd22e847cfbf0,forage_dynamic_simdrop,5.5685946982863594,2.455361035445195,,26.651708425804088
65e1f75ab3efd22e847cfbf0,forage_random_baseline,0.0,0.0,,41.44653167389282
65e358d9c5e3ee026268b2a7,forage_dynamic_simdrop,3.2241667209703158,2.1551792577376285,,83.61615599767032
65e358d9c5e3ee026268b2a7,forage_random_baseline,0.0,0.0,,105.91891427772606
65e862f844f1b7a803bb3c5a,forage_dynamic_simdrop,2.4717565291802024,1.9413720548013025,,73.60319899851737
65e862f844f1b7a803bb3c5a,forage_random_baseline,0.0,0.0,,87.49823353377371
