Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5885f97f41da4500014d3645,0.37974602631879806,0.12582020608091501,7.203676149813526,1.360634125983425,18.0,simdrop,3,4.5,2.8722813232690143
5d7ff4aa50fda7001a863736,0.44947377378981634,0.06215371661509461,7.1664861436050105,1.1015276736006492,10.0,simdrop,2,3.3333333333333335,1.699673171197595
5f1f3581b5cf3e103cc545c9,0.2785300351649004,0.06477154103528333,7.345249084182874,1.432243841870884,3.0,simdrop,0,3.0,0.0
5f5aa60bef062519ff711fe6,0.4064782008388681,0.1457011617084421,7.091591555243751,1.164808066909464,15.0,simdrop,3,3.75,2.680951323690902
6001487015e5f62961639e7d,0.3884570417626144,0.09472974601580515,6.767766136638214,1.229403618130602,14.0,simdrop,5,2.3333333333333335,0.7453559924999298
600f9342e7bc5518fa9ca92a,0.3612801949599065,0.04109163243829369,7.762666057564154,0.7141304113105817,6.0,simdrop,1,3.0,1.0
601f6a2231a2904b79df1671,0.5526166350552976,0.24770678109751865,7.148117023525577,0.8485510697406939,22.0,simdrop,6,3.142857142857143,1.355261854357877
6073e0d481953bbd2cd61145,0.48430174766201367,0.11784318399082547,7.057690653966086,0.985197670014842,11.0,simdrop,2,3.6666666666666665,0.4714045207910317
6081806ab383aa89f6c61940,0.5141754543074016,0.23428781071735294,7.1776536500969454,0.9435285423460607,25.0,simdrop,6,3.5714285714285716,1.91662969499982
60a48adfe091e410f4eaba34,0.4836087082128373,0.15384395860963704,7.217681654740446,0.8176910609226772,12.0,simdrop,3,3.0,0.0
60d731567049e5132e3cc4d4,0.36465855432367933,0.13952310137215151,6.799444321138402,1.2384256426659273,21.0,simdrop,4,4.2,2.7856776554368237
610c59ee34cc312d7ca55e45,0.43421154220450586,0.08705241473676423,7.105671194329604,1.1817870039706249,10.0,simdrop,3,2.5,1.5
61363ce02e6022a741d63a6e,0.5267007849096388,0.23619243145897026,6.651764836045598,1.300203670141386,20.0,simdrop,5,3.3333333333333335,1.3743685418725535
629e241d171ec6698e05f149,0.5181342177758631,0.23177836147773362,7.14540243677485,1.2456335633178628,32.0,simdrop,9,3.2,1.3266499161421599
63619eb02e5bd8f4f7bd138a,0.4530093853417854,0.08104912984818807,7.250162935879511,0.8117195293487406,13.0,simdrop,4,2.6,1.2
63e802622f8052bd67d6c5f0,0.4093876172861408,0.11653858878858715,7.73218941685379,0.7005134462780213,5.0,simdrop,1,2.5,0.5
63ea4ab1ce4168cbe9f63775,0.41370932431921253,0.14624922832726947,6.7892598934073165,1.1853398987367727,21.0,simdrop,6,3.0,1.3093073414159542
654108d38225e168af4b1fa0,0.3493638199390064,0.09043150160115594,7.264113725481264,0.9291722120738309,8.0,simdrop,2,2.6666666666666665,1.699673171197595
6554de7d91c1b1bf51104fda,0.3861643326616505,0.19900159653313523,7.048727057312317,0.8328807769606535,17.0,simdrop,1,8.5,1.5
656e3caa43f1f7f0615252ff,0.4993596975398655,0.19216672075679117,6.857776819410325,1.3186381942746903,18.0,simdrop,4,3.6,1.4966629547095764
6596a5cad60ef105b6c18897,0.4784420291956528,0.2317027499113816,7.234504314459686,0.8362627901878689,18.0,simdrop,3,4.5,1.5
65b15afd94153c1f50c92493,0.38423529905825027,0.09752925891949694,6.965152428519591,1.1007355957513278,12.0,simdrop,3,3.0,0.7071067811865476
65c25cf77dca9d7ca7d9ebdb,0.40560343513041996,0.10122250006507516,7.225833328977771,0.9140799609010927,15.0,simdrop,4,3.0,1.0954451150103321
65cb63e160bb47fbf9349269,0.3727777280562185,0.1251344023162483,7.3587271921787885,1.3682449027224264,13.0,simdrop,4,2.6,0.8
65cc19b4b3d48a22dfc6756d,0.4256294516303807,0.08179197353132732,7.0922282429928485,1.0004740466833122,10.0,simdrop,2,3.3333333333333335,0.4714045207910317
65d54b3b524fcafb543d1b23,0.5476521976946043,0.257872212663222,6.738659781220809,1.549254089372268,13.0,simdrop,2,4.333333333333333,0.4714045207910317
65d6a09286a0c99e632a46dd,0.42676614629977827,0.18799288253952878,7.576682126661321,0.9028357441991391,15.0,simdrop,4,3.0,0.8944271909999159
65e1f75ab3efd22e847cfbf0,0.5041914007982767,0.2644081177771988,6.883748504133353,0.9809458969240227,14.0,simdrop,3,3.5,1.118033988749895
65e358d9c5e3ee026268b2a7,0.514738888229169,0.2233250074465328,7.034555255236399,1.1790631263482165,30.0,simdrop,9,3.0,1.1832159566199232
65e862f844f1b7a803bb3c5a,0.4014195876669347,0.10328473468168903,7.192830885071077,0.7791956874996112,15.0,simdrop,4,3.0,1.0954451150103321
