Subject,Fluency_Item,Switch_Value,Switch_Method
5885f97f41da4500014d3645,water,2,simdrop
5885f97f41da4500014d3645,juice,0,simdrop
5885f97f41da4500014d3645,soda,0,simdrop
5885f97f41da4500014d3645,beer,1,simdrop
5885f97f41da4500014d3645,wine,0,simdrop
5885f97f41da4500014d3645,vodka,0,simdrop
5885f97f41da4500014d3645,sprite,0,simdrop
5885f97f41da4500014d3645,flavored tea,0,simdrop
5885f97f41da4500014d3645,water,0,simdrop
5885f97f41da4500014d3645,marinade,0,simdrop
5885f97f41da4500014d3645,water,0,simdrop
5885f97f41da4500014d3645,gasoline,0,simdrop
5885f97f41da4500014d3645,stock,1,simdrop
5885f97f41da4500014d3645,beer,0,simdrop
5885f97f41da4500014d3645,coffee,0,simdrop
5885f97f41da4500014d3645,butane,0,simdrop
5885f97f41da4500014d3645,lemonade,1,simdrop
5885f97f41da4500014d3645,lime cider,2,simdrop
5d7ff4aa50fda7001a863736,water,2,simdrop
5d7ff4aa50fda7001a863736,orange juice,0,simdrop
5d7ff4aa50fda7001a863736,milk,0,simdrop
5d7ff4aa50fda7001a863736,wine,0,simdrop
5d7ff4aa50fda7001a863736,coffee,1,simdrop
5d7ff4aa50fda7001a863736,soda,0,simdrop
5d7ff4aa50fda7001a863736,tea,0,simdrop
5d7ff4aa50fda7001a863736,hot chocolate,0,simdrop
5d7ff4aa50fda7001a863736,smoothie,1,simdrop
5d7ff4aa50fda7001a863736,lemonade,2,simdrop
5f1f3581b5cf3e103cc545c9,bleach,2,simdrop
5f1f3581b5cf3e103cc545c9,brine,0,simdrop
5f1f3581b5cf3e103cc545c9,water,2,simdrop
5f5aa60bef062519ff711fe6,orange juice,2,simdrop
5f5aa60bef062519ff711fe6,juice,0,simdrop
5f5aa60bef062519ff711fe6,water,0,simdrop
5f5aa60bef062519ff711fe6,dr. pepper,1,simdrop
5f5aa60bef062519ff711fe6,fanta,0,simdrop
5f5aa60bef062519ff711fe6,coconut oil,1,simdrop
5f5aa60bef062519ff711fe6,water,0,simdrop
5f5aa60bef062519ff711fe6,milk,0,simdrop
5f5aa60bef062519ff711fe6,lemonade,0,simdrop
5f5aa60bef062519ff711fe6,milk,0,simdrop
5f5aa60bef062519ff711fe6,lemonade,0,simdrop
